#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
40,Ethan Grandolfo,A,12,23,10,33,83,28%,46,55,18,4,25,0,0,0,0%,0,0,0%
18,Brenden Crouse,M,13,14,9,23,87,16%,41,47,19,2,12,0,0,0,0%,18,34,53%
23,Matthew O'Rourk,M,12,11,10,21,41,27%,20,49,13,0,5,0,0,0,0%,0,0,0%
4,Quincy Peene,M,13,9,9,18,69,13%,37,54,16,5,11,0,0,0,0%,0,0,0%
5,Aidan Tolen,A,12,11,6,17,43,26%,31,72,7,4,21,0,0,0,0%,0,0,0%
1,August Johnson,M,8,11,2,13,38,29%,18,47,6,1,6,0,0,0,0%,0,0,0%
43,Ben Ward,M,7,13,0,13,28,46%,22,79,2,2,7,0,0,0,0%,0,0,0%
55,Chase Douglas,M,13,3,4,7,14,21%,8,57,6,0,9,0,0,0,0%,0,0,0%
45,Brandon Dodd,A,5,3,3,6,20,15%,11,55,1,,3,,,,0%,,,0%
24,Gavin Peene,M,11,2,3,5,15,13%,9,60,1,1,2,0,0,0,0%,0,0,0%
3,Chad Teresky,M,9,1,3,4,12,8%,4,33,0,1,3,0,0,0,0%,0,0,0%
12,Tommy Hellman,M,13,2,2,4,8,25%,3,38,26,4,11,0,0,0,0%,0,0,0%
17,Chris Bardak,D,13,2,1,3,2,100%,2,100,37,13,4,0,0,0,0%,0,0,0%
9,Gianni Orlando,M,11,2,0,2,14,14%,5,36,3,0,3,0,0,0,0%,0,0,0%
13,Dante Orlando,M,9,2,0,2,10,20%,4,40,2,0,2,0,0,0,0%,0,0,0%
19,Braden Host,G,9,0,2,2,2,0%,0,0,15,3,13,90,102,192,47%,0,0,0%
22,Mike Matheson,M,7,1,1,2,7,14%,5,71,4,0,2,0,0,0,0%,0,0,0%
28,Brian Michael,FO,12,1,1,2,1,100%,1,100,33,2,7,0,0,0,0%,65,133,49%
11,Dylan Frankhouser,FO,13,0,1,1,0,0%,0,0,27,0,3,0,0,0,0%,64,138,46%
26,Sterling Ceshker,M,13,1,0,1,7,14%,2,29,30,5,12,0,0,0,0%,1,5,20%
34,Quentin Carlile,D,13,0,1,1,0,0%,0,0,29,23,4,0,0,0,0%,0,0,0%
44,Vince Lombardi,D,8,,1,1,3,0%,2,67,17,12,2,,,,0%,,,0%
0,Shad Bruce,M,7,0,0,0,1,0%,0,0,1,1,4,0,0,0,0%,0,0,0%
6,Joe Kassal,M,3,0,0,0,0,0%,0,0,0,0,1,0,0,0,0%,0,0,0%
8,Cole Grindberg,A,5,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
10,Chandler Devaney,D,6,0,0,0,0,0%,0,0,2,3,3,0,0,0,0%,0,0,0%
14,Collin O'Brien,LSM,3,0,0,0,0,0%,0,0,1,3,0,0,0,0,0%,0,0,0%
15,Sam Ewing,D,9,0,0,0,0,0%,0,0,3,2,2,0,0,0,0%,0,0,0%
20,Joey Matheson,M,3,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
25,James Chastain,M,13,0,0,0,0,0%,0,0,19,11,7,0,0,0,0%,0,0,0%
33,Jason Rose,G,9,0,0,0,1,0%,0,0,12,6,7,59,55,114,52%,0,0,0%
35,Ian Mullins,G,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
42,Christian Marshall,M,9,0,0,0,4,0%,0,0,2,1,0,0,0,0,0%,0,0,0%
7,Noah Schwab,G,1,,,,,0%,,0,,,,3,1,4,75%,,,0%
16,Jack Stewart,M,1,,,,,0%,,0,,1,,,,,0%,,,0%
27,Mitchell Gruenewald,LSM,3,,,,,0%,,0,1,,,,,,0%,,,0%
29,Braden Gaab,FO,1,,,,,0%,,0,,,,,,,0%,1,1,100%
30,Ian Rodriguez,M,1,,,,,0%,,0,,,,,,,0%,,,0%
32,Maxwell Kane,A,1,,,,,0%,,0,,,,,,,0%,,,0%
37,Teddy Accardi,A,1,,,,,0%,,0,,,1,,,,0%,,,0%
38,Nile Owens,FO,1,,,,,0%,,0,,,,,,,0%,,1,0%
39,Cooper Rich,A,1,,,,1,0%,,0,,,1,,,,0%,,,0%
41,Dodson Piotrowski,D,2,,,,,0%,,0,2,2,,,,,0%,,,0%
46,Quinn Richards,G,1,,,,,0%,,0,1,,,,,,0%,,,0%
50,Nick Capannelli,FO,1,,,,,0%,,0,1,,,,,,0%,1,1,100%
51,Robbie Lionetti,M,1,,,,,0%,,0,,,,,,,0%,,,0%
