#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
20,Brendan Nichtern,A,11,26,31,57,78,33%,54,69,10,2,28,0,0,0,0%,0,0,0%
45,Nickolas Edinger,M,11,21,5,26,61,34%,31,51,22,2,5,0,0,0,0%,0,0,0%
19,Aidan Byrnes,A,10,19,5,24,58,33%,41,71,22,4,6,0,0,0,0%,0,0,0%
14,Bobby Abshire,M,11,16,5,21,65,25%,34,52,3,1,15,0,0,0,0%,0,0,0%
23,Danny Kielbasa,M,10,9,6,15,34,26%,20,59,3,0,6,0,0,0,0%,0,0,0%
1,Gunner Philipp,M,9,12,1,13,44,27%,27,61,10,1,9,0,0,0,0%,0,0,0%
0,Nicholas Garofano,M,11,6,5,11,33,18%,17,52,13,1,9,0,0,0,0%,0,0,0%
30,Liam Davenport,M,11,4,4,8,11,36%,5,45,22,6,6,0,0,0,0%,0,0,0%
47,Andrew Kelly,M,11,4,2,6,12,33%,7,58,5,2,4,0,0,0,0%,0,0,0%
22,Doug Jones,M,11,2,1,3,5,40%,3,60,21,7,4,0,0,0,0%,0,0,0%
28,Paul Johnson,A,3,1,2,3,4,25%,3,75,,1,1,,,,0%,,,0%
66,Alex Gekas,M,5,2,0,2,6,33%,3,50,4,0,3,0,0,0,0%,0,0,0%
90,Jacob Morin,M,3,2,,2,16,13%,8,50,2,1,,,,,0%,,,0%
42,Stevie Grabher,FO,11,2,0,2,3,67%,3,100,61,0,6,0,0,0,0%,108,206,52%
43,Bailey O'Connor,M,6,2,,2,8,25%,3,38,,,,,,,0%,,,0%
52,Matthew Horace,M,9,1,0,1,3,33%,1,33,9,4,3,0,0,0,0%,0,0,0%
4,Ethan Barangan,FO,5,0,1,1,0,0%,0,0,4,0,0,0,0,0,0%,7,30,23%
11,Marcus Hudgins,D,11,0,1,1,1,0%,1,100,36,23,7,0,0,0,0%,0,0,0%
32,Trevor Kelly,M,4,1,0,1,4,25%,3,75,0,0,1,0,0,0,0%,0,1,0%
35,Cole Erickson,M,2,,1,1,,0%,,0,,,,,,,0%,,,0%
50,Bo Waters,M,6,0,0,0,4,0%,1,25,1,0,1,0,0,0,0%,0,0,0%
77,Kyle Beyer,LSM,11,0,0,0,2,0%,0,0,20,11,8,0,0,0,0%,0,0,0%
91,Jack Weigand,D,11,0,0,0,1,0%,1,100,21,8,3,0,0,0,0%,0,0,0%
5,Jack Whalen,D,3,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,0,0,0%
10,Drennan Greene,A,4,0,0,0,1,0%,0,0,4,0,0,0,0,0,0%,0,0,0%
16,James Pryor,M,10,0,0,0,5,0%,0,0,12,4,4,0,0,0,0%,9,31,29%
21,Wyatt Schupler,G,11,0,0,0,3,0%,1,33,26,3,6,132,100,232,57%,0,0,0%
24,Tyler Olbrich,D,11,0,0,0,0,0%,0,0,17,5,1,0,0,0,0%,1,1,100%
25,Joey Stillings,LSM,2,0,0,0,0,0%,0,0,0,0,1,0,0,0,0%,0,0,0%
26,Andrew Bregman,A,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
27,Bryan Lehman,D,7,0,0,0,1,0%,0,0,11,7,3,0,0,0,0%,0,0,0%
29,Jake Bieler,D,3,0,0,0,1,0%,1,100,0,1,0,0,0,0,0%,0,0,0%
44,Brendan Ryan,M,5,0,0,0,0,0%,0,0,4,1,1,0,0,0,0%,0,0,0%
48,Jack Szalankiewicz,LSM,3,,,,,0%,,0,,,,,,,0%,,,0%
49,Mike Tangredi,M,2,,,,1,0%,,0,,,,,,,0%,,,0%
51,Jack Rigley,D,1,,,,,0%,,0,1,,,,,,0%,,,0%
54,Cole Biggins,D,2,,,,,0%,,0,,,,,,,0%,,,0%
58,Brandon Gibson,LSM,4,,,,,0%,,0,1,,,,,,0%,,,0%
60,Matt Chess,G,2,,,,,0%,,0,,,,2,1,3,67%,,,0%
81,Jackson Tyler,M,2,,,,,0%,,0,,,,,,,0%,,,0%
88,Chase Gedney,LSM,1,,,,,0%,,0,,,,,,,0%,,,0%
98,Mitch McEntee,D,1,,,,,0%,,0,,,,,,,0%,,,0%
99,Luke Hickam,A,2,,,,,0%,,0,,,,,,,0%,,,0%
2,Knox Dent,G,2,,,,,0%,,0,,,,1,,1,100%,,,0%
3,Brent Hauck,D,1,,,,,0%,,0,,,,,,,0%,,,0%
6,Brayden Duncan,A,3,,,,,0%,,0,,,,,,,0%,,,0%
8,Deacon Donaldson,D,1,,,,,0%,,0,,,,,,,0%,,,0%
13,Greg Coleman,G,2,,,,,0%,,0,,,,1,1,2,50%,,,0%
15,Quinn Binney,M,3,,,,2,0%,1,50,1,,,,,,0%,,,0%
17,Daniel Ross,A,1,,,,,0%,,0,,,,,,,0%,,,0%
18,Alex Evangelista,M,1,,,,1,0%,1,100,0,,1,,,,0%,,,0%
33,Jack Davies,M,2,,,,,0%,,0,,,,,,,0%,,1,0%
34,Kyle Walker,G,1,,,,,0%,,0,,,1,,,,0%,,,0%
36,Ned Lynch,D,2,,,,,0%,,0,,,,,,,0%,,,0%
40,Eamon Murphy,M,3,,,,,0%,,0,1,1,,,,,0%,,,0%
46,Connor Funck,A,1,,,,,0%,,0,,,,,,,0%,,,0%
