#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
27,Landon Trout,A,15,20,13,33,98,20%,57,58,7,1,38,0,0,0,0%,0,0,0%
39,Kyle Playsted,A,15,16,13,29,42,38%,27,64,10,1,15,0,0,0,0%,0,0,0%
22,Benny O'Rourk,M,14,15,5,20,61,25%,35,57,9,1,17,0,0,0,0%,0,0,0%
23,James Whiteford,M,15,9,10,19,27,33%,21,78,5,2,17,0,0,0,0%,0,0,0%
40,Luke Legnard,A,14,12,6,18,47,26%,31,66,12,0,22,0,0,0,0%,0,0,0%
28,Christian Della Rocco,A,11,9,5,14,22,41%,14,64,5,0,6,0,0,0,0%,0,0,0%
36,Griffin Bowie,M,15,9,4,13,67,13%,33,49,8,1,17,0,0,0,0%,0,0,0%
85,Eric Rubak,D,15,7,3,10,28,25%,13,46,61,33,12,0,0,0,0%,0,0,0%
6,Patrick Keegan,M,13,4,2,6,18,22%,9,50,5,0,9,0,0,0,0%,0,0,0%
14,Brayden Brown,A,4,4,2,6,12,33%,8,67,2,2,2,0,0,0,0%,0,0,0%
41,Jon Robbins,LSM,15,3,1,4,6,50%,5,83,38,35,7,0,0,0,0%,0,0,0%
5,Tayo Oladunmoye,M,12,1,2,3,5,20%,3,60,0,1,5,0,0,0,0%,0,0,0%
12,Preston Rhodes,A,8,1,1,2,8,13%,4,50,2,1,4,0,0,0,0%,0,0,0%
29,Max Coopman,LSM,3,1,1,2,1,100%,1,100,0,0,1,0,0,0,0%,0,0,0%
33,Harrison Pate,M,14,0,2,2,0,0%,0,0,18,5,1,0,0,0,0%,0,0,0%
42,Jesse Roth,M,2,2,0,2,4,50%,2,50,2,0,2,0,0,0,0%,0,0,0%
10,Blake Roshkowski,M,5,1,0,1,4,25%,2,50,2,1,1,0,0,0,0%,0,0,0%
18,Brody Lowry,A,5,1,0,1,4,25%,1,25,0,0,4,0,0,0,0%,0,0,0%
21,Denton Macdonald,M,13,1,,1,2,50%,1,50,17,8,3,,,,0%,,,0%
37,J.T. Simonton,FO,11,1,0,1,3,33%,3,100,21,0,5,0,0,0,0%,60,185,32%
45,JC Higginbotham,G,13,1,0,1,3,33%,1,33,21,7,12,145,132,277,52%,0,0,0%
49,Dylan Tulett,M,14,1,0,1,2,50%,1,50,1,3,2,0,0,0,0%,0,0,0%
1,Bryce Vaxman,D,9,0,0,0,0,0%,0,0,3,2,1,0,0,0,0%,1,5,20%
2,Kevin Lambe,FO,4,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,17,0%
3,Brendan Fennell,D,15,0,0,0,0,0%,0,0,15,12,1,0,0,0,0%,0,0,0%
4,Jack Bozik,G,3,0,0,0,0,0%,0,0,2,1,2,9,19,28,32%,0,0,0%
9,Matt Ury,D,15,0,0,0,0,0%,0,0,16,3,1,0,0,0,0%,31,102,30%
11,Parker Freiberg,M,2,0,0,0,0,0%,0,0,1,1,0,0,0,0,0%,0,0,0%
15,Preston Winner,M,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
16,Ian Reilly,G,4,0,0,0,0,0%,0,0,1,0,2,11,13,24,46%,0,0,0%
19,Tate Harran,M,2,0,0,0,0,0%,0,0,0,0,1,0,0,0,0%,0,0,0%
24,Chase Fairbanks,D,12,0,0,0,0,0%,0,0,6,5,1,0,0,0,0%,0,0,0%
34,Trent Tomas,M,15,0,0,0,1,0%,0,0,17,7,5,0,0,0,0%,0,0,0%
35,Bobby Gabriel,D,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
48,Ben Taylor,D,11,0,0,0,0,0%,0,0,10,4,4,0,0,0,0%,0,0,0%
50,Collin Murray,D,8,0,0,0,0,0%,0,0,3,2,0,0,0,0,0%,0,0,0%
13,Jack Cunningham,M,2,,,,,0%,,0,,,,,,,0%,,,0%
17,Ethan Pattinson,M,1,,,,,0%,,0,,,,,,,0%,,,0%
20,Jackson Hammersley,LSM,5,,,,1,0%,,0,1,,,,,,0%,,,0%
25,Wilson Murphree,M,9,,,,4,0%,1,25,2,,2,,,,0%,,,0%
26,Parker Cyr,D,2,,,,1,0%,,0,,,1,,,,0%,,,0%
30,Josh Healy,M,14,,,,,0%,,0,2,2,1,,,,0%,6,23,26%
44,Dominic Dean,A,3,,,,,0%,,0,1,1,,,,,0%,,,0%
47,Tommy Fialkowski,D,5,,,,1,0%,,0,2,1,,,,,0%,,,0%
51,Lukas Sinon,M,1,,,,,0%,,0,,,,,,,0%,,,0%
55,Harrison Spilker,G,1,,,,,0%,,0,,,,,,,0%,,,0%
