#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
2,Thomas Greenblatt,M,9,16,7,23,50,32%,34,68,10,4,7,,,,0%,,,0%
4,Kevin Winkoff,A,9,10,6,16,45,22%,27,60,17,5,21,,,,0%,,,0%
7,Ryan McBeth,M,9,7,7,14,21,33%,17,81,3,,12,,,,0%,,,0%
12,Daniel MacKinney,A,9,11,2,13,33,33%,20,61,16,4,16,,,,0%,,,0%
25,William Talbott-Shere,A,9,8,3,11,27,30%,19,70,11,,14,,,,0%,,,0%
45,Justin Roderka,A,9,10,1,11,28,36%,18,64,16,2,17,,,,0%,,,0%
18,Quinn O'Hara,A,9,5,1,6,25,20%,18,72,3,1,11,,,,0%,,,0%
27,Sean Makar,M,9,2,3,5,9,22%,6,67,2,1,3,,,,0%,,,0%
19,Ethan Insinga,A,5,,3,3,5,0%,3,60,1,,3,,,,0%,,,0%
24,Andrew Arce,M,3,2,1,3,4,50%,3,75,,,4,,,,0%,,,0%
1,Anthony Todaro,A,4,1,1,2,3,33%,2,67,1,,2,,,,0%,,,0%
17,Aaron Tebo,M,4,1,1,2,1,100%,1,100,2,,1,,,,0%,,,0%
28,Jackson Rieger,M,9,,2,2,1,0%,,0,9,4,5,,,,0%,,,0%
33,Vincent Basile,A,6,1,1,2,2,50%,1,50,1,,1,,,,0%,,,0%
38,Dylan Yacavone,A,2,2,,2,4,50%,3,75,,,1,,,,0%,,,0%
3,Ross Chazanow,FO,6,1,,1,3,33%,3,100,6,,,,,,0%,9,34,26%
6,Kyle Tiernan,D,8,,1,1,,0%,,0,23,16,9,,,,0%,,,0%
11,Max Verch,D,8,1,,1,2,50%,1,50,12,9,2,,,,0%,,,0%
29,Teddy McLoughlin,D,8,1,,1,1,100%,1,100,8,4,,,,,0%,,,0%
32,Dylan Braddock,M,2,,1,1,1,0%,1,100,,,,,,,0%,,,0%
36,Patrick Murad,M,8,,1,1,1,0%,,0,8,3,6,,,,0%,,,0%
5,James Morris,D,2,,,,,0%,,0,,1,,,,,0%,,,0%
8,Nicholas Imburgia,M,7,,,,8,0%,6,75,,,5,,,,0%,,,0%
10,Luke Rosaschi,M,8,,,,,0%,,0,5,1,2,,,,0%,,,0%
14,Teddy Dolan,G,9,,,,,0%,,0,15,1,2,113,81,194,58%,,,0%
15,Gus Hueber,D,9,,,,,0%,,0,17,9,6,,,,0%,,,0%
16,Zak Conley,D,4,,,,,0%,,0,1,,1,,,,0%,,,0%
20,Declan Ferris,D,3,,,,,0%,,0,,,1,,,,0%,,,0%
22,Tom Galgano,D,9,,,,1,0%,1,100,30,18,8,,,,0%,,,0%
26,Matthew Desouza,FO,9,,,,,0%,,0,55,1,5,,,,0%,94,164,57%
30,Jarrett Piccione,D,3,,,,,0%,,0,1,1,,,,,0%,,,0%
31,Hunter Greco,G,8,,,,,0%,,0,1,3,4,,,,0%,,,0%
35,Max Napoli,M,6,,,,1,0%,1,100,8,1,3,,,,0%,,,0%
40,Trey Sofield,M,6,,,,,0%,,0,4,2,,,,,0%,1,1,100%
41,Billy Beach,A,1,,,,,0%,,0,,,,,,,0%,,,0%
42,Michael Caccavale,D,1,,,,,0%,,0,,,,,,,0%,,,0%
43,Robert Martin,G,5,,,,,0%,,0,1,,1,10,12,22,45%,,,0%
