#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
11,Vince D'Alto,A,9,23,19,42,76,30%,50,66,20,2,22,0,0,0,0%,0,0,0%
8,Louis Perfetto,A,11,18,17,35,69,26%,37,54,21,3,19,0,0,0,0%,0,0,0%
19,Timmy Ley,A,8,27,7,34,63,43%,37,59,10,2,13,0,0,0,0%,0,0,0%
26,Christian Quadrino,A,11,14,8,22,36,39%,28,78,7,2,9,0,0,0,0%,0,0,0%
71,Matt Baugher,A,11,10,4,14,30,33%,16,53,2,0,4,0,0,0,0%,0,0,0%
51,Tommy Bourque,A,11,9,2,11,25,36%,16,64,2,1,10,0,0,0,0%,0,0,0%
33,Matt Hilburn,A,11,3,7,10,20,15%,9,45,5,1,10,0,0,0,0%,0,0,0%
3,Jett Dziama,M,9,5,1,6,14,36%,9,64,2,,2,,,,0%,,,0%
43,Donnie Howard,M,10,3,2,5,11,27%,5,45,4,1,3,0,0,0,0%,0,0,0%
4,Anthony Forziati,A,11,4,0,4,19,21%,5,26,1,0,6,0,0,0,0%,0,0,0%
5,Jack Collins,A,7,1,2,3,5,20%,1,20,2,0,1,0,0,0,0%,0,0,0%
9,Tommy Jepson,A,4,2,,2,9,22%,3,33,1,1,,,,,0%,,,0%
10,Tommy Nook,M,3,2,,2,6,33%,2,33,1,1,1,,,,0%,,,0%
25,Nicholas Ellerton,D,11,2,0,2,3,67%,3,100,30,9,4,0,0,0,0%,0,0,0%
44,Ben Girolamo,A,6,,2,2,4,0%,4,100,2,,1,,,,0%,,,0%
77,Patrick Morrison,D,11,0,2,2,1,0%,0,0,38,11,9,0,0,0,0%,0,0,0%
2,Thomas Niedringhaus,A,11,2,0,2,20,10%,12,60,3,0,4,0,0,0,0%,0,0,0%
12,Kevin O'Hara,A,4,1,,1,1,100%,1,100,,,,,,,0%,,,0%
15,Matthew Mineo,D,3,,1,1,,0%,,0,,,,,,,0%,,,0%
42,Jake Cates,M,3,1,0,1,10,10%,4,40,1,0,1,0,0,0,0%,0,0,0%
46,Dane DeGoler,LSM,11,1,0,1,3,33%,2,67,15,3,3,0,0,0,0%,0,0,0%
66,James Corcoran,A,8,1,,1,4,25%,2,50,1,,5,,,,0%,,,0%
91,Nik McFarland,M,7,1,,1,2,50%,2,100,3,1,1,,,,0%,,,0%
13,Michael Doxie,M,4,0,0,0,1,0%,0,0,6,2,0,0,0,0,0%,0,0,0%
16,Blake Phillips,M,11,0,0,0,2,0%,0,0,10,7,3,0,0,0,0%,0,0,0%
17,Michael Gottlieb,M,7,0,0,0,3,0%,2,67,1,0,2,0,0,0,0%,0,0,0%
18,Jason Child,A,6,0,0,0,5,0%,4,80,1,0,1,0,0,0,0%,0,0,0%
20,Will Carson,D,8,0,0,0,3,0%,3,100,19,7,3,0,0,0,0%,0,1,0%
21,Andrew Volk,M,4,0,0,0,2,0%,0,0,7,7,0,0,0,0,0%,0,0,0%
23,Matt Gardner,D,7,0,0,0,0,0%,0,0,7,7,0,0,0,0,0%,0,0,0%
30,Robert Gallop,M,9,0,0,0,2,0%,0,0,8,1,3,0,0,0,0%,0,0,0%
31,Matt Korn,A,4,0,0,0,0,0%,0,0,1,0,1,0,0,0,0%,0,0,0%
41,Matt Garber,G,9,0,0,0,0,0%,0,0,16,1,6,114,85,199,57%,0,0,0%
49,Alex Gainey,G,6,0,0,0,0,0%,0,0,3,0,4,32,25,57,56%,0,0,0%
55,Roy Meyer,LSM,11,0,0,0,4,0%,2,50,32,26,5,0,0,0,0%,0,0,0%
1,Sean Christman,FO,8,0,0,0,2,0%,1,50,30,1,8,0,0,0,0%,67,131,51%
7,Miles Lipton,M,3,,,,,0%,,0,,,,,,,0%,,,0%
14,Christian Trahan,FO,6,,,,,0%,,0,,,,,,,0%,2,11,18%
24,Mike DiIorio,M,4,,,,,0%,,0,,,1,,,,0%,,,0%
27,Charlie Heinz,D,8,,,,,0%,,0,3,1,,,,,0%,,,0%
32,Brendan Wilcox,A,1,,,,,0%,,0,,,,,,,0%,,,0%
34,Tim Barrett,LSM,1,,,,,0%,,0,,,,,,,0%,,,0%
35,Kevin Snyder,FO,5,,,,,0%,,0,4,,2,,,,0%,15,41,37%
36,Reilly Sullivan,M,1,,,,,0%,,0,1,,,,,,0%,,,0%
37,Phil Wies,A,2,,,,,0%,,0,,,,,,,0%,,,0%
40,Harry Friedman,FO,2,,,,,0%,,0,1,,,,,,0%,2,11,18%
47,John Gross,M,2,,,,,0%,,0,,,,,,,0%,,,0%
48,Walker Ker,LSM,4,,,,,0%,,0,1,,1,,,,0%,,,0%
50,Max Gomez,G,3,,,,,0%,,0,,,,1,,1,100%,,,0%
81,John Marshall,D,7,,,,1,0%,1,100,3,1,1,,,,0%,,,0%
87,Christian Brofft,M,1,,,,,0%,,0,1,1,,,,,0%,,,0%
88,Brian Garrity,FO,7,,,,3,0%,1,33,9,,1,,,,0%,27,80,34%
99,Jonathan Spiropoulos,D,4,,,,,0%,,0,,1,,,,,0%,,,0%
6,Nick Mohler,D,6,,,,1,0%,1,100,4,1,,,,,0%,,,0%
