#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
40,Luke McCaleb,A,1,2,3,5,8,25%,5,63,3,,2,,,,0%,,,0%
2,Darian Cook,A,1,2,,2,5,40%,3,60,2,,3,,,,0%,,,0%
4,George Grell,M,1,2,,2,6,33%,2,33,1,,2,,,,0%,,,0%
13,Riley Stewart,M,1,1,1,2,2,50%,1,50,,1,,,,,0%,,,0%
20,Reed Moshyedi,M,1,,2,2,1,0%,1,100,1,,,,,,0%,,,0%
44,Nolen Rockefeller,M,1,2,,2,3,67%,3,100,1,,1,,,,0%,,,0%
26,Colby Gendron,M,1,1,,1,4,25%,3,75,1,,1,,,,0%,,,0%
29,Devon McLane,M,1,1,,1,5,20%,3,60,,,1,,,,0%,,,0%
42,Ryan Aughavin,M,1,1,,1,7,14%,4,57,,,2,,,,0%,,,0%
3,George Pike,M,1,,,,1,0%,,0,,,,,,,0%,,,0%
5,Jackson Caputo,D,1,,,,,0%,,0,,,,,,,0%,,,0%
7,Greyson Wolfram,M,1,,,,,0%,,0,,,,,,,0%,,,0%
9,Andrew Geppert,D,1,,,,1,0%,,0,3,2,,,,,0%,,,0%
10,Connor Fox,A,1,,,,1,0%,,0,1,,1,,,,0%,,,0%
14,Tom Hale,A,1,,,,,0%,,0,,,1,,,,0%,,,0%
15,Jack Taylor,D,1,,,,,0%,,0,1,,,,,,0%,,,0%
18,Luke Gaydos,D,1,,,,,0%,,0,2,2,,,,,0%,,,0%
19,Matt McShea,M,1,,,,,0%,,0,8,,,,,,0%,8,10,80%
23,Trevor Yeboah-Kodie,M,1,,,,2,0%,1,50,4,1,1,,,,0%,,,0%
25,Ben Baranker,D,1,,,,,0%,,0,,2,,,,,0%,,,0%
27,Logan Paff,M,1,,,,,0%,,0,,,,,,,0%,,,0%
28,Trevor Glavin,A,1,,,,1,0%,,0,,,1,,,,0%,,,0%
33,Oscar Hertz,D,1,,,,,0%,,0,,,,,,,0%,,,0%
35,Mark Witt,D,1,,,,,0%,,0,1,,,,,,0%,,,0%
38,Ben Locke,A,1,,,,,0%,,0,,,,,,,0%,,,0%
41,Jack Parr,A,1,,,,1,0%,1,100,,1,1,,,,0%,,,0%
43,Luis Castro,M,1,,,,,0%,,0,,,,,,,0%,,,0%
48,Matthew Gunty,FO,1,,,,,0%,,0,4,,1,,,,0%,8,11,73%
50,Zander Valentini,D,1,,,,,0%,,0,,,,,,,0%,,,0%
92,Phil Goss,G,1,,,,,0%,,0,1,,,11,5,16,69%,,,0%
