#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
1,Logan McGovern,A,11,20,24,44,58,34%,32,55,20,1,27,0,0,0,0%,0,0,0%
14,Bennett Abladian,A,13,29,8,37,75,39%,55,73,20,4,12,0,0,0,0%,0,0,0%
6,Marc O'Rourke,A,5,21,3,24,71,30%,41,58,7,3,3,,,,0%,,,0%
9,Kevin Groeninger,A,12,10,9,19,45,22%,26,58,10,0,7,0,0,0,0%,0,0,0%
34,Aidan Goltz,M,12,16,2,18,45,36%,28,62,9,1,10,0,0,0,0%,0,0,0%
85,Trevor Weingarten,M,12,10,7,17,55,18%,35,64,11,2,12,0,0,0,0%,0,0,0%
23,Jake Buonaiuto,A,13,11,5,16,59,19%,33,56,18,2,19,0,0,0,0%,0,0,0%
10,Mason Drouin,M,13,11,4,15,44,25%,19,43,11,0,12,0,0,0,0%,0,0,0%
66,Isaiah Davis,A,7,9,1,10,17,53%,12,71,4,,2,,,,0%,,,0%
8,Jacob Alexander,M,11,6,3,9,18,33%,13,72,75,0,8,0,0,0,0%,128,221,58%
28,Austin Kent,M,12,4,4,8,22,18%,13,59,3,0,5,0,0,0,0%,0,0,0%
31,Timmy Hackett,M,10,5,2,7,15,33%,11,73,5,0,3,0,0,0,0%,0,0,0%
48,Zach Coffey,D,13,5,1,6,22,23%,14,64,25,12,4,0,0,0,0%,0,0,0%
22,Sam Goforth,M,10,3,1,4,13,23%,8,62,10,0,6,0,0,0,0%,0,0,0%
24,Ryan Dobrzynski,M,10,3,1,4,8,38%,6,75,5,0,1,0,0,0,0%,0,0,0%
33,Jon Miller,M,11,1,3,4,2,50%,1,50,19,6,6,0,0,0,0%,0,0,0%
63,Jake Fiske,D,13,3,1,4,12,25%,10,83,28,15,3,0,0,0,0%,0,0,0%
11,Tim LaCroix,M,5,0,2,2,2,0%,1,50,0,0,1,0,0,0,0%,0,0,0%
18,Emmet Kemble,M,10,2,0,2,6,33%,3,50,11,5,6,0,0,0,0%,0,0,0%
21,Mike Kearney,M,4,2,,2,7,29%,3,43,1,,1,,,,0%,,,0%
32,Will Ronan,M,11,0,2,2,1,0%,1,100,10,0,0,0,0,0,0%,0,0,0%
81,Nathan Laliberte,M,8,2,0,2,7,29%,7,100,45,0,2,0,0,0,0%,82,137,60%
15,Lucas Hogan,M,2,1,,1,1,100%,1,100,,,,,,,0%,,,0%
25,Mason Balch,A,6,0,1,1,0,0%,0,0,1,1,1,0,0,0,0%,0,0,0%
27,Collin Almeida,M,1,1,,1,2,50%,2,100,,,,,,,0%,,,0%
35,Chad Vasquenza,D,2,1,,1,1,100%,1,100,,,,,,,0%,,,0%
38,Will Milewski,D,6,1,,1,1,100%,1,100,3,,1,,,,0%,,,0%
44,Luke Caracciolo,G,12,0,1,1,0,0%,0,0,17,2,3,147,132,279,53%,0,0,0%
55,Brody Rule,D,11,0,1,1,0,0%,0,0,25,13,4,0,0,0,0%,0,0,0%
92,LaJhon Jones,D,13,1,0,1,2,50%,1,50,31,15,8,0,0,0,0%,0,0,0%
3,Pat Brosnan,A,4,0,0,0,0,0%,0,0,0,0,2,0,0,0,0%,0,0,0%
5,Ryan Ramirez,M,7,0,0,0,1,0%,0,0,3,0,0,0,0,0,0%,0,0,0%
20,Ryan Baker,D,12,0,0,0,1,0%,1,100,17,14,4,0,0,0,0%,0,0,0%
26,Jack Aigner,M,4,0,0,0,0,0%,0,0,2,0,1,0,0,0,0%,4,9,44%
29,Keaton Jones,M,12,0,0,0,0,0%,0,0,6,5,4,0,0,0,0%,0,0,0%
39,Dante Pasqualoni,D,5,0,0,0,0,0%,0,0,2,0,0,0,0,0,0%,0,0,0%
45,Cole Garvey,D,6,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,0,0,0%
2,Nick Beeson,M,2,,,,,0%,,0,,,,,,,0%,,,0%
7,Riley Van Duzer,M,2,,,,,0%,,0,,,,,,,0%,,,0%
12,Easton Gormican,G,1,,,,,0%,,0,,,,,,,0%,,0,0%
16,Ryan Auger,A,1,,,,,0%,,0,,,,,,,0%,,,0%
17,Matt Prochaska,M,1,,,,1,0%,,0,1,,,,,,0%,,,0%
30,Austin Larabee,D,2,,,,,0%,,0,2,,,,,,0%,,,0%
36,Liam Peterson,D,1,,,,,0%,,0,,1,,,,,0%,,,0%
40,Brennan Hart,G,1,,,,,0%,,0,,,,,,,0%,,,0%
42,Jack Horan,D,7,,,,,0%,,0,5,2,1,,,,0%,,,0%
49,CJ Sweitzer,M,2,,,,2,0%,1,50,1,,1,,,,0%,,,0%
58,Ean Patry,G,1,,,,,0%,,0,,,,,,,0%,,,0%
73,Teagan Alexander,G,1,,,,,0%,,0,2,1,,17,13,30,57%,,,0%
