#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
11,Tommy Sopko,A,8,23,7,30,75,31%,47,63,18,4,15,,,,0%,,,0%
7,Alston Tarry,A,8,13,11,24,51,25%,31,61,13,3,21,,,,0%,,,0%
45,Dutch Furlong,A,8,7,5,12,32,22%,12,38,3,,7,,,,0%,,,0%
2,Harry Wellford,M,6,7,4,11,33,21%,18,55,3,,5,,,,0%,,,0%
40,Tanner Germain,M,8,7,4,11,28,25%,19,68,2,1,2,,,,0%,,,0%
42,Brenden Lundy,A,6,10,1,11,28,36%,21,75,6,2,5,,,,0%,,,0%
6,Sumner Brumbaugh,M,8,5,5,10,24,21%,18,75,11,,6,,,,0%,,,0%
8,Jack Feda,A,8,7,2,9,21,33%,12,57,6,2,3,,,,0%,,,0%
1,Matthew Barkauskas,M,7,1,2,3,6,17%,3,50,2,2,3,,,,0%,,,0%
4,Nick Clarke,M,8,1,2,3,5,20%,3,60,8,3,3,,,,0%,,,0%
9,Matt Fedorjaka,M,8,,3,3,2,0%,1,50,13,7,8,,,,0%,,,0%
10,Brendan Egan,M,8,1,1,2,6,17%,5,83,3,1,2,,,,0%,,,0%
23,Joe Scattareggia,M,8,1,1,2,2,50%,2,100,14,6,,,,,0%,,,0%
66,Danny Striano,M,8,,2,2,7,0%,1,14,30,4,3,,,,0%,4,12,33%
26,Richie Striano,M,3,,1,1,1,0%,1,100,,,1,,,,0%,,,0%
77,Frankie Higgins,LSM,8,,1,1,1,0%,1,100,13,4,,,,,0%,,,0%
3,Garrett Sweely,M,2,,,,,0%,,0,,,1,,,,0%,,,0%
5,J.J. Alicea,M,3,,,,,0%,,0,,,2,,,,0%,,,0%
12,Conor McCusker,FO,8,,,,,0%,,0,5,,,,,,0%,24,48,50%
13,Patrick Ciquera,A,3,,,,1,0%,1,100,,,,,,,0%,,,0%
14,Jack Billitier,M,1,,,,,0%,,0,,,,,,,0%,,,0%
15,Luke Diiorio,LSM,4,,,,,0%,,0,1,,,,,,0%,,,0%
16,Jared Hodell,M,3,,,,,0%,,0,,,,,,,0%,,,0%
18,Ben Clark,G,7,,,,1,0%,,0,16,3,2,63,73,136,46%,,,0%
19,Zach Tucker,M,5,,,,2,0%,2,100,,,,,,,0%,,,0%
20,Brian Miller,M,1,,,,,0%,,0,,,,,,,0%,,,0%
21,Jack Van Slyke,G,2,,,,,0%,,0,,,,2,3,5,40%,,,0%
25,Colin O'Brien,M,5,,,,5,0%,2,40,1,,,,,,0%,,,0%
27,Bryant Boswell,D,7,,,,1,0%,,0,16,14,4,,,,0%,,7,0%
28,Reid Delanois,LSM,6,,,,2,0%,,0,16,6,2,,,,0%,,,0%
29,Andrew Stanzel,M,4,,,,,0%,,0,,,,,,,0%,,,0%
31,Daniel Parson,G,6,,,,,0%,,0,5,,3,23,30,53,43%,,,0%
32,Duncan Hill,D,5,,,,,0%,,0,3,2,,,,,0%,,,0%
34,Hank Bethel,D,4,,,,,0%,,0,1,,,,,,0%,,,0%
36,Travis Talarico,D,8,,,,,0%,,0,28,11,4,,,,0%,,,0%
37,C.J. Baroni,M,6,,,,4,0%,1,25,2,,1,,,,0%,,,0%
48,Brendan Coyle,FO,1,,,,,0%,,0,1,1,1,,,,0%,,3,0%
55,Nick Crovatto,FO,8,,,,1,0%,,0,19,1,1,,,,0%,64,144,44%
88,Drew Wellington,D,5,,,,,0%,,0,9,5,5,,,,0%,,,0%
