#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
24,Jacob Buck,A,10,14,15,29,53,26%,32,60,24,5,27,,,,0%,,,0%
39,Keegan Kozack,A,10,19,5,24,74,26%,44,59,12,2,10,,,,0%,,,0%
23,Hunter Parucki,M,10,7,9,16,33,21%,17,52,6,2,12,,,,0%,,,0%
26,Mike Penna,A,9,10,5,15,33,30%,22,67,11,1,5,,,,0%,,,0%
36,Dan Kritkausky,M,10,15,,15,60,25%,33,55,10,1,17,,,,0%,,,0%
17,Jackson Naylor,M,10,5,8,13,30,17%,16,53,4,3,14,,,,0%,,,0%
2,Nathan Conry,M,10,7,2,9,28,25%,13,46,13,3,20,,,,0%,,,0%
19,Jackson Webster,M,10,3,2,5,14,21%,8,57,1,,5,,,,0%,,,0%
51,Andrew Schermerhorn,A,7,2,2,4,5,40%,4,80,4,,2,,,,0%,,,0%
4,Ryan Cicci,M,10,2,1,3,11,18%,8,73,3,1,4,,,,0%,,,0%
41,Ethan Coughlin,M,8,3,,3,9,33%,5,56,,,6,,,,0%,,,0%
3,Kyle Brunsch,M,7,,2,2,1,0%,1,100,,,1,,,,0%,,,0%
30,Connor Beals,FO,10,1,1,2,6,17%,5,83,59,2,10,,,,0%,122,228,54%
47,Ryan Furlong,M,10,2,,2,3,67%,3,100,6,,3,,,,0%,,,0%
5,Timothy Lischer,M,3,1,,1,2,50%,2,100,4,,1,,,,0%,,,0%
7,Declan Makuch,D,9,,1,1,2,0%,2,100,3,2,3,,,,0%,,,0%
22,Mark Allen,M,8,1,,1,1,100%,1,100,4,2,1,,,,0%,,,0%
27,Jake Lemon,M,2,1,,1,1,100%,1,100,,,,,,,0%,,,0%
52,Paul Medrick,D,9,,1,1,,0%,,0,5,5,1,,,,0%,,,0%
9,Matt Vavonese,G,7,,,,,0%,,0,25,6,6,73,70,143,51%,,,0%
10,Isaiah Ricketts,M,10,,,,1,0%,,0,13,4,7,,,,0%,,,0%
11,Mike Carbone,M,3,,,,,0%,,0,,1,1,,,,0%,,,0%
12,Jake Hardy,D,4,,,,,0%,,0,1,,,,,,0%,,,0%
18,CJ Goss,D,1,,,,,0%,,0,2,1,,,,,0%,,,0%
33,Otto Bergmann,G,6,,,,1,0%,,0,4,,4,39,37,76,51%,,,0%
34,Kevin Eells,D,3,,,,,0%,,0,,,,,,,0%,,,0%
37,Ryan Wierzbicki,M,8,,,,1,0%,,0,11,8,,,,,0%,,,0%
43,Ryan Sharkey,D,10,,,,,0%,,0,23,15,9,,,,0%,,,0%
44,Robbie Marten,D,10,,,,,0%,,0,7,4,4,,,,0%,,,0%
45,Jacob Pahnke,D,10,,,,1,0%,,0,29,7,6,,,,0%,,,0%
48,Trevor Folsom,FO,3,,,,,0%,,0,,,,,,,0%,3,5,60%
49,Logan Tobias,M,1,,,,,0%,,0,,,,,,,0%,,,0%
