#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
33,Chase Baker,A,8,17,1,18,47,36%,31,66,7,,14,,,,0%,,,0%
23,Jason Sullivan,A,10,6,11,17,18,33%,9,50,8,2,8,,,,0%,,,0%
19,Tristan Hanna,A,10,8,8,16,35,23%,18,51,14,4,16,,,,0%,,,0%
1,Stephen Masi,M,10,9,4,13,28,32%,13,46,3,1,12,,,,0%,,,0%
16,Brendan Sigurdson,A,10,8,5,13,36,22%,24,67,3,,19,,,,0%,,,0%
48,Nick Polydoras,M,10,10,1,11,35,29%,16,46,10,5,13,,,,0%,,,0%
25,Dylan Warner,A,10,5,4,9,30,17%,12,40,4,,6,,,,0%,,,0%
27,Noah Gleeson,M,8,4,4,8,13,31%,9,69,21,4,5,,,,0%,,,0%
7,Derek Radke,A,10,3,3,6,13,23%,6,46,1,,9,,,,0%,,,0%
11,Michael Wilson,A,4,2,4,6,8,25%,7,88,8,,7,,,,0%,,,0%
18,Ian McKissick,M,10,3,3,6,13,23%,10,77,7,2,8,,,,0%,,,0%
9,Zach Whitenack,LSM,10,2,2,4,7,29%,4,57,16,22,9,,,,0%,,,0%
41,Gabe Reno,M,10,3,1,4,21,14%,11,52,2,,8,,,,0%,,,0%
10,Connor Zwagerman,M,10,2,,2,4,50%,3,75,9,1,6,,,,0%,,,0%
40,Evan Moskwa,FO,10,2,,2,5,40%,3,60,45,2,7,,,,0%,87,167,52%
31,Evan Ansted,M,9,1,,1,7,14%,6,86,5,,3,,,,0%,,,0%
35,Matt Manfredi,M,10,,1,1,2,0%,,0,27,5,3,,,,0%,,,0%
44,Quinn Lemke,D,10,1,,1,2,50%,2,100,20,10,6,,,,0%,,,0%
13,Zachary Galovich,D,7,,0,0,,0%,,0,6,1,1,,,,0%,,,0%
2,Karson Burkey,D,3,,,,,0%,,0,1,,1,,,,0%,,,0%
3,Gareth Haigh,G,2,,,,,0%,,0,1,,,,,,0%,,,0%
5,Kevin Sobey,G,10,,,,,0%,,0,12,5,3,115,106,221,52%,,,0%
12,Cole Anderson,FO,1,,,,,0%,,0,1,,,,,,0%,,,0%
14,Michael Mihalic,M,1,,,,,0%,,0,,,,,,,0%,,,0%
20,Michael Harris,LSM,10,,,,1,0%,1,100,25,8,3,,,,0%,,,0%
21,Justin Conner,D,1,,,,,0%,,0,,,,,,,0%,,,0%
26,Reggie Regala,D,2,,,,1,0%,,0,,1,,,,,0%,,,0%
28,Adam Clark,A,1,,,,,0%,,0,,,1,,,,0%,,,0%
30,Charlie Williams,FO,8,,,,1,0%,,0,8,,1,,,,0%,20,57,35%
36,Tanner Cox,D,10,,,,,0%,,0,11,3,2,,,,0%,,,0%
38,Colin Willis,G,1,,,,,0%,,0,,,,,1,1,0%,,,0%
45,Oisin McTigue,D,10,,,,1,0%,,0,9,8,3,,,,0%,,,0%
47,Gannon Matthews,M,1,,,,,0%,,0,1,,,,,,0%,,,0%
88,Jacob Humphreys,D,2,,,,,0%,,0,,,,,,,0%,,,0%
