#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
33,Brian Minicus,M,9,15,25,40,50,30%,29,58,23,2,28,0,0,0,0%,0,0,0%
9,Mike Hawkins,M,10,19,12,31,56,34%,38,68,18,3,16,0,0,0,0%,0,0,0%
10,Jacob Sposita,M,10,10,6,16,44,23%,32,73,6,2,12,0,0,0,0%,0,0,0%
3,James Caddigan,A,9,11,3,14,37,30%,24,65,14,1,6,0,0,0,0%,0,0,0%
18,Adam Salvaggio,A,8,12,2,14,36,33%,25,69,2,0,7,0,0,0,0%,0,0,0%
44,Brendan Jordan,M,10,8,6,14,32,25%,16,50,11,1,3,0,0,0,0%,0,0,0%
12,Michael Minicus,A,10,8,2,10,24,33%,14,58,9,1,7,0,0,0,0%,0,0,0%
14,Marshall Terres,M,10,9,1,10,33,27%,19,58,9,2,13,0,0,0,0%,0,0,0%
22,Ryan Decker,M,10,2,2,4,10,20%,3,30,25,4,5,0,0,0,0%,0,0,0%
23,Thomas Colucci,FO,8,2,1,3,3,67%,2,67,50,4,6,,,,0%,100,186,54%
42,Owen Callahan,D,9,2,1,3,3,67%,3,100,26,2,4,0,0,0,0%,0,0,0%
1,Alex Pistorius,A,3,2,0,2,9,22%,3,33,2,0,1,0,0,0,0%,0,0,0%
20,Michael Lia,D,9,2,0,2,5,40%,3,60,8,2,5,0,0,0,0%,0,0,0%
38,Donny Gayhardt,D,7,1,1,2,4,25%,1,25,10,8,7,,,,0%,,,0%
2,Bobby Goggin,M,2,1,,1,3,33%,1,33,,,,,,,0%,,,0%
7,Nathan Fasanaro,A,4,1,,1,4,25%,3,75,,,1,,,,0%,,,0%
16,Colin Ruppenstein,M,10,1,0,1,8,13%,2,25,4,0,2,0,0,0,0%,0,0,0%
25,Will Rosenblatt,D,9,1,,1,1,100%,1,100,11,5,2,,,,0%,,,0%
49,Sean Collins,G,10,0,1,1,0,0%,0,0,19,1,8,123,131,254,48%,0,0,0%
27,Thor Adamec,LSM,10,0,0,0,0,0%,0,0,27,8,3,0,0,0,0%,0,0,0%
31,Brian Wilmans,FO,7,0,0,0,0,0%,0,0,10,0,1,0,0,0,0%,36,78,46%
32,Aidan Toomey,LSM,10,0,0,0,1,0%,0,0,13,4,10,0,0,0,0%,0,0,0%
39,Will Sidari,D,10,0,0,0,2,0%,0,0,18,7,5,0,0,0,0%,0,0,0%
5,Chip Cameron,M,1,,,,,0%,,0,,,,,,,0%,,,0%
6,Nick Salameda,LSM,9,,,,,0%,,0,4,1,2,,,,0%,,,0%
8,Ryan Essensa,M,2,,,,,0%,,0,1,,,,,,0%,,,0%
11,Conner Brook,M,5,,,,,0%,,0,3,,2,,,,0%,,,0%
15,Chris Francesco,M,1,,,,,0%,,0,,,,,,,0%,,,0%
17,Shane Houska,D,2,,,,,0%,,0,,,,,,,0%,,,0%
19,Alessio Giovannetti,FO,1,,,,,0%,,0,,,,,,,0%,,,0%
21,Jack Budniewski,M,1,,,,,0%,,0,1,,,,,,0%,4,9,44%
24,Matt Harris,M,2,,,,,0%,,0,1,,,,,,0%,,,0%
26,John Galbraith,M,1,,,,,0%,,0,,,,,,,0%,,,0%
28,Peter Mullen,M,1,,,,,0%,,0,,,,,,,0%,,,0%
34,Luke Hunziker,D,1,,,,,0%,,0,,,,,,,0%,,,0%
36,Sean Nelson,D,2,,,,,0%,,0,,,,,,,0%,,,0%
37,Jake Wingate,D,1,,,,,0%,,0,,,1,,,,0%,,,0%
41,Charlie Messineo,D,2,,,,,0%,,0,,,,,,,0%,,,0%
45,Bruce Ferguson,M,5,,,,,0%,,0,1,,,,,,0%,,,0%
