#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
20,Henry Bonnie,A,1,2,1,3,6,33%,2,33,,,1,,,,0%,,,0%
33,Nate Davis,A,1,2,1,3,3,67%,2,67,3,,,,,,0%,,,0%
3,George Prince,A,1,1,1,2,6,17%,3,50,1,,1,,,,0%,,,0%
4,Matt Paul,A,1,1,1,2,9,11%,4,44,1,,2,,,,0%,,,0%
17,Peter Lapina,A,1,1,1,2,4,25%,4,100,2,1,1,,,,0%,,,0%
8,Greyson Ergenbright,M,1,,1,1,1,0%,,0,2,1,3,,,,0%,,,0%
28,Jack Schifino,G,1,,1,1,,0%,,0,,,,,,,0%,,,0%
46,Ben DiGiovanni,M,1,1,,1,4,25%,3,75,,,1,,,,0%,,,0%
48,Spencer Warezak,M,1,1,,1,3,33%,1,33,,,1,,,,0%,,,0%
2,Daniel Hincks,G,1,,,,,0%,,0,,,,19,14,33,58%,,,0%
5,Hunter Binney,G,1,,,,,0%,,0,,,,1,1,2,50%,,,0%
6,Foster Burnley,D,1,,,,,0%,,0,1,1,1,,,,0%,,,0%
9,Blake Brookes,D,1,,,,,0%,,0,4,2,2,,,,0%,,,0%
10,Westy McLaughlin,A,1,,,,1,0%,1,100,2,,1,,,,0%,,,0%
11,Kiernan Gunn,M,1,,,,,0%,,0,2,1,2,,,,0%,,,0%
32,Cooper Higgins,M,1,,,,,0%,,0,,,1,,,,0%,,,0%
41,Michael Mauricio,A,1,,,,,0%,,0,,,1,,,,0%,,,0%
42,Kellen Paradine,D,1,,,,,0%,,0,2,2,1,,,,0%,1,1,100%
43,TJ Bryan,FO,1,,,,,0%,,0,11,,1,,,,0%,17,27,63%
44,Matt Erfle,D,1,,,,,0%,,0,1,1,2,,,,0%,,,0%
50,Jack Cooleen,D,1,,,,,0%,,0,,1,,,,,0%,,,0%
