#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
6,Charlie Kitchen,A,11,28,27,55,93,30%,50,54,19,3,23,,,,0%,,,0%
19,Mike Robinson,A,12,43,8,51,124,35%,71,57,45,3,18,0,0,0,0%,0,0,0%
2,Tye Kurtz,A,11,26,22,48,73,36%,46,63,32,2,17,,,,0%,,,0%
48,Mark Bieda,A,13,17,10,27,39,44%,29,74,6,0,12,0,0,0,0%,0,0,0%
45,Cam Acchione,M,13,22,3,25,45,49%,33,73,4,0,11,0,0,0,0%,0,0,0%
25,Matt Acchione,M,13,12,7,19,37,32%,26,70,8,0,6,0,0,0,0%,0,0,0%
37,Justin Scott,A,12,4,4,8,35,11%,19,54,7,3,8,0,0,0,0%,0,0,0%
42,JP Ward,A,11,2,4,6,6,33%,4,67,6,0,8,0,0,0,0%,0,0,0%
51,Jake DeMare,M,8,1,4,5,9,11%,3,33,0,0,4,0,0,0,0%,0,0,0%
13,Nick Jessen,M,10,4,1,5,27,15%,11,41,6,0,2,0,0,0,0%,0,0,0%
81,Owen Grant,D,11,3,1,4,11,27%,3,27,42,26,6,,,,0%,,,0%
22,Clay Miller,M,4,1,3,4,4,25%,3,75,2,1,5,0,0,0,0%,0,0,0%
1,Jake Hervada,FO,12,2,1,3,6,33%,3,50,45,3,5,0,0,0,0%,91,179,51%
8,Brook Rideau,M,7,2,1,3,8,25%,4,50,3,0,1,0,0,0,0%,0,0,0%
27,Reed Kurtz,M,12,1,2,3,1,100%,1,100,23,6,4,0,0,0,0%,0,0,0%
32,Drew Lenkaitis,A,7,2,1,3,11,18%,5,45,5,,1,,,,0%,,,0%
40,Kevin McCormick,D,13,1,0,1,4,25%,2,50,20,11,5,0,0,0,0%,0,1,0%
44,Joe Speers,D,13,0,1,1,2,0%,0,0,39,14,7,0,0,0,0%,0,0,0%
4,Kyle Kivinski,M,7,1,0,1,3,33%,3,100,0,0,3,0,0,0,0%,0,0,0%
23,Jason Seiter,M,12,1,0,1,3,33%,2,67,28,5,5,0,0,0,0%,0,0,0%
24,Joe Lenskold,FO,5,,1,1,,0%,,0,3,1,2,,,,0%,5,8,63%
29,Harrison Ewing,M,8,1,0,1,1,100%,1,100,5,0,1,0,0,0,0%,0,0,0%
38,Logan Premtaj,FO,7,0,0,0,1,0%,1,100,13,0,0,0,0,0,0%,31,52,60%
41,Kevin Lynch,D,4,0,0,0,0,0%,0,0,2,3,0,0,0,0,0%,0,0,0%
46,Jonathan Osmun,M,2,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
55,Jed Raby,D,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
88,Jake Govett,A,4,0,0,0,0,0%,0,0,0,0,2,0,0,0,0%,0,0,0%
3,George Ward,A,3,0,0,0,2,0%,0,0,0,0,1,0,0,0,0%,0,0,0%
5,Rich Dion,D,2,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
12,Tommy Beeby,M,2,0,0,0,0,0%,0,0,0,0,1,0,0,0,0%,0,0,0%
14,Evan Gavalakis,A,5,0,0,0,1,0%,1,100,1,0,2,0,0,0,0%,0,0,0%
15,Kevin Ellington,G,1,0,0,0,0,0%,0,0,0,0,0,0,2,2,0%,0,0,0%
16,Demetrius Stevenson,M,6,0,0,0,5,0%,1,20,0,0,0,0,0,0,0%,0,0,0%
18,Aidan Fritz,M,13,0,0,0,4,0%,1,25,19,4,3,0,0,0,0%,0,0,0%
20,Matt Montgomery,D,2,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
28,Roland Hockenbery,FO,10,0,0,0,0,0%,0,0,21,2,6,0,0,0,0%,44,103,43%
30,AJ Hoffmann,D,7,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,0,0,0%
33,John Scheivert,M,10,0,0,0,0,0%,0,0,5,2,1,0,0,0,0%,0,0,0%
34,Ryan Shaw,D,8,0,0,0,0,0%,0,0,5,3,1,0,0,0,0%,0,0,0%
35,Jake Spaniak,FO,3,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,3,4,75%
36,Matt Kilkeary,G,13,0,0,0,0,0%,0,0,14,1,3,154,129,283,54%,0,0,0%
50,Blake Gagen,D,1,,,,,0%,,0,,,,,,,0%,,,0%
7,Connor Pierce,M,1,,,,,0%,,0,,,,,,,0%,,,0%
9,Peter St. Geme,M,9,,,,4,0%,2,50,4,,4,,,,0%,,,0%
11,Josh Bayer,D,1,,,,,0%,,0,1,,,,,,0%,,,0%
26,Tate Wasson,D,12,,,,,0%,,0,10,6,2,,,,0%,,,0%
