#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
32,Jackson Morrill,A,16,30,36,66,74,41%,44,59,19,3,17,0,0,0,0%,0,0,0%
57,Ethan Walker,A,14,37,21,58,106,35%,73,69,23,0,22,0,0,0,0%,0,0,0%
9,Alex Simmons,M,13,31,21,52,76,41%,50,66,15,6,14,0,0,0,0%,0,0,0%
3,Jack Hannah,M,16,34,10,44,132,26%,70,53,20,2,31,0,0,0,0%,0,0,0%
34,Lucas Cotler,M,16,17,9,26,64,27%,38,59,14,2,10,0,0,0,0%,0,0,0%
33,Ted Sullivan,M,16,10,9,19,58,17%,34,59,8,1,8,0,0,0,0%,0,0,0%
5,JJ Sillstrop,A,8,11,3,14,29,38%,17,59,5,1,0,0,0,0,0%,0,0,0%
11,Riley Curtis,M,10,5,7,12,14,36%,10,71,0,0,3,0,0,0,0%,0,0,0%
59,Schuyler Blair,A,13,6,6,12,24,25%,13,54,11,0,6,0,0,0,0%,0,0,0%
18,Ellis Geis,M,14,6,4,10,23,26%,14,61,6,1,4,0,0,0,0%,0,0,0%
19,Danny Logan,M,16,4,4,8,12,33%,8,67,42,16,3,0,0,0,0%,0,0,0%
8,Drew Erickson,M,11,7,0,7,20,35%,11,55,6,0,5,0,0,0,0%,0,0,0%
12,Sam Dwinell,M,16,7,0,7,20,35%,16,80,5,0,3,0,0,0,0%,0,0,0%
22,Johnny Marrocco,A,12,3,3,6,8,38%,6,75,6,1,10,0,0,0,0%,0,0,0%
35,Zach Hutchko,M,15,3,3,6,19,16%,12,63,4,0,4,0,0,0,0%,0,0,0%
4,Reed Babcock,A,12,4,1,5,11,36%,8,73,2,0,5,0,0,0,0%,0,0,0%
21,Kyle Smith,M,16,3,1,4,6,50%,3,50,24,17,6,0,0,0,0%,0,0,0%
2,Michael Lampert,A,5,2,1,3,6,33%,3,50,0,0,1,0,0,0,0%,0,0,0%
16,AJ Mercurio,LSM,16,2,0,2,7,29%,3,43,17,9,2,0,0,0,0%,0,0,0%
52,Malik Sparrow,LSM,14,2,0,2,4,50%,2,50,14,4,3,0,0,0,0%,0,0,0%
1,Jake Edinger,M,16,0,1,1,0,0%,0,0,10,0,1,0,0,0,0%,0,0,0%
20,Jack Thompson,G,16,0,1,1,0,0%,0,0,12,5,5,145,105,250,58%,0,0,0%
25,Ty Badciong,M,7,1,0,1,3,33%,2,67,4,1,2,0,0,0,0%,0,0,0%
37,Alec Stathakis,FO,16,1,0,1,10,10%,2,20,107,0,10,0,0,0,0%,185,290,64%
45,Carter Brand,M,3,1,,1,2,50%,1,50,2,,,,,,0%,,,0%
47,Jack Tuttle,M,3,1,,1,2,50%,1,50,1,,,,,,0%,,,0%
48,Matthew Marino,M,10,0,1,1,0,0%,0,0,3,1,2,0,0,0,0%,0,0,0%
62,Logan Devereaux,M,6,1,0,1,7,14%,2,29,1,0,1,0,0,0,0%,0,0,0%
