#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
91,Brett Erskine,A,7,17,8,25,54,31%,35,65,15,5,12,,,,0%,,,0%
26,Will Edell,A,7,7,6,13,30,23%,21,70,16,3,7,,,,0%,,,0%
7,Ryan Birney,M,7,10,2,12,47,21%,26,55,6,1,10,,,,0%,,,0%
12,Luke Majick,M,6,6,6,12,16,38%,9,56,5,,6,,,,0%,,,0%
77,AJ Van Voorhis,A,7,5,2,7,17,29%,9,53,2,,9,,,,0%,,,0%
23,Cam Kostus,M,5,3,3,6,30,10%,14,47,3,,3,,,,0%,,,0%
33,Kyle Loken,M,7,5,1,6,14,36%,7,50,13,5,3,,,,0%,,,0%
43,Jack Watsic,A,5,2,3,5,14,14%,6,43,,1,7,,,,0%,,,0%
55,Matt Blevins,M,7,2,2,4,13,15%,4,31,3,,2,,,,0%,,,0%
10,Matt Turner,M,5,3,,3,10,30%,4,40,7,,3,,,,0%,,,0%
18,Paul Manuszak,LSM,7,2,1,3,6,33%,6,100,36,13,3,,,,0%,,,0%
21,Alex Jarzembowski,M,7,2,,2,8,25%,4,50,33,2,6,,,,0%,91,152,60%
37,Cole Gellatly,A,5,1,1,2,4,25%,2,50,,,1,,,,0%,,,0%
8,Ryan Figueiras,A,4,1,0,1,13,8%,5,38,5,1,7,,,,0%,,,0%
16,Ivan Progar,M,4,1,,1,5,20%,2,40,2,1,2,,,,0%,,,0%
32,Scott Shepard,A,4,1,,1,1,100%,1,100,,,,,,,0%,,,0%
2,Logan Shamblin,G,7,,,,,0%,,0,24,4,3,80,67,147,54%,,,0%
9,Kelson Connors,D,2,,,,,0%,,0,,,,,,,0%,,,0%
11,Jake Freedlander,M,1,,,,,0%,,0,,,,,,,0%,1,1,100%
13,Max Payton,A,1,,,,,0%,,0,,,,,,,0%,,,0%
14,David Beacom,M,7,,,,1,0%,,0,,,3,,,,0%,,,0%
17,Justin Petouhoff,D,7,,,,,0%,,0,4,3,2,,,,0%,,,0%
20,Ollie Nigh,M,7,,,,3,0%,3,100,21,5,6,,,,0%,,,0%
22,Keegan Stenstrom,A,3,,,,,0%,,0,,,2,,,,0%,,,0%
24,Ryan Lamb,A,1,,,,1,0%,1,100,,,,,,,0%,,,0%
28,Cai Hadaway,M,1,,,,1,0%,,0,,,,,,,0%,,,0%
30,Noah Martin,LSM,7,,,,,0%,,0,2,1,,,,,0%,,,0%
34,Owen Bruinius,D,6,,,,,0%,,0,8,6,1,,,,0%,,,0%
44,Ally Don Jean-Francois,M,5,,,,,0%,,0,,1,,,,,0%,,,0%
46,Alex Akins,D,7,,,,,0%,,0,11,8,1,,,,0%,,,0%
50,Mason Kamminga,D,3,,,,3,0%,1,33,,,,,,,0%,,,0%
71,Asher Mendell,A,1,,,,,0%,,0,,,,,,,0%,,,0%
93,Sam McClain,D,7,,,,3,0%,1,33,10,6,5,,,,0%,,,0%
