#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
8,Sean Donnelly,A,12,25,19,44,87,29%,49,56,15,2,23,,,,0%,,,0%
50,Aidan Coll,A,12,32,11,43,70,46%,44,63,17,1,18,,,,0%,,,0%
28,Ryan Genord,M,10,19,12,31,76,25%,40,53,12,6,10,,,,0%,,,0%
5,Jack Mulcahy,A,12,18,10,28,61,30%,38,62,12,,19,,,,0%,,,0%
21,Reid Bowering,A,8,21,3,24,43,49%,29,67,22,5,10,,,,0%,,,0%
47,Luke Tomak,A,7,11,8,19,42,26%,26,62,5,,5,,,,0%,,,0%
9,Collin Mailman,M,12,7,4,11,60,12%,27,45,8,2,9,,,,0%,,,0%
55,Zach Augustine,A,10,6,3,9,10,60%,8,80,5,,3,,,,0%,,,0%
17,George Grippo,A,12,1,7,8,4,25%,1,25,15,16,6,,,,0%,,,0%
10,Luke Hurley,M,12,4,3,7,7,57%,4,57,17,3,,,,,0%,,,0%
52,Sean Curcio,A,11,4,2,6,19,21%,12,63,5,,2,,,,0%,,,0%
12,Danny Varga,M,6,4,2,6,12,33%,7,58,,,7,,,,0%,,,0%
2,Casey Waller,M,11,2,3,5,16,13%,9,56,3,,4,,,,0%,,,0%
14,Brent McVicker,M,12,3,1,4,5,60%,4,80,19,1,6,,,,0%,,,0%
43,Sean Quinn,D,12,2,2,4,6,33%,3,50,39,20,6,,,,0%,,,0%
35,Brennan Greenwald,D,12,,3,3,,0%,,0,24,7,3,,,,0%,,,0%
7,Carter Begley,A,5,2,,2,4,50%,2,50,1,,,,,,0%,,,0%
18,Ronnie Gunter,M,4,2,,2,7,29%,5,71,,,4,,,,0%,,,0%
22,Charlie Maly,D,12,1,1,2,3,33%,2,67,20,10,2,,,,0%,,,0%
24,Jack Farrell,D,11,1,1,2,2,50%,2,100,19,9,4,,,,0%,,,0%
3,Charles Dumas,A,2,1,,1,4,25%,4,100,,,,,,,0%,,,0%
20,Jimmeh Koita,FO,12,,1,1,,0%,,0,71,1,6,,,,0%,133,262,51%
25,Henri Pfeifle,M,3,1,,1,1,100%,1,100,,,,,,,0%,,,0%
31,Kyle Worsley,A,3,1,,1,1,100%,1,100,,,,,,,0%,,,0%
45,Lucas Snider,M,5,1,,1,1,100%,1,100,1,,,,,,0%,,,0%
49,Luke Stansfield,A,3,,,,4,0%,2,50,,,1,,,,0%,,,0%
53,Thomas Marcoon,A,4,,,,1,0%,1,100,1,,,,,,0%,,,0%
6,Casey DuBois,G,1,,,,,0%,,0,,1,,,,,0%,,,0%
13,Stephen Becker,A,1,,,,,0%,,0,,,,,,,0%,,,0%
16,Mark Hartmann,FO,5,,,,1,0%,,0,16,,3,,,,0%,24,45,53%
19,Cole Doller,A,1,,,,,0%,,0,,,,,,,0%,,,0%
23,Pat Kiernan,D,11,,,,,0%,,0,6,,1,,,,0%,,,0%
26,Cole Sprinkle,D,2,,,,,0%,,0,1,,,,,,0%,,,0%
27,Ronan Pierie,D,1,,,,,0%,,0,,,1,,,,0%,,,0%
29,Patrick Udovich,D,10,,,,1,0%,,0,10,11,5,,,,0%,,,0%
30,Paul Macrina,G,1,,,,,0%,,0,,,,1,,1,100%,,,0%
32,Ross Blumenthal,G,12,,,,,0%,,0,20,4,3,118,125,243,49%,,,0%
33,Aidan Shortley,FO,1,,,,,0%,,0,,,1,,,,0%,,,0%
34,Anthony Rosato,FO,6,,,,1,0%,,0,4,1,,,,,0%,6,24,25%
36,Liam Rosato,FO,1,,,,,0%,,0,,,,,,,0%,,1,0%
38,Kyle Munson,G,3,,,,,0%,,0,1,,1,7,3,10,70%,,,0%
40,Peter Rayhill,M,11,,,,,0%,,0,6,3,2,,,,0%,,,0%
42,Drew McGill,G,2,,,,,0%,,0,,2,,,,,0%,,,0%
48,Dan Burnam,A,3,,,,,0%,,0,1,,,,,,0%,,,0%
