#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
23,Michael Sowers,A,14,30,37,67,77,39%,48,62,16,2,24,0,0,0,0%,0,0,0%
8,Joe Robertson,A,12,33,16,49,89,37%,58,65,11,5,8,0,0,0,0%,0,0,0%
34,Brennan O'Neill,A,14,38,8,46,104,37%,66,63,15,1,16,0,0,0,0%,0,0,0%
15,Nakeie Montgomery,M,14,14,20,34,39,36%,31,79,4,2,11,0,0,0,0%,0,0,0%
13,Owen Caputo,M,14,18,4,22,58,31%,34,59,1,0,8,0,0,0,0%,0,0,0%
51,Dyson Williams,A,12,20,2,22,57,35%,36,63,9,0,9,0,0,0,0%,0,0,0%
88,Aidan Danenza,M,13,4,8,12,16,25%,7,44,4,0,6,0,0,0,0%,0,0,0%
9,Sean Lowrie,M,14,8,2,10,21,38%,14,67,4,0,3,0,0,0,0%,0,0,0%
41,Phil Robertson,A,10,6,2,8,13,46%,9,69,1,0,0,0,0,0,0%,0,0,0%
5,Cameron Badour,M,5,5,2,7,12,42%,7,58,1,0,4,0,0,0,0%,0,0,0%
16,JP Basile,A,6,4,3,7,8,50%,6,75,0,0,2,0,0,0,0%,0,0,0%
21,Cameron Mulé,A,8,7,0,7,10,70%,7,70,1,0,2,0,0,0,0%,0,0,0%
42,Reilly Walsh,M,12,5,2,7,11,45%,8,73,5,1,1,0,0,0,0%,0,0,0%
48,Charlie O'Connor,A,10,4,1,5,11,36%,8,73,4,0,4,0,0,0,0%,0,0,0%
1,Garrett Leadmon,M,9,3,1,4,13,23%,7,54,5,2,4,0,0,0,0%,0,0,0%
56,Jake Naso,M,14,2,2,4,3,67%,2,67,110,0,12,0,0,0,0%,190,302,63%
6,Jake Caputo,M,13,2,1,3,6,33%,4,67,14,1,8,0,0,0,0%,0,0,0%
11,Terry Lindsay,M,14,2,0,2,4,50%,3,75,14,7,0,0,0,0,0%,0,0,0%
31,Joey Manown,A,5,2,0,2,3,67%,2,67,3,0,1,0,0,0,0%,0,0,0%
33,Tyler Carpenter,LSM,14,2,0,2,9,22%,6,67,60,19,10,0,0,0,0%,0,0,0%
2,JT Giles-Harris,D,14,0,1,1,0,0%,0,0,24,13,8,0,0,0,0%,0,0,0%
7,Will Frisoli,D,9,0,1,1,0,0%,0,0,8,0,0,0,0,0,0%,0,0,0%
12,Kevin Quigley,M,10,1,0,1,10,10%,5,50,0,0,3,0,0,0,0%,0,0,0%
14,Jadon Kerry,M,6,0,1,1,4,0%,2,50,1,0,1,0,0,0,0%,0,0,0%
35,Braden Burke,D,14,0,1,1,0,0%,0,0,22,7,4,0,0,0,0%,0,0,0%
44,Walker Scaglione,D,12,0,1,1,0,0%,0,0,3,2,2,0,0,0,0%,0,0,0%
50,AJ Delgado,M,4,0,1,1,1,0%,1,100,2,0,1,0,0,0,0%,0,0,0%
91,Griffin Catlett,M,8,1,0,1,3,33%,2,67,0,0,0,0,0,0,0%,0,0,0%
99,Jordan Ginder,M,6,0,1,1,0,0%,0,0,7,0,2,0,0,0,0%,11,30,37%
0,Mike Adler,G,14,0,0,0,1,0%,1,100,21,4,4,129,111,240,54%,0,0,0%
3,Cameron Henry,D,6,0,0,0,0,0%,0,0,2,0,0,0,0,0,0%,0,0,0%
4,Mike Swirbalus,M,4,0,0,0,1,0%,0,0,0,0,2,0,0,0,0%,0,0,0%
17,Raines Shamburger,LSM,6,0,0,0,0,0%,0,0,0,2,0,0,0,0,0%,0,0,0%
18,Kohl Shaffer,LSM,4,0,0,0,1,0%,1,100,1,1,0,0,0,0,0%,0,0,0%
19,Wilson Stephenson,LSM,9,0,0,0,0,0%,0,0,15,2,1,0,0,0,0%,0,0,0%
24,Frank Marinello,D,5,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,0,0,0%
25,Matt Chmil,M,12,0,0,0,2,0%,2,100,3,3,3,0,0,0,0%,0,0,0%
26,Brian Smyth,M,13,0,0,0,1,0%,0,0,10,0,3,0,0,0,0%,3,9,33%
27,Connor Drake,M,8,0,0,0,3,0%,1,33,1,0,5,0,0,0,0%,0,0,0%
