#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
22,Dylan Beckwith,A,11,27,28,55,82,33%,48,59,19,1,31,,,,0%,,,0%
5,Matt Chlastawa,A,11,12,14,26,37,32%,23,62,10,1,15,,,,0%,,,0%
12,Taylor Strough,M,10,19,4,23,72,26%,39,54,11,1,17,,,,0%,,,0%
28,Travis Ford,M,11,16,6,22,51,31%,27,53,10,3,9,,,,0%,,,0%
29,Trent Moran,M,11,8,2,10,51,16%,23,45,5,2,12,,,,0%,,,0%
4,Patrick Drake,A,5,6,3,9,18,33%,9,50,4,1,10,,,,0%,,,0%
7,Ryan Lancaster,M,10,6,3,9,21,29%,13,62,9,4,8,,,,0%,,,0%
6,Jake Coleman,A,6,3,5,8,11,27%,6,55,3,,5,,,,0%,,,0%
15,Kyle Borda,M,8,4,4,8,15,27%,9,60,1,,2,,,,0%,,,0%
33,Tyler Wuchte,M,11,3,2,5,10,30%,6,60,13,2,7,,,,0%,,,0%
44,Shane Osborne,A,11,5,,5,16,31%,9,56,3,1,3,,,,0%,,,0%
52,Malcolm MacInnes,M,5,2,2,4,2,100%,2,100,,,,,,,0%,,,0%
19,Dean Ford,M,10,3,,3,9,33%,6,67,15,3,7,,,,0%,,,0%
21,Max Paparozzi,A,8,2,1,3,8,25%,5,63,2,,3,,,,0%,,,0%
30,Brian Reda,A,3,1,2,3,2,50%,1,50,,,2,,,,0%,,,0%
45,Frankie Labetti,FO,9,2,1,3,10,20%,6,60,53,2,2,,,,0%,102,188,54%
10,Charlie Curran,A,4,1,1,2,4,25%,2,50,4,1,4,,,,0%,,,0%
11,Cole Barnard,M,7,1,1,2,5,20%,4,80,4,1,2,,,,0%,,,0%
24,Daniel Wilson,M,11,1,,1,3,33%,3,100,11,2,,,,,0%,,,0%
25,Trevor Ford,M,4,1,,1,6,17%,5,83,,1,1,,,,0%,,,0%
35,Lucas Pedersen,D,9,1,,1,3,33%,1,33,20,4,4,,,,0%,,,0%
41,Tyler Burns,D,11,1,,1,1,100%,1,100,17,13,6,,,,0%,,,0%
49,Tommy Elliott,M,7,1,,1,3,33%,1,33,2,1,,,,,0%,,,0%
1,David Dorsett,M,9,,,,1,0%,1,100,2,3,,,,,0%,,,0%
2,Jake Tymon,D,5,,,,,0%,,0,20,9,1,,,,0%,2,7,29%
3,Dylan Smith,FO,10,,,,2,0%,2,100,21,,3,,,,0%,54,118,46%
8,Tyler Pumper,D,1,,,,,0%,,0,1,,,,,,0%,,,0%
9,Colin Consoli,G,11,,,,,0%,,0,14,1,9,148,163,311,48%,,,0%
14,Cam Barisano,M,1,,,,,0%,,0,,,,,,,0%,,,0%
17,Peter Jones,G,1,,,,,0%,,0,,,,2,2,4,50%,,,0%
23,Connor Keenan,M,2,,,,,0%,,0,,,,,,,0%,,,0%
26,Jon Wheat,D,10,,,,2,0%,1,50,9,6,6,,,,0%,,,0%
27,Mikey Beil,M,1,,,,,0%,,0,,,,,,,0%,,,0%
31,Braden Lynch,D,10,,,,,0%,,0,17,6,1,,,,0%,,2,0%
34,Rory Bracken,FO,1,,,,,0%,,0,,,,,,,0%,,1,0%
36,Benjamin Rivera,D,1,,,,,0%,,0,3,,,,,,0%,,,0%
37,Ryan Hamburger,FO,2,,,,,0%,,0,,,,,,,0%,3,9,33%
39,Brendan Dreyer,M,10,,,,,0%,,0,8,1,2,,,,0%,,,0%
40,Riley Fitzsimmons,G,1,,,,,0%,,0,,,,,3,3,0%,,,0%
42,Nate Carlton,D,1,,,,,0%,,0,1,,,,,,0%,,,0%
43,George Elmquist,D,10,,,,,0%,,0,17,12,2,,,,0%,,,0%
46,Peter Leonard,G,1,,,,,0%,,0,,,,,,,0%,,,0%
47,Nick Giardina,D,4,,,,1,0%,,0,1,1,1,,,,0%,,,0%
48,Brady Strough,M,3,,,,,0%,,0,1,,1,,,,0%,,,0%
50,Zane Friedt,M,1,,,,,0%,,0,,,,,,,0%,,,0%
