#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
19,Jake Carraway,A,13,46,16,62,136,34%,88,65,13,7,30,0,0,0,0%,0,0,0%
4,TJ Haley,A,13,5,47,52,16,31%,10,63,8,4,21,0,0,0,0%,0,0,0%
9,Graham Bundy Jr.,M,14,34,12,46,111,31%,67,60,11,1,23,0,0,0,0%,0,0,0%
12,Nicky Petkevich,A,14,17,20,37,67,25%,32,48,14,3,14,0,0,0,0%,0,0,0%
1,Declan McDermott,M,14,18,9,27,73,25%,40,55,11,0,8,0,0,0,0%,0,0,0%
45,Dylan Watson,A,7,19,5,24,47,40%,32,68,4,3,5,,,,0%,,,0%
40,Dylan Hess,M,14,13,7,20,48,27%,20,42,23,4,10,0,0,0,0%,0,0,0%
41,Colin Munro,A,14,8,3,11,14,57%,10,71,7,1,9,0,0,0,0%,0,0,0%
11,Peter Thompson,M,13,7,3,10,26,27%,17,65,5,1,4,0,0,0,0%,0,0,0%
13,Zachary Geddes,M,13,4,2,6,13,31%,7,54,20,9,7,0,0,0,0%,0,0,0%
33,James Reilly,FO,14,4,2,6,17,24%,11,65,98,0,1,0,0,0,0%,163,277,59%
14,Niko Gekas,A,6,4,0,4,7,57%,4,57,2,0,1,0,0,0,0%,0,0,0%
32,Kevin Petrillo,M,5,2,2,4,4,50%,2,50,,,3,,,,0%,,,0%
17,Gibson Smith,D,7,1,2,3,3,33%,1,33,16,7,4,0,0,0,0%,0,0,0%
24,Owen McElroy,G,14,0,3,3,0,0%,0,0,37,5,4,154,101,255,60%,0,0,0%
10,Will Godine,M,13,0,2,2,5,0%,1,20,19,5,3,0,0,0,0%,0,0,0%
15,Mason Bonnie,A,7,1,1,2,3,33%,3,100,4,0,2,0,0,0,0%,0,0,0%
31,Brandon Meaux,A,4,,2,2,2,0%,,0,1,1,5,,,,0%,,,0%
44,Alex Mazzone,D,14,2,0,2,6,33%,2,33,30,15,2,0,0,0,0%,0,0,0%
48,Wallace Halpert,D,14,1,1,2,1,100%,1,100,25,9,3,,,,0%,,,0%
7,Will Tominovich,D,13,,1,1,,0%,,0,21,8,,,,,0%,,,0%
8,Chase Llewellyn,M,6,,1,1,1,0%,1,100,1,,2,,,,0%,,,0%
16,Jack Leary,M,14,1,,1,5,20%,2,40,12,7,6,,,,0%,,,0%
18,Jack Howe,M,5,,1,1,5,0%,1,20,1,,1,,,,0%,,,0%
21,Connor Humiston,A,6,1,,1,3,33%,1,33,,,1,,,,0%,,,0%
26,Jack Kelly,M,6,1,0,1,4,25%,4,100,0,1,2,0,0,0,0%,0,0,0%
34,Joe LiCalzi,D,14,0,1,1,3,0%,2,67,38,14,6,0,0,0,0%,0,0,0%
36,Chris Glynn,M,5,0,1,1,0,0%,0,0,1,1,0,0,0,0,0%,0,0,0%
2,Nate Gentile,M,5,0,0,0,3,0%,2,67,3,0,2,0,0,0,0%,0,0,0%
3,Alex Bean,FO,5,0,0,0,0,0%,0,0,3,0,0,0,0,0,0%,3,7,43%
6,Cade MacLeod,A,6,0,0,0,4,0%,1,25,2,0,5,0,0,0,0%,0,0,0%
20,Chris Walker,D,6,0,0,0,1,0%,0,0,3,2,1,0,0,0,0%,0,0,0%
23,Gavin Lindsay,M,13,0,0,0,1,0%,0,0,3,3,0,0,0,0,0%,0,0,0%
29,Carson Milburn,FO,9,0,0,0,0,0%,0,0,14,2,1,0,0,0,0%,26,46,57%
30,Noah Klein,G,7,0,0,0,0,0%,0,0,3,0,1,9,9,18,50%,0,0,0%
42,Zack Pacheco,M,5,0,0,0,5,0%,3,60,0,0,0,0,0,0,0%,0,0,0%
43,James Donaldson,D,14,0,0,0,0,0%,0,0,12,9,2,0,0,0,0%,0,0,0%
47,Griffin Aslanian,D,6,0,0,0,1,0%,1,100,3,1,1,0,0,0,0%,0,0,0%
49,Todd Kennedy Jr.,G,5,0,0,0,0,0%,0,0,1,0,2,4,1,5,80%,0,0,0%
5,Seamus Foley,D,4,,,,,0%,,0,,,,,,,0%,,,0%
25,Jack Elders,M,11,,,,3,0%,,0,4,2,2,,,,0%,,,0%
27,Gavin Garrity-Rokous,M,2,,,,,0%,,0,,,,,,,0%,,,0%
28,Cade Heverly,FO,5,,,,,0%,,0,4,,1,,,,0%,7,10,70%
35,Aidan Carroll,A,5,,,,3,0%,2,67,1,,2,,,,0%,,,0%
38,Connor O'Reilly,D,4,,,,,0%,,0,,,1,,,,0%,,,0%
39,John Dixon,FO,5,,,,,0%,,0,3,,,,,,0%,4,6,67%
50,Brendan Voelker,D,5,,,,,0%,,0,,,,,,,0%,,,0%
