#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
20,Anthony Sericolo,M,7,14,4,18,34,41%,25,74,14,2,14,,,,0%,,,0%
6,Ethan Landymore,M,6,12,2,14,20,60%,15,75,11,4,4,,,,0%,,,0%
38,Andrew Boniface,M,6,6,4,10,17,35%,12,71,6,1,9,,,,0%,,,0%
9,Carter O'Connell,M,5,6,3,9,30,20%,19,63,6,1,6,,,,0%,,,0%
4,Christian Paley,A,5,3,4,7,20,15%,10,50,4,,8,,,,0%,,,0%
7,Tyler Corpora,M,7,5,2,7,37,14%,18,49,10,3,8,,,,0%,,,0%
27,Tommy Ramsey,M,7,4,3,7,19,21%,11,58,4,,3,,,,0%,,,0%
18,Malik Gay,M,7,2,2,4,25,8%,10,40,6,,2,,,,0%,,,0%
28,James McCoy,A,5,3,1,4,13,23%,8,62,3,,9,,,,0%,,,0%
25,Braeden McKercher,A,7,2,1,3,5,40%,4,80,2,,2,,,,0%,,,0%
8,Chris Campbell,D,7,1,1,2,1,100%,1,100,22,15,2,,,,0%,,,0%
5,Frank Ranfone,M,7,,1,1,3,0%,1,33,15,7,3,,,,0%,,,0%
14,Chris Ladyga,FO,7,1,,1,3,33%,2,67,27,1,4,,,,0%,63,139,45%
17,Justin Tkachuk,M,7,,1,1,6,0%,5,83,4,2,4,,,,0%,7,19,37%
19,Hunter Krauss,A,6,1,,1,3,33%,2,67,1,1,2,,,,0%,,,0%
24,Ryan Lovell,LSM,7,1,,1,2,50%,1,50,23,6,5,,,,0%,,,0%
26,Pat Lanigan,M,2,1,,1,1,100%,1,100,1,,,,,,0%,,,0%
34,Zak Lanoue,M,7,1,,1,2,50%,2,100,9,6,1,,,,0%,,,0%
2,Joe Prikhodko,G,2,,,,,0%,,0,,,,5,4,9,56%,,,0%
3,Reese Gerlach,A,2,,,,5,0%,1,20,2,1,1,,,,0%,,,0%
10,Kyle O'Malley,LSM,1,,,,,0%,,0,,,1,,,,0%,,,0%
13,Andre Sokk,LSM,1,,,,,0%,,0,,,,,,,0%,,,0%
15,Zander Hauck,M,4,,,,,0%,,0,,,1,,,,0%,,,0%
16,Cam Logan,G,7,,,,,0%,,0,7,1,3,77,84,161,48%,,,0%
21,Malcolm Bell,D,4,,,,,0%,,0,,1,,,,,0%,,,0%
23,Spencer Frank,M,7,,,,,0%,,0,1,1,2,,,,0%,,,0%
30,Billy Briegel,D,3,,,,,0%,,0,,,,,,,0%,1,1,100%
31,Jack McCarthy,D,5,,,,,0%,,0,,3,,,,,0%,,,0%
33,TJ Summers,A,4,,,,1,0%,1,100,,,,,,,0%,,,0%
36,Wade Tucker,D,7,,,,1,0%,1,100,6,4,1,,,,0%,,,0%
42,Matthew Amato,M,7,,,,1,0%,,0,5,1,4,,,,0%,,,0%
44,Zach Buffington,D,7,,,,1,0%,,0,19,8,3,,,,0%,,,0%
45,Andrew Moynihan,FO,1,,,,,0%,,0,,,,,,,0%,4,11,36%
47,Zack Higgins,D,2,,,,,0%,,0,,,,,,,0%,,,0%
48,Colin Abbonizio,M,1,,,,,0%,,0,,,,,,,0%,,,0%
49,Liam Tarleton,LSM,5,,,,,0%,,0,1,,,,,,0%,,,0%
50,Ian Groom,FO,2,,,,,0%,,0,,,,,,,0%,2,6,33%
