#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
32,Asher Nolting,A,13,26,42,68,73,36%,47,64,17,7,56,0,0,0,0%,0,0,0%
77,Kevin Rogers,M,13,36,11,47,102,35%,65,64,14,4,17,0,0,0,0%,0,0,0%
55,Brayden Mayea,A,13,35,4,39,73,48%,52,71,20,6,17,0,0,0,0%,0,0,0%
5,Hunter Vines,M,13,14,12,26,26,54%,22,85,4,4,20,0,0,0,0%,0,0,0%
27,Dalton Sulver,M,13,21,4,25,57,37%,36,63,7,0,15,0,0,0,0%,0,0,0%
50,Sean Coughlin,A,13,13,3,16,33,39%,21,64,8,1,5,0,0,0,0%,0,0,0%
3,Koby Russell,M,13,7,2,9,17,41%,9,53,3,0,5,0,0,0,0%,0,0,0%
13,Jack Vanoverbeke,A,13,7,2,9,20,35%,10,50,5,1,6,0,0,0,0%,0,0,0%
45,Tyler Stinson,A,12,1,8,9,10,10%,3,30,3,1,3,0,0,0,0%,0,0,0%
61,Devon Buckshot,A,9,4,1,5,12,33%,9,75,4,0,3,0,0,0,0%,0,0,0%
26,Michael Ippolito,A,12,2,2,4,13,15%,8,62,5,0,2,0,0,0,0%,0,0,0%
19,Clayton Krol,D,13,3,0,3,3,100%,3,100,15,10,8,0,0,0,0%,2,10,20%
44,Tyler Hendrycks,A,8,1,2,3,2,50%,1,50,0,0,1,0,0,0,0%,0,0,0%
4,Grant Ammann,D,13,1,0,1,1,100%,1,100,32,11,2,0,0,0,0%,0,0,0%
11,AJ Kiernan,FO,5,1,,1,2,50%,1,50,5,,,,,,0%,8,28,29%
18,Trey Smith,M,13,0,1,1,5,0%,1,20,24,9,2,0,0,0,0%,0,0,0%
22,Ryan Summy,M,3,1,,1,1,100%,1,100,,,,,,,0%,,,0%
25,Henry Mudlaff,M,13,1,0,1,1,100%,1,100,17,2,0,0,0,0,0%,0,0,0%
28,Jaxson Lamb,M,8,1,0,1,5,20%,3,60,0,0,2,0,0,0,0%,0,0,0%
36,Kaden Keller,M,4,1,0,1,2,50%,2,100,0,0,0,0,0,0,0%,0,0,0%
40,Parker Green,G,11,,1,1,1,0%,,0,25,4,5,117,115,232,50%,,,0%
53,Collin Hoben,FO,11,1,0,1,4,25%,2,50,43,0,4,0,0,0,0%,89,168,53%
60,Colin Clothier,M,13,1,0,1,3,33%,1,33,7,4,3,0,0,0,0%,0,0,0%
2,Antonio Arcona,G,6,0,0,0,0,0%,0,0,4,2,1,36,54,90,40%,0,0,0%
8,Isaac Newland,M,6,0,0,0,3,0%,0,0,0,0,2,0,0,0,0%,0,0,0%
9,Jack Peatross,D,8,0,0,0,0,0%,0,0,4,1,0,0,0,0,0%,0,0,0%
10,PJ Peters,D,12,0,0,0,1,0%,0,0,13,5,5,0,0,0,0%,0,0,0%
15,Hayden Baker,M,5,0,0,0,0,0%,0,0,0,1,0,0,0,0,0%,0,0,0%
17,Taylor Acra,M,13,0,0,0,7,0%,4,57,21,6,7,0,0,0,0%,0,0,0%
23,Nick Murphy,M,7,0,0,0,5,0%,4,80,0,0,1,0,0,0,0%,0,0,0%
24,Matt Lee,M,4,0,0,0,1,0%,1,100,1,0,0,0,0,0,0%,0,0,0%
31,Jakob Joy,D,11,0,0,0,0,0%,0,0,6,2,3,0,0,0,0%,0,0,0%
37,Davis Sampere,FO,13,0,0,0,2,0%,0,0,46,3,2,0,0,0,0%,77,158,49%
46,Jack Cook,FO,5,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,1,5,20%
49,Joel Scerbo,M,10,0,0,0,0,0%,0,0,9,6,4,0,0,0,0%,0,0,0%
51,Tommy Meehan,M,4,0,0,0,1,0%,0,0,0,0,0,0,0,0,0%,9,19,47%
52,Jack Meagher,M,6,0,0,0,1,0%,0,0,1,0,2,0,0,0,0%,0,0,0%
1,Jack Simon,D,1,,,,,0%,,0,,,,,,,0%,,,0%
7,Alex Albertson,LSM,7,,,,1,0%,1,100,,,,,,,0%,1,3,33%
12,Will Hynson,M,3,,,,,0%,,0,1,,,,,,0%,,,0%
16,Tyler Baird,M,2,,,,,0%,,0,,1,,,,,0%,,,0%
29,Matt Sellers,M,2,,,,,0%,,0,,,,,,,0%,,,0%
30,Caison Dillon,A,4,,,,2,0%,,0,,,,,,,0%,,,0%
33,Zach Diamond,M,6,,,,,0%,,0,6,,1,,,,0%,1,1,100%
34,Jackson Clay,A,4,,,,3,0%,3,100,2,,,,,,0%,,,0%
38,Quentin McComas,D,3,,,,,0%,,0,,,,,,,0%,,,0%
41,Brad Rider,M,1,,,,,0%,,0,,,,,,,0%,,,0%
42,Logan Lazasz,A,2,,,,,0%,,0,,,,,,,0%,,,0%
43,Nick Rizzo,M,3,,,,0,0%,0,0,,,2,,,,0%,,,0%
47,Beau Hecimovich,G,2,,,,,0%,,0,2,,,3,9,12,25%,,,0%
54,Cory Harris,D,3,,,,,0%,,0,,,,,,,0%,,,0%
57,Joey Dahlkemper,FO,1,,,,,0%,,0,,,,,,,0%,1,1,100%
58,John Adams,D,2,,,,,0%,,0,,,,,,,0%,,,0%
59,Jake Blevins,FO,1,,,,,0%,,0,,,,,,,0%,,,0%
14,Conor Guiltinan,LSM,9,,,,,0%,,0,1,1,1,,,,0%,,2,0%
