#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
8,Derrek Madonna,M,9,22,12,34,73,30%,38,52,17,1,11,,,,0%,,,0%
6,Ryan Archer,A,9,16,16,32,63,25%,32,51,12,2,16,,,,0%,,,0%
2,Tommy Mott,A,8,15,8,23,54,28%,34,63,7,,12,,,,0%,,,0%
23,Anthony Dattellas,A,9,12,4,16,38,32%,24,63,2,2,8,,,,0%,,,0%
21,Bradley Simas,M,9,10,1,11,57,18%,24,42,5,,7,,,,0%,,,0%
66,Jason Knox,A,5,8,3,11,38,21%,25,66,6,,7,,,,0%,,,0%
27,Chad Bach,M,9,6,1,7,21,29%,11,52,2,,4,,,,0%,,,0%
99,Troy Barthelme,A,8,4,3,7,20,20%,13,65,3,1,12,,,,0%,,,0%
0,Bobby Baltzer,M,9,4,2,6,8,50%,5,63,17,6,4,,,,0%,,,0%
77,Jack Grooms,A,9,5,1,6,21,24%,14,67,9,1,5,,,,0%,,,0%
32,Dan Ryan,LSM,9,,4,4,3,0%,,0,9,1,4,,,,0%,,,0%
17,Drew Blanchard,M,9,2,1,3,9,22%,4,44,42,1,2,,,,0%,72,110,65%
41,Mark Synnott,D,8,2,,2,2,100%,2,100,9,2,1,,,,0%,,,0%
4,Wylie Sherman,M,9,,1,1,2,0%,2,100,10,1,4,,,,0%,,,0%
16,Connor Durkin,A,3,1,,1,6,17%,4,67,1,,2,,,,0%,,,0%
18,Brian Mitrow,M,6,1,,1,9,11%,2,22,,1,1,,,,0%,,,0%
45,Ethan Black-Fernandes,LSM,8,1,,1,2,50%,1,50,7,6,1,,,,0%,,,0%
46,Adam Davis,M,5,1,,1,5,20%,5,100,,,1,,,,0%,,,0%
5,Frank Imburgia,LSM,9,,,,,0%,,0,3,4,,,,,0%,,,0%
7,Ty Yanko,M,3,,,,2,0%,1,50,,,1,,,,0%,,,0%
9,CJ White,G,1,,,,,0%,,0,,,,,1,1,0%,,,0%
11,Kieran Keane,D,1,,,,,0%,,0,,,,,,,0%,,,0%
13,Eoin Hurley,LSM,6,,,,,0%,,0,2,1,,,,,0%,,,0%
15,Casey Hochheimer,M,2,,,,,0%,,0,1,,,,,,0%,,,0%
20,Nicky Gullace,M,8,,,,1,0%,,0,6,3,3,,,,0%,,,0%
22,Cam Vona,M,1,,,,,0%,,0,,,,,,,0%,,,0%
26,Jimmy Lampert,M,1,,,,1,0%,,0,,,,,,,0%,,,0%
29,Kyle Driscoll,M,8,,,,,0%,,0,5,2,2,,,,0%,,,0%
31,Maxwell Horton,D,5,,,,,0%,,0,1,1,1,,,,0%,,,0%
33,Kyle Nalen,D,9,,,,1,0%,,0,9,4,5,,,,0%,,,0%
34,Vincent Orlando,D,2,,,,,0%,,0,,,,,,,0%,,,0%
35,Marcus Trujillo,LSM,3,,,,,0%,,0,1,,,,,,0%,,,0%
36,Kaleb Boyl,LSM,1,,,,,0%,,0,1,1,1,,,,0%,,,0%
39,Matt Turner,D,1,,,,,0%,,0,,,,,,,0%,,,0%
40,Kevin Holtby,G,9,,,,,0%,,0,17,3,,111,98,209,53%,,,0%
44,Tanner Wood,M,1,,,,,0%,,0,1,1,,,,,0%,,,0%
47,Porter Johnson,D,1,,,,,0%,,0,,,,,,,0%,,,0%
48,Cam Kewley,LSM,2,,,,,0%,,0,1,,,,,,0%,,,0%
49,Michael Christiansen,D,9,,,,,0%,,0,12,6,1,,,,0%,,,0%
50,Liam O'Hara,D,1,,,,,0%,,0,,,,,,,0%,,,0%
51,Adam Shea,M,9,,,,1,0%,,0,56,1,5,,,,0%,81,128,63%
55,Nick Paris,D,3,,,,,0%,,0,,1,,,,,0%,,,0%
56,Nathan Greenberg,M,1,,,,,0%,,0,,,,,,,0%,,,0%
91,Sam Mueller,D,9,,,,3,0%,1,33,25,11,12,,,,0%,,,0%
