#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
13,Ryan Tierney,A,14,43,22,65,138,31%,85,62,27,6,40,0,0,0,0%,0,0,0%
66,Justin Lynskey,A,14,26,18,44,63,41%,43,68,23,2,21,0,0,0,0%,0,0,0%
30,James Philbin,M,14,20,5,25,46,43%,36,78,9,1,16,0,0,0,0%,0,0,0%
0,Alex Concannon,M,8,15,8,23,44,34%,24,55,4,1,12,0,0,0,0%,0,0,0%
40,Riley Forte,M,14,13,8,21,54,24%,33,61,13,0,12,0,0,0,0%,0,0,0%
14,Justin Sykes,M,14,12,5,17,37,32%,26,70,8,1,13,0,0,0,0%,0,0,0%
21,Dylan McIntosh,A,9,10,2,12,35,29%,22,63,7,1,7,,,,0%,,,0%
55,Ryan Sheridan,A,12,9,2,11,20,45%,14,70,4,1,12,0,0,0,0%,0,0,0%
32,Sam Lutfi,A,13,5,4,9,14,36%,8,57,4,2,3,0,0,0,0%,0,0,0%
9,Bryce Tolmie,M,10,6,2,8,17,35%,9,53,7,3,3,,,,0%,,,0%
25,Michael Altmann,D,14,3,5,8,10,30%,8,80,37,16,10,0,0,0,0%,0,0,0%
28,Sterlyn Ardrey,M,12,7,0,7,16,44%,11,69,4,0,8,0,0,0,0%,0,0,0%
77,Colton Rudd,A,10,7,0,7,18,39%,10,56,11,5,9,0,0,0,0%,0,0,0%
12,Matt Elder,M,6,2,2,4,8,25%,4,50,2,0,1,0,0,0,0%,0,0,0%
1,Brian Herber,FO,14,1,1,2,8,13%,3,38,111,1,14,0,0,0,0%,192,302,64%
29,Joe Elarde,M,4,1,1,2,4,25%,2,50,1,0,0,0,0,0,0%,0,0,0%
7,Dominic Pryor,M,14,0,1,1,3,0%,0,0,30,6,4,0,0,0,0%,0,0,0%
20,Chase Patterson,FO,11,0,1,1,1,0%,0,0,35,1,3,0,0,0,0%,52,82,63%
27,Keegan Santos,D,14,1,0,1,1,100%,1,100,15,4,4,0,0,0,0%,0,0,0%
91,Liam Muldoon,A,2,1,,1,1,100%,1,100,,,,,,,0%,,,0%
15,Dalton Seesz,M,13,0,0,0,1,0%,0,0,6,5,0,0,0,0,0%,0,0,0%
19,Tom Ford,D,13,0,0,0,1,0%,0,0,13,11,6,0,0,0,0%,0,0,0%
24,Declan Flynn,D,1,0,0,0,1,0%,1,100,0,0,0,0,0,0,0%,0,0,0%
33,Mac Gates,G,4,0,0,0,0,0%,0,0,6,3,1,44,48,92,48%,0,0,0%
35,Dylan McDermott,D,8,0,0,0,0,0%,0,0,5,1,3,0,0,0,0%,0,0,0%
43,Tim Hegarty,D,11,0,0,0,0,0%,0,0,1,2,0,0,0,0,0%,0,0,0%
50,Daniel Ochs,D,13,0,0,0,0,0%,0,0,10,4,4,0,0,0,0%,0,0,0%
51,Sean Paton,M,9,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
76,Logan Danenza,D,14,0,0,0,1,0%,0,0,13,6,3,0,0,0,0%,0,0,0%
99,Diego Zimmerman,LSM,2,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,0,0,0%
2,Corey Kale,M,10,,,,2,0%,1,50,10,5,4,,,,0%,,,0%
4,Charlie Ragault,M,2,,,,2,0%,2,100,1,,,,,,0%,,,0%
8,Jyasi Watson,M,1,,,,,0%,,0,1,,,,,,0%,,,0%
16,Michael Peco,D,2,,,,,0%,,0,,,,,,,0%,,,0%
17,Grayson Feick,D,6,,,,,0%,,0,,1,,,,,0%,,,0%
18,Nathan Drickamer,FO,1,,,,1,0%,,0,2,,1,,,,0%,2,2,100%
22,Bobby Casey,G,10,,,,,0%,,0,16,1,2,104,115,219,47%,,,0%
34,Richie Hickis,M,2,,,,,0%,,0,1,,,,,,0%,,,0%
36,Shane Egen,M,1,,,,,0%,,0,,,,,,,0%,,,0%
44,John Recher,D,4,,,,,0%,,0,3,,,,,,0%,,,0%
45,Peyton Jefferson,LSM,1,,,,,0%,,0,,,,,,,0%,,,0%
49,John O'Rourke,D,1,,,,,0%,,0,,,,,,,0%,,,0%
