#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
14,Dean DiNanno,A,6,8,6,14,37,22%,23,62,2,2,23,,,,0%,,,0%
11,Will Spangenberg,A,6,5,7,12,23,22%,13,57,9,,11,,,,0%,,,0%
7,Jayce Lambert,A,6,9,2,11,28,32%,14,50,2,,4,,,,0%,,,0%
12,T.J. Lynch,M,6,6,2,8,18,33%,10,56,1,,3,,,,0%,,,0%
33,Cameron Magalotti,M,6,6,1,7,23,26%,15,65,3,,5,,,,0%,,,0%
34,Konrad Knaus,M,5,3,4,7,18,17%,10,56,3,,7,,,,0%,,,0%
6,Brad Baker,M,6,3,2,5,14,21%,9,64,2,,7,,,,0%,,,0%
3,Cole Kratovil,A,3,1,2,3,4,25%,2,50,3,1,3,,,,0%,,,0%
77,Peter Murphy,M,6,2,,2,3,67%,2,67,6,1,2,,,,0%,,,0%
4,Matt Major,A,4,,1,1,5,0%,3,60,1,,1,,,,0%,,,0%
5,Kilian Morrissey,M,6,1,,1,6,17%,3,50,11,1,3,,,,0%,,,0%
10,Will Vincent,M,2,1,,1,1,100%,1,100,,,1,,,,0%,,,0%
17,Tim O'Callaghan,M,6,1,,1,5,20%,2,40,2,1,4,,,,0%,,,0%
19,Thomas McIntire,A,2,1,,1,4,25%,3,75,,,,,,,0%,,,0%
2,Ty Sams,M,1,,,,,0%,,0,,,,,,,0%,,,0%
8,Ben Bogdan,M,4,,,,1,0%,,0,2,1,,,,,0%,,,0%
9,Billy Carlini,LSM,6,,,,,0%,,0,2,1,1,,,,0%,,,0%
15,Chase Maitland,M,4,,,,,0%,,0,4,3,1,,,,0%,,,0%
16,Paul Miller,A,2,,,,,0%,,0,,,,,,,0%,,,0%
18,Hayes Reding,D,6,,,,,0%,,0,10,3,2,,,,0%,,,0%
20,Chris Conlin,D,6,,,,,0%,,0,20,19,6,,,,0%,,,0%
21,Drew Leahy,D,2,,,,,0%,,0,1,1,,,,,0%,,,0%
23,John Fischetti,M,2,,,,,0%,,0,,,,,,,0%,,,0%
24,Martin Folan,LSM,1,,,,,0%,,0,2,1,,,,,0%,,,0%
25,James Solberg,M,3,,,,,0%,,0,,,1,,,,0%,,,0%
26,Jack Dougherty,M,5,,,,1,0%,1,100,,,1,,,,0%,,,0%
27,A.J. Fox,G,6,,,,,0%,,0,11,3,5,85,72,157,54%,,,0%
28,Zach Mickle,D,1,,,,,0%,,0,,,,,,,0%,,,0%
29,Matthew Brush,D,5,,,,,0%,,0,3,2,1,,,,0%,,,0%
35,Patrick Turner,M,1,,,,0,0%,0,0,,,,,,,0%,,,0%
37,Liam Higgins,M,1,,,,,0%,,0,,,,1,1,2,50%,,,0%
38,D.J. Kelly,A,1,,,,,0%,,0,,,,,,,0%,,,0%
40,Peter Roegge,D,5,,,,,0%,,0,7,5,2,,,,0%,,,0%
41,Brendan McKenzie,FO,6,,,,,0%,,0,12,1,,,,,0%,24,63,38%
42,Stuart Pollard,FO,3,,,,,0%,,0,3,,,,,,0%,8,18,44%
43,Miles Jackson,D,6,,,,,0%,,0,9,1,1,,,,0%,,,0%
44,Louis Fiacco,D,3,,,,,0%,,0,1,1,,,,,0%,,,0%
45,Connor DePiero,FO,6,,,,1,0%,,0,16,,2,,,,0%,30,61,49%
47,Bobby Bivona,D,1,,,,,0%,,0,,,1,,,,0%,,,0%
99,Dawson Friers,G,2,,,,,0%,,0,,,1,,,,0%,,,0%
