#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
42,Jack Dolan,M,14,29,20,49,69,42%,45,65,22,4,31,0,0,0,0%,0,0,0%
5,Matt Stagnitta,M,14,23,20,43,62,37%,45,73,11,2,17,0,0,0,0%,0,0,0%
44,Evan Tyler,M,14,21,7,28,80,26%,50,63,9,2,30,0,0,0,0%,0,0,0%
14,Jeremy Winston,M,14,14,7,21,62,23%,33,53,10,0,13,0,0,0,0%,0,0,0%
28,Jacob Greiner,A,9,15,4,19,41,37%,28,68,8,,4,,,,0%,,,0%
26,Troy Hettinger,LSM,14,14,1,15,32,44%,25,78,8,0,11,0,0,0,0%,0,0,0%
9,Tucker Garrity,M,13,5,6,11,24,21%,9,38,13,7,5,0,0,0,0%,0,0,0%
71,Curtis Goddard,M,13,7,4,11,27,26%,14,52,6,0,10,0,0,0,0%,0,0,0%
1,Tom Heed,A,13,1,6,7,8,13%,6,75,2,1,8,0,0,0,0%,0,0,0%
10,Luke Robinson,M,6,6,0,6,15,40%,10,67,5,1,3,0,0,0,0%,0,0,0%
13,Nathan Kapp,FO,14,2,4,6,6,33%,3,50,93,1,17,0,0,0,0%,187,323,58%
2,Sam Chase,A,6,5,0,5,10,50%,6,60,2,0,4,0,0,0,0%,0,0,0%
12,Brett Reilly,A,10,2,3,5,8,25%,5,63,3,1,0,0,0,0,0%,0,0,0%
23,Brendan McKenna,A,6,2,3,5,6,33%,2,33,1,0,1,0,0,0,0%,0,0,0%
24,Conor Shears,D,12,1,2,3,3,33%,1,33,25,12,7,0,0,0,0%,0,0,0%
39,Ibrahim Pio,M,10,1,2,3,7,14%,4,57,1,0,4,0,0,0,0%,0,0,0%
3,Jordan Young,D,12,0,2,2,3,0%,2,67,29,8,2,0,0,0,0%,0,0,0%
33,Immanuel Brown,M,9,1,1,2,13,8%,5,38,1,,5,,,,0%,,,0%
45,Zack Deaken,M,12,,2,2,2,0%,1,50,22,9,4,,,,0%,,1,0%
46,Jake Antonucci,M,10,1,1,2,2,50%,1,50,14,4,3,0,0,0,0%,0,0,0%
48,Cooper Trepeta,M,5,1,1,2,5,20%,5,100,1,0,2,0,0,0,0%,0,0,0%
55,Ethan LaMond,A,5,2,0,2,9,22%,5,56,3,1,3,0,0,0,0%,0,0,0%
4,Tucker Denault,M,7,0,1,1,0,0%,0,0,8,5,4,0,0,0,0%,0,0,0%
30,Jason Yoquinto,G,12,1,0,1,1,100%,0,0,20,4,9,109,111,220,50%,0,0,0%
11,Adam Baker,G,7,0,0,0,1,0%,1,100,16,3,1,32,46,78,41%,0,0,0%
15,Tyler Morris,D,11,0,0,0,0,0%,0,0,8,3,4,0,0,0,0%,0,0,0%
17,Keegan Pearl,A,3,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
18,Carson Dickson,LSM,1,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,0,0,0%
22,Jack Heed,D,14,0,0,0,0,0%,0,0,12,7,6,0,0,0,0%,1,3,33%
31,Bryce Hutchinson,M,4,0,0,0,0,0%,0,0,1,1,1,0,0,0,0%,0,0,0%
34,Jack Lukacovic,M,8,0,0,0,1,0%,1,100,3,3,1,0,0,0,0%,0,2,0%
41,Dixon Smith,D,14,0,0,0,1,0%,1,100,23,5,2,0,0,0,0%,0,0,0%
43,Jack Goodwin,G,2,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
51,Griffin Corbett,M,10,0,0,0,1,0%,1,100,3,1,3,0,0,0,0%,0,0,0%
52,Luke Policke,M,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
6,Colin Hinton,D,12,,,,2,0%,1,50,21,16,3,,,,0%,,,0%
16,Michael Dean,A,3,,,,3,0%,1,33,,,1,,,,0%,,,0%
21,Tyler Nolan,A,1,,,,,0%,,0,,,,,,,0%,,,0%
27,Alex Giovinco,FO,6,,,,2,0%,1,50,5,,1,,,,0%,9,27,33%
29,Maxwell Semple,A,1,,,,,0%,,0,,1,,,,,0%,,,0%
32,Will Burckley,A,1,,,,1,0%,,0,,,,,,,0%,,,0%
37,Josh Estavillo,G,1,,,,,0%,,0,,,,,,,0%,,1,0%
50,Seth Hogue,D,3,,,,1,0%,1,100,,,,,,,0%,,,0%
77,Connor Macdonald,D,2,,,,,0%,,0,,,,,,,0%,,,0%
