#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
3,Connor DeSimone,A,13,25,20,45,60,42%,43,72,14,3,17,0,0,0,0%,0,0,0%
14,Cole Williams,A,13,23,12,35,62,37%,42,68,14,1,23,0,0,0,0%,0,0,0%
32,Joey Epstein,A,13,22,13,35,75,29%,46,61,16,4,24,0,0,0,0%,0,0,0%
40,Garrett Degnon,M,13,23,2,25,66,35%,39,59,7,0,13,0,0,0,0%,0,0,0%
23,Jacob Angelus,M,13,12,12,24,43,28%,29,67,10,0,19,0,0,0,0%,0,0,0%
24,Jack Keogh,M,12,3,8,11,15,20%,9,60,2,1,7,0,0,0,0%,0,0,0%
51,Johnathan Peshko,M,9,9,1,10,22,41%,13,59,4,2,3,,,,0%,,,0%
1,Brett Baskin,M,13,7,2,9,21,33%,12,57,6,1,3,0,0,0,0%,0,0,0%
9,Brendan Grimes,A,13,8,0,8,40,20%,24,60,6,2,8,0,0,0,0%,0,0,0%
33,Casey McDermott,A,12,3,4,7,7,43%,6,86,3,1,5,0,0,0,0%,0,0,0%
55,Conner Delaney,LSM,13,3,2,5,6,50%,5,83,39,12,6,0,0,0,0%,0,0,0%
12,Luke Shilling,A,6,1,1,2,7,14%,4,57,4,1,1,0,0,0,0%,0,0,0%
29,Evan Zinn,M,13,1,1,2,13,8%,9,69,12,3,11,0,0,0,0%,0,0,0%
30,Tyler Dunn,FO,8,2,,2,2,100%,2,100,8,1,,,,,0%,13,36,36%
39,Matt Narewski,FO,13,2,0,2,6,33%,3,50,92,0,3,0,0,0,0%,160,284,56%
16,Alexander Mabbett,M,7,1,0,1,5,20%,1,20,11,0,2,0,0,0,0%,0,0,0%
77,Hunter Jaronski,LSM,11,,1,1,,0%,,0,12,2,1,,,,0%,,,0%
87,Jared Reinson,D,13,0,1,1,5,0%,2,40,37,17,11,0,0,0,0%,0,0,0%
8,Josh Kirson,G,9,0,0,0,0,0%,0,0,13,2,0,71,108,179,40%,0,0,0%
10,Tim Marcille,G,6,0,0,0,0,0%,0,0,13,2,4,40,45,85,47%,0,0,0%
11,Kyle DiPietro,M,3,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
15,Ryan Darby,G,6,0,0,0,0,0%,0,0,1,0,2,3,5,8,38%,0,0,0%
25,Kyle Prouty,FO,8,0,0,0,1,0%,1,100,3,0,0,0,0,0,0%,7,24,29%
28,Jack Lyne,D,12,0,0,0,0,0%,0,0,10,6,2,0,0,0,0%,0,0,0%
31,Owen McManus,D,12,0,0,0,0,0%,0,0,10,9,4,0,0,0,0%,0,0,0%
34,Brandon Shure,D,11,0,0,0,0,0%,0,0,6,2,3,0,0,0,0%,0,0,0%
37,Jake Lilly,M,13,0,0,0,2,0%,1,50,5,2,3,0,0,0,0%,0,0,0%
46,Patrick Deans,LSM,6,0,0,0,0,0%,0,0,6,1,0,0,0,0,0%,0,0,0%
49,Ryan Evans,M,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,1,0%
13,Brett Martin,M,11,,,,1,0%,,0,11,4,1,,,,0%,,,0%
20,Jakson Raposo,M,4,,,,,0%,,0,1,1,,,,,0%,,1,0%
27,Brady Keneally,LSM,3,,,,,0%,,0,1,,1,,,,0%,,,0%
38,Ian Krampf,A,5,,,,1,0%,,0,2,,,,,,0%,,,0%
44,Beaudan Szuluk,D,12,,,,,0%,,0,7,9,1,,,,0%,,,0%
47,Jack Burnett,A,1,,,,,0%,,0,,1,,,,,0%,,,0%
76,Scott Smith,D,2,,,,,0%,,0,,,,,,,0%,,1,0%
89,Dylan Rahm,D,1,,,,,0%,,0,,,,,,,0%,,,0%
91,Jack Ruddy,D,3,,,,,0%,,0,,,,,,,0%,,,0%
