#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
22,Charlie Cunniffe,A,11,13,11,24,43,30%,24,56,16,5,22,,,,0%,,,0%
14,Peter Lehman,A,11,19,4,23,56,34%,38,68,16,3,19,,,,0%,,,0%
15,Carter Cecil,A,9,11,6,17,21,52%,16,76,5,,6,,,,0%,,,0%
2,Cole Dutton,M,11,8,7,15,49,16%,23,47,4,2,10,,,,0%,,,0%
34,John Mathes,M,11,13,1,14,43,30%,30,70,7,1,16,,,,0%,,,0%
44,Kalman Kraham,A,11,9,4,13,38,24%,23,61,14,5,12,,,,0%,,,0%
29,Macklin Fitzpatrick,M,11,9,2,11,32,28%,22,69,11,1,10,,,,0%,,,0%
19,Evan Lotz,A,7,3,1,4,7,43%,4,57,1,,6,,,,0%,,,0%
21,Brian Collins,M,8,2,2,4,9,22%,4,44,10,3,4,,,,0%,,,0%
27,Bryan Hess,M,11,3,1,4,16,19%,11,69,36,6,3,,,,0%,,,0%
28,Jack Warren,M,8,3,1,4,9,33%,5,56,,,1,,,,0%,,,0%
25,Sean Rushton,D,11,1,2,3,5,20%,2,40,31,10,5,,,,0%,,,0%
10,Connor Freeman,M,7,2,,2,8,25%,4,50,2,,4,,,,0%,,,0%
7,Gunnar Bogorowski,M,11,1,1,2,2,50%,1,50,14,,6,,,,0%,,,0%
8,Ian McCauley,A,3,,2,2,6,0%,2,33,,,3,,,,0%,,,0%
11,Jacob Freeman,M,7,,1,1,5,0%,3,60,,,3,,,,0%,,,0%
23,George Enman,A,4,,1,1,1,0%,,0,2,,3,,,,0%,,,0%
24,Aidan McCall,M,7,,1,1,,0%,,0,2,1,2,,,,0%,,,0%
37,Ryan Duncan,A,4,1,,1,5,20%,3,60,,,2,,,,0%,,,0%
9,Dean Carnival,M,6,,,,1,0%,,0,13,,3,,,,0%,28,65,43%
12,Jake Buchanan,M,1,,,,,0%,,0,,,,,,,0%,,,0%
17,John Natoli,M,1,,,,,0%,,0,,1,,,,,0%,,,0%
20,Alex Molto,D,1,,,,,0%,,0,,,,,,,0%,,,0%
26,Aidan Kelly,M,8,,,,,0%,,0,17,,1,,,,0%,35,109,32%
30,Ryan Ness,G,11,,,,,0%,,0,19,1,3,135,150,285,47%,,,0%
33,Will Moran,G,2,,,,,0%,,0,,,1,5,10,15,33%,,,0%
35,Ryan Young,M,2,,,,2,0%,1,50,1,,,,,,0%,,,0%
36,Tommy McGee,D,9,,,,2,0%,,0,20,10,4,,,,0%,,,0%
38,Ben Howard,G,1,,,,,0%,,0,1,,,,,,0%,,,0%
39,Stephen Sajer,D,11,,,,,0%,,0,14,7,4,,,,0%,,,0%
47,JP Robinson,D,11,,,,1,0%,1,100,14,11,4,,,,0%,,,0%
48,Noah Mendoza,D,11,,,,,0%,,0,23,10,6,,,,0%,,,0%
49,Logan Glick,D,1,,,,,0%,,0,,,,,,,0%,,,0%
51,James Turco,M,9,,,,,0%,,0,21,,2,,,,0%,58,122,48%
54,Nicco Jacimovic,D,2,,,,,0%,,0,,,,,,,0%,,,0%
55,Jack Harrison,A,1,,,,,0%,,0,,1,,,,,0%,,,0%
56,Jack Dowd,D,2,,,,,0%,,0,2,1,1,,,,0%,,,0%
1,Ryan Kirkwood,M,11,,,,2,0%,2,100,10,5,7,,,,0%,,,0%
3,Louis Baloh,M,3,,,,,0%,,0,,,,,,,0%,,,0%
