#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
22,Tommy Schelling,A,12,24,24,48,75,32%,48,64,32,7,18,,,,0%,,,0%
2,Christian Mule',A,12,31,14,45,86,36%,52,60,14,3,11,,,,0%,,,0%
47,Cole Kirst,A,12,26,8,34,84,31%,52,62,18,4,20,,,,0%,,,0%
20,John Sidorski,A,12,11,21,32,31,35%,20,65,14,,14,,,,0%,,,0%
44,Justin Tiernan,A,12,19,4,23,57,33%,37,65,6,2,3,,,,0%,,,0%
8,Kevin Gersbeck,M,12,10,7,17,29,34%,18,62,12,3,7,,,,0%,,,0%
10,Scott Cole,A,12,11,2,13,38,29%,23,61,15,,3,,,,0%,,,0%
55,Andrew Eichelberger,M,12,10,2,12,32,31%,20,63,17,4,12,,,,0%,,,0%
1,Crew Cintron,M,12,3,5,8,14,21%,6,43,8,,3,,,,0%,,,0%
5,Matt Marker,A,10,5,3,8,13,38%,11,85,7,,2,,,,0%,,,0%
32,Quinn Armstrong,A,11,5,3,8,21,24%,10,48,1,,3,,,,0%,,,0%
99,Mike Sisselberger,FO,12,4,2,6,21,19%,9,43,160,,14,,,,0%,225,283,80%
14,Denny Nealon,A,8,3,,3,7,43%,4,57,1,,3,,,,0%,,,0%
3,Andrew Mapstone,A,6,2,,2,3,67%,2,67,2,1,1,,,,0%,,,0%
6,Matt Ilchuk,M,11,1,1,2,7,14%,1,14,3,,2,,,,0%,,,0%
19,James Spence,G,12,,2,2,3,0%,,0,22,3,10,141,111,252,56%,,,0%
45,Teddy Leggett,LSM,12,,2,2,1,0%,1,100,43,15,6,,,,0%,0,0,0%
15,Aidan Decker,M,4,1,,1,2,50%,2,100,1,,,,,,0%,,,0%
16,Nick Pecora,G,7,,1,1,,0%,,0,,,,7,10,17,41%,,,0%
17,Justin Angelel,M,6,1,,1,1,100%,1,100,1,,1,,,,0%,,,0%
18,Michael Hagenberger,D,12,,1,1,,0%,,0,12,1,2,,,,0%,,,0%
34,Ryan Niggeman,D,12,1,,1,2,50%,1,50,5,2,,,,,0%,,,0%
36,Patrick McIlroy,D,10,,1,1,,0%,,0,7,3,4,,,,0%,,,0%
49,Jack Spence,M,5,1,,1,1,100%,1,100,3,3,,,,,0%,,,0%
66,Matt Douglas,D,12,,0,0,3,0%,1,33,37,9,7,,,,0%,,,0%
4,Sam Charlton,LSM,6,,,,,0%,,0,2,,,,,,0%,,,0%
7,Nick Turrini,M,12,,,,,0%,,0,7,2,2,,,,0%,,,0%
9,Mike Monitto,M,1,,,,4,0%,3,75,2,,,,,,0%,,,0%
11,Jack Thistle,LSM,4,,,,,0%,,0,,,,,,,0%,,,0%
12,Will Deskey,G,1,,,,,0%,,0,,,,1,1,2,50%,,,0%
13,Logan Falconetti,A,4,,,,1,0%,1,100,1,,2,,,,0%,,,0%
24,Matt Brock,FO,1,,,,,0%,,0,2,,,,,,0%,6,15,40%
29,Michael Gomez,D,2,,,,,0%,,0,1,,,,,,0%,,,0%
30,Caleb Creasor,G,1,,,,,0%,,0,,,,,,,0%,,,0%
31,Liam Lynch,M,9,,,,1,0%,,0,2,1,1,,,,0%,,,0%
33,John Danforth,M,7,,,,,0%,,0,1,1,1,,,,0%,,,0%
37,Damon Hsu,M,4,,,,3,0%,1,33,1,,,,,,0%,,,0%
38,Conor Gaffney,FO,8,,,,,0%,,0,10,1,,,,,0%,17,34,50%
40,Colin Fowler,D,7,,,,,0%,,0,2,,1,,,,0%,,,0%
41,Charlie Peck,D,5,,,,,0%,,0,2,,1,,,,0%,,,0%
46,John Schofield,D,6,,,,,0%,,0,1,,,,,,0%,,,0%
48,Jack Barclay,M,5,,,,,0%,,0,,,,,,,0%,,,0%
77,Christian McHugh,M,12,,,,,0%,,0,18,9,3,,,,0%,,,0%
88,Anthony Tangredi,D,11,,,,,0%,,0,10,13,1,,,,0%,,,0%
