#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
19,Aidan Olmstead,A,14,26,25,51,93,28%,46,49,22,4,35,0,0,0,0%,0,0,0%
7,Kevin Lindley,A,14,38,8,46,88,43%,59,67,23,5,19,0,0,0,0%,0,0,0%
32,Evan James,M,13,26,10,36,59,44%,41,69,20,5,16,0,0,0,0%,0,0,0%
13,Peter Swindell,M,14,18,13,31,68,26%,38,56,18,2,11,0,0,0,0%,0,0,0%
45,Adam Poitras,M,14,9,9,18,48,19%,30,63,21,3,13,0,0,0,0%,0,0,0%
42,Riley Seay,M,14,14,2,16,40,35%,23,58,7,1,3,0,0,0,0%,0,0,0%
16,Joey Kamish,A,5,9,5,14,21,43%,14,67,5,1,4,0,0,0,0%,0,0,0%
27,Dan Wigley,M,10,9,1,10,40,23%,20,50,6,,10,,,,0%,,,0%
55,Ryan McNulty,LSM,14,4,6,10,7,57%,5,71,42,18,5,0,0,0,0%,0,0,0%
4,Liam Bateman,M,14,6,3,9,37,16%,28,76,13,0,2,0,0,0,0%,0,0,0%
24,Seth Higgins,M,13,3,6,9,27,11%,13,48,12,0,8,0,0,0,0%,0,0,0%
5,Cam Wyers,D,14,1,6,7,4,25%,2,50,50,18,6,0,0,0,0%,0,0,0%
25,Jack Decker,M,6,2,2,4,8,25%,5,63,3,1,2,,,,0%,,,0%
20,Will Sherwood,M,11,1,2,3,1,100%,1,100,6,1,3,0,0,0,0%,0,0,0%
34,Payton Rezanka,M,14,2,1,3,8,25%,4,50,22,13,4,0,0,0,0%,0,0,0%
8,Matt Higgins,M,14,1,1,2,3,33%,2,67,19,14,5,0,0,0,0%,0,0,0%
12,Riley Cox,M,7,1,1,2,11,9%,4,36,0,0,0,0,0,0,0%,0,0,0%
28,Bailey Savio,FO,13,2,0,2,7,29%,4,57,94,3,9,0,0,0,0%,163,294,55%
37,Adam Wagner,A,3,1,1,2,1,100%,1,100,,,,,,,0%,,,0%
30,Najee Taylor,M,3,,1,1,,0%,,0,,,1,,,,0%,,,0%
41,Kyle LeBlanc,D,9,1,0,1,1,100%,1,100,3,2,1,0,0,0,0%,0,0,0%
2,Sam Shafer,G,14,0,0,0,0,0%,0,0,18,1,4,117,108,225,52%,0,0,0%
6,Matthew Benus,M,9,0,0,0,2,0%,2,100,4,1,2,0,0,0,0%,0,0,0%
17,Cam James,D,3,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
22,Corey Millhouse,M,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
44,Scott Middleton,LSM,14,0,0,0,3,0%,0,0,10,4,3,0,0,0,0%,0,0,0%
50,Matt Hughes,D,14,0,0,0,2,0%,1,50,37,20,5,0,0,0,0%,0,0,0%
0,Colton Teitelbaum,G,3,,,,,0%,,0,1,,,5,6,11,45%,,,0%
10,Freeman Whitaker,G,4,,,,,0%,,0,6,,,16,20,36,44%,,,0%
11,Matt Heuston,M,2,,,,,0%,,0,1,,,,,,0%,,,0%
15,Eric Pacheco,FO,6,,,,,0%,,0,3,,1,,,,0%,13,35,37%
23,Mitchell Cain,M,3,,,,,0%,,0,1,1,,,,,0%,,,0%
26,Danny Scott,M,1,,,,,0%,,0,,,,,,,0%,,,0%
29,Chris Cottone,FO,6,,,,,0%,,0,5,,,,,,0%,11,22,50%
31,Alex Bean,D,2,,,,,0%,,0,,,,,,,0%,,,0%
35,Billy Weiss,D,1,,,,,0%,,0,,,,,,,0%,,,0%
36,Brett Daubert,M,2,,,,,0%,,0,1,,,,,,0%,,,0%
38,Dylan Binney,A,3,,,,3,0%,,0,,,,,,,0%,,,0%
40,Jarett Bonser,D,6,,,,,0%,,0,,,,,,,0%,,,0%
43,Calder VandenHeuval,LSM,12,,,,1,0%,1,100,3,3,,,,,0%,,,0%
46,Alex Kristian,D,2,,,,,0%,,0,,,,,,,0%,,,0%
47,Kevin Shires,LSM,3,,,,,0%,,0,,,,,,,0%,,,0%
49,Max McGillicuddy,FO,4,,,,,0%,,0,,,,,,,0%,2,4,50%
51,John Railey,D,12,,,,,0%,,0,11,2,2,,,,0%,,,0%
77,Josh Fairey,D,3,,,,,0%,,0,1,,,,,,0%,,,0%
