#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
6,Kyle Gucwa,A,10,20,7,27,68,29%,41,60,10,2,14,,,,0%,,,0%
8,Sean MacKinney,A,10,17,8,25,52,33%,29,56,15,1,6,,,,0%,,,0%
27,Liam Walshe,A,10,19,6,25,64,30%,34,53,11,1,12,,,,0%,,,0%
16,Luke Hanson,M,9,5,15,20,21,24%,12,57,9,,18,,,,0%,,,0%
55,Jake Nicolosi,A,10,14,2,16,50,28%,29,58,7,,10,,,,0%,,,0%
4,Trevor Pelletier,A,9,8,5,13,50,16%,26,52,8,3,13,,,,0%,,,0%
12,Brandon Grinnell,A,9,4,2,6,28,14%,15,54,5,1,12,,,,0%,,,0%
5,Justin Malpica,A,6,2,2,4,13,15%,7,54,2,,4,,,,0%,,,0%
44,Blake Van Epps,M,5,2,1,3,4,50%,3,75,2,,4,,,,0%,,,0%
11,Tadhg O'Riordan,M,10,,1,1,1,0%,1,100,15,7,5,,,,0%,1,2,50%
14,Matthew Scully,M,8,1,,1,2,50%,1,50,7,2,10,,,,0%,2,10,20%
18,Christian Lyons,M,5,1,,1,4,25%,2,50,,,,,,,0%,,,0%
53,Rob Johnson,D,7,,1,1,,0%,,0,9,2,1,,,,0%,,,0%
2,Jack Shanley,A,2,,,,,0%,,0,,,1,,,,0%,,,0%
3,CJ Scharf,M,9,,,,2,0%,2,100,11,7,3,,,,0%,,,0%
9,Blake Lothian,D,4,,,,,0%,,0,2,,,,,,0%,,,0%
17,Nikolus Nickerson,M,8,,,,1,0%,,0,5,,2,,,,0%,,,0%
21,Lukas Adams,D,8,,,,,0%,,0,1,1,,,,,0%,,,0%
22,Christian Clifford,D,10,,,,,0%,,0,20,21,5,,,,0%,,,0%
23,Rhys Porteous,M,2,,,,,0%,,0,,,1,,,,0%,,,0%
24,Kyle Kobylinski,FO,5,,,,,0%,,0,8,2,1,,,,0%,20,45,44%
26,Keith Fraser,FO,1,,,,,0%,,0,2,,,,,,0%,6,13,46%
28,Brendan Krebs,G,10,,,,,0%,,0,19,3,10,126,97,223,57%,,,0%
29,Brandon Bank,D,10,,,,,0%,,0,16,11,2,,,,0%,1,19,5%
30,Luke Pacher,D,10,,,,,0%,,0,19,10,4,,,,0%,,,0%
33,Daniel Newton,D,10,,,,,0%,,0,15,5,3,,,,0%,2,9,22%
35,Connor Hapward,G,1,,,,,0%,,0,,,,,,,0%,,1,0%
36,Sean Baudille,FO,9,,,,,0%,,0,13,1,1,,,,0%,41,119,34%
42,Spencer Moore,D,3,,,,,0%,,0,2,2,2,,,,0%,1,9,11%
43,Andrew Siracuse,D,8,,,,,0%,,0,3,,,,,,0%,,,0%
51,Quinn Bowler,A,5,,,,2,0%,1,50,,,,,,,0%,,,0%
