#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
10,Jamison Embury,A,4,11,7,18,35,31%,20,57,2,,4,,,,0%,,,0%
40,Vito Musso,A,4,14,1,15,32,44%,23,72,5,1,4,,,,0%,,,0%
23,Hunter Embury,M,4,8,5,13,23,35%,15,65,5,,6,,,,0%,,,0%
42,Jojo Pirreca,A,4,8,5,13,31,26%,17,55,11,2,1,,,,0%,,,0%
3,Jason Intermesoli,M,4,3,5,8,20,15%,10,50,10,1,6,,,,0%,,,0%
34,Joe Tierney,M,4,4,2,6,15,27%,9,60,2,,3,,,,0%,,,0%
2,Kellen Pulera,A,4,1,2,3,2,50%,1,50,1,,,,,,0%,,,0%
16,Jon Constant,M,2,2,,2,6,33%,3,50,1,,2,,,,0%,,,0%
30,JT Roselle,LSM,4,1,1,2,2,50%,2,100,8,6,1,,,,0%,,,0%
7,Sam Ahlgrim,D,4,1,,1,2,50%,1,50,12,8,2,,,,0%,,,0%
8,David Moyett,M,3,1,,1,3,33%,1,33,1,,2,,,,0%,,,0%
17,Andrew Evans,FO,4,,1,1,9,0%,1,11,23,1,7,,,,0%,43,107,40%
20,Kyle Dizon,M,2,1,,1,1,100%,1,100,,,,,,,0%,,,0%
24,Anthony Filippetti,LSM,4,1,,1,6,17%,1,17,5,,1,,,,0%,,,0%
44,Tyler Ammirato,M,4,,1,1,,0%,,0,2,2,1,,,,0%,,,0%
1,Joshua Balcarcel,A,3,,,,1,0%,,0,1,,1,,,,0%,,,0%
4,Keenan DeRaeve,M,4,,,,,0%,,0,4,3,1,,,,0%,,,0%
9,Noah Arneson,D,4,,,,,0%,,0,2,1,2,,,,0%,,,0%
11,Larry Cangro,D,2,,,,,0%,,0,,,,,,,0%,,,0%
13,James Lyons,M,1,,,,,0%,,0,,1,,,,,0%,,,0%
14,Kurt Wessner,D,4,,,,,0%,,0,1,3,1,,,,0%,,,0%
21,Wyatt Colangelo,M,2,,,,,0%,,0,,,1,,,,0%,,,0%
22,Ryan McDaniel,D,2,,,,,0%,,0,,,1,,,,0%,,,0%
26,Michael Bowler,M,3,,,,2,0%,1,50,,,,,,,0%,,,0%
33,Jack Lockwood,D,1,,,,,0%,,0,,,,,,,0%,,,0%
36,Logan Covey,G,4,,,,,0%,,0,5,,4,49,41,90,54%,,,0%
38,Dan Johnston,D,1,,,,,0%,,0,,,,,,,0%,,,0%
41,Stephen Bickel,M,3,,,,5,0%,4,80,1,,1,,,,0%,,,0%
45,Kyle Stofko,D,4,,,,,0%,,0,11,6,2,,,,0%,,,0%
47,Liam Wright,D,3,,,,,0%,,0,,,,,,,0%,,,0%
49,John Kelly,FO,2,,,,,0%,,0,,,,,,,0%,1,2,50%
