#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
29,Devon Cowan,A,12,30,8,38,98,31%,57,58,10,2,19,0,0,0,0%,0,0,0%
18,Griffin Fleming,A,12,20,14,34,81,25%,44,54,17,1,17,0,0,0,0%,0,0,0%
13,Connor McClelland,M,12,12,5,17,37,32%,23,62,3,1,6,0,0,0,0%,0,0,0%
6,Ryan Fazio,A,12,8,6,14,37,22%,17,46,6,1,10,0,0,0,0%,0,0,0%
19,Garrett Moya,A,11,3,8,11,21,14%,15,71,3,0,7,0,0,0,0%,0,0,0%
31,Russell Melendez,A,7,7,4,11,29,24%,18,62,6,1,4,0,0,0,0%,0,0,0%
24,Morgan Macko,A,11,5,2,7,26,19%,11,42,6,1,4,0,0,0,0%,0,0,0%
35,Peter Henkhaus,M,12,6,1,7,26,23%,13,50,11,1,7,0,0,0,0%,0,3,0%
28,Holden Patterson,A,12,5,1,6,18,28%,12,67,0,0,2,0,0,0,0%,0,0,0%
22,Anthony Orsini,A,12,3,2,5,20,15%,8,40,2,0,1,0,0,0,0%,0,0,0%
9,Colin O'Donnell,A,9,2,2,4,3,67%,3,100,3,,1,,,,0%,,,0%
27,Zach Granger,D,12,2,2,4,9,22%,5,56,25,16,6,0,0,0,0%,0,0,0%
11,Jacob Hallam,M,12,2,1,3,6,33%,2,33,20,10,5,0,0,0,0%,0,0,0%
14,Jake Stegman,A,10,1,2,3,6,17%,4,67,2,0,8,0,0,0,0%,0,0,0%
54,Chris Kirschner,M,12,1,1,2,15,7%,4,27,1,0,5,0,0,0,0%,0,0,0%
2,Aaron Joseph,M,8,,1,1,1,0%,,0,5,4,2,,,,0%,,,0%
3,Thomas Washington,FO,12,1,0,1,4,25%,2,50,51,1,7,0,0,0,0%,85,212,40%
21,Patrick English,M,3,1,,1,4,25%,1,25,1,1,1,,,,0%,,,0%
26,Noah Verlinde,D,12,0,1,1,0,0%,0,0,16,5,2,0,0,0,0%,0,0,0%
77,Mason Woodward,D,12,1,0,1,3,33%,1,33,54,18,8,0,0,0,0%,0,1,0%
99,Anthony Courcelle,LSM,12,1,0,1,6,17%,3,50,19,6,7,0,0,0,0%,0,0,0%
15,Griffin Fries,A,8,0,0,0,5,0%,3,60,1,0,1,0,0,0,0%,0,0,0%
30,David Lamarca,D,5,0,0,0,0,0%,0,0,5,1,1,0,0,0,0%,0,4,0%
38,Logan Kreinz,M,11,0,0,0,5,0%,1,20,8,5,2,0,0,0,0%,0,0,0%
44,P.J. Cox,D,12,0,0,0,0,0%,0,0,14,8,2,0,0,0,0%,0,0,0%
49,Max Kruszeski,M,11,0,0,0,1,0%,1,100,2,1,2,0,0,0,0%,0,0,0%
72,Sean Richard,G,9,0,0,0,1,0%,1,100,12,1,6,99,80,179,55%,0,0,0%
91,John Hulsman,G,7,0,0,0,0,0%,0,0,3,1,0,23,31,54,43%,0,0,0%
4,Jack Devine,M,4,,,,,0%,,0,2,,,,,,0%,4,16,25%
5,Tommy Von Den Benken,M,8,,,,2,0%,1,50,3,1,1,,,,0%,,,0%
7,Aidan O'Donnell,D,2,,,,,0%,,0,,,1,,,,0%,1,1,100%
12,Pierce Washburn,M,6,,,,3,0%,1,33,1,,,,,,0%,,,0%
16,Ellison Burt-Murray,M,2,,,,1,0%,1,100,,,,,,,0%,,,0%
17,Keaton Thomson,A,3,,,,,0%,,0,,,,,,,0%,,,0%
20,Michael Colpack,A,1,,,,,0%,,0,,,,,,,0%,,,0%
32,Moey Lardy,LSM,5,,,,,0%,,0,4,1,,,,,0%,,,0%
33,Gabe Stein,G,5,,,,1,0%,1,100,1,,2,41,35,76,54%,,,0%
34,Luke Rios,FO,2,,,,,0%,,0,,,1,,,,0%,,3,0%
37,Luke Williams,FO,8,,,,1,0%,,0,8,,,,,,0%,25,60,42%
43,Elliott Yacu,LSM,2,,,,,0%,,0,,,1,,,,0%,,,0%
46,Kyle McNeill,D,1,,,,,0%,,0,1,,,,,,0%,,,0%
48,James Amorosana,LSM,9,,,,,0%,,0,2,2,,,,,0%,,,0%
50,Dan Shay,A,1,,,,,0%,,0,1,,,,,,0%,,,0%
55,Jordon Celeslie,M,1,,,,1,0%,,0,,,,,,,0%,,,0%
66,Jett Leonard-Bedier,A,2,,,,,0%,,0,1,,1,,,,0%,,,0%
71,Justin Mintzer,A,5,,,,1,0%,,0,,,4,,,,0%,,,0%
