#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
1,Jared Bernhardt,A,12,53,22,75,104,51%,72,69,26,6,15,0,0,0,0%,0,0,0%
12,Logan Wisnauskas,M,12,29,27,56,75,39%,47,63,21,1,24,0,0,0,0%,0,0,0%
37,Daniel Maltz,A,12,36,7,43,61,59%,46,75,8,5,11,0,0,0,0%,0,0,0%
23,Kyle Long,M,12,11,24,35,28,39%,20,71,9,2,8,0,0,0,0%,0,0,0%
16,Anthony DeMaio,A,12,19,13,32,54,35%,34,63,8,1,14,0,0,0,0%,0,0,0%
2,Bubba Fairman,M,12,15,5,20,60,25%,27,45,12,5,12,0,0,0,0%,0,0,0%
4,Eric Malever,A,12,6,12,18,15,40%,10,67,3,0,8,0,0,0,0%,0,0,0%
13,Griffin Brown,A,12,9,2,11,26,35%,18,69,3,0,4,0,0,0,0%,0,0,0%
22,Jack Koras,M,10,4,1,5,13,31%,9,69,2,0,3,0,0,0,0%,0,0,0%
20,John Geppert,D,12,2,2,4,3,67%,3,100,25,9,0,0,0,0,0%,0,0,0%
28,Joshua Coffman,M,12,3,1,4,9,33%,4,44,13,4,2,0,0,0,0%,0,0,0%
6,Eric Holden,A,7,2,0,2,6,33%,2,33,3,0,1,0,0,0,0%,0,0,0%
8,Roman Puglise,M,12,1,1,2,11,9%,5,45,17,2,5,0,0,0,0%,0,0,0%
57,Jake Higgins,M,9,1,1,2,1,100%,1,100,12,1,1,0,0,0,0%,0,0,0%
7,Matt Rahill,D,12,0,1,1,0,0%,0,0,15,11,4,0,0,0,0%,0,0,0%
11,Chase Cope,M,9,1,0,1,3,33%,2,67,2,0,0,0,0,0,0%,0,0,0%
15,Jack Sawyer,A,5,1,,1,3,33%,1,33,1,,,,,,0%,,,0%
30,Logan McNaney,G,12,1,0,1,1,100%,1,100,34,7,4,124,112,236,53%,0,0,0%
38,Ryan Siracusa,A,6,0,1,1,1,0%,1,100,1,0,0,0,0,0,0%,0,0,0%
46,Daniel Kelly,A,4,0,1,1,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
54,Nick Grill,D,12,0,1,1,0,0%,0,0,34,15,5,0,0,0,0%,0,0,0%
3,Justin Shockey,FO,10,0,0,0,2,0%,0,0,52,0,4,0,0,0,0%,91,179,51%
9,Gabe Goforth,M,5,0,0,0,0,0%,0,0,0,0,2,0,0,0,0%,0,0,0%
10,Matthew Kopp,D,6,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
17,Justin Sherrer,LSM,11,0,0,0,1,0%,0,0,4,5,1,0,0,0,0%,0,0,0%
18,Drew Morris,G,6,0,0,0,0,0%,0,0,0,0,0,6,2,8,75%,0,0,0%
24,Garrett Gibbons,M,2,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
33,Alex Wicks,M,4,0,0,0,0,0%,0,0,2,0,0,0,0,0,0%,0,0,0%
36,Ajax Zappitello,D,11,0,0,0,0,0%,0,0,2,0,0,0,0,0,0%,0,0,0%
39,Alex Smith,M,12,0,0,0,2,0%,0,0,5,4,3,0,0,0,0%,0,0,0%
43,Brett Makar,D,12,0,0,0,2,0%,0,0,27,11,5,0,0,0,0%,0,0,0%
44,BJ Burlace,D,5,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
48,Dawson Wynne,M,5,0,0,0,0,0%,0,0,1,0,1,0,0,0,0%,0,0,0%
52,Luke Wierman,FO,8,0,0,0,3,0%,0,0,32,0,2,0,0,0,0%,66,142,46%
55,Nicholas DeMaio,A,5,0,0,0,6,0%,1,17,0,0,0,0,0,0,0%,0,0,0%
14,Conor Calderone,FO,4,,,,1,0%,,0,2,,,,,,0%,8,22,36%
25,Colin Miller,G,1,,,,,0%,,0,1,,,1,1,2,50%,,,0%
27,Jake Smith,M,1,,,,,0%,,0,1,,,,,,0%,,,0%
31,Jake Martellucci,M,2,,,,,0%,,0,,,,,,,0%,,,0%
32,Kelan Duff,D,1,,,,,0%,,0,,,,,,,0%,,,0%
34,Connor Whalen,LSM,2,,,,,0%,,0,1,,,,,,0%,,,0%
35,Chris Brandau,G,1,,,,,0%,,0,1,,,1,1,2,50%,,,0%
42,Michael Roche,M,1,,,,,0%,,0,,,,,,,0%,,1,0%
47,Nick Redd,D,4,,,,,0%,,0,,,,,,,0%,,,0%
50,King Ripley,M,3,,,,,0%,,0,2,,,,,,0%,,,0%
51,Jack McDonald,LSM,2,,,,,0%,,0,1,,,,,,0%,,,0%
58,Joel Trucksess,FO,2,,,,,0%,,0,,,,,,,0%,1,5,20%
