#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
3,Sean Goldsmith,A,6,18,10,28,59,31%,32,54,6,3,13,,,,0%,,,0%
29,Michael Quinn,M,12,16,9,25,64,25%,34,53,9,0,19,0,0,0,0%,0,0,0%
51,Taylor Dooley,M,12,17,8,25,35,49%,25,71,20,4,13,0,0,0,0%,0,0,0%
22,Will McCarthy,M,12,19,4,23,65,29%,44,68,12,2,20,0,0,0,0%,0,0,0%
11,Daniel Shumake,M,12,6,10,16,13,46%,11,85,1,0,15,0,0,0,0%,0,0,0%
50,Collin Stewart,M,8,11,5,16,32,34%,19,59,11,6,5,0,0,0,0%,0,0,0%
2,Nick Rockefeller,M,12,9,4,13,30,30%,15,50,3,0,6,0,0,0,0%,0,0,0%
32,Kyle Cox,A,10,6,4,10,23,26%,14,61,6,0,9,0,0,0,0%,0,0,0%
21,Cole Leggett,M,6,4,5,9,17,24%,9,53,1,,3,,,,0%,,,0%
35,Jack McGuire,A,9,6,3,9,25,24%,12,48,4,1,11,0,0,0,0%,0,0,0%
88,Ashton Wood,FO,13,5,3,8,13,38%,8,62,120,5,8,0,0,0,0%,193,307,63%
55,Patrick Marks,M,10,6,2,8,22,27%,10,45,4,2,12,0,0,0,0%,0,0,0%
6,Parker Junod,M,10,2,4,6,17,12%,9,53,0,0,3,0,0,0,0%,0,0,0%
45,Khory Reid,M,10,3,3,6,24,13%,12,50,2,0,9,0,0,0,0%,0,0,0%
91,Michael O'Brien,D,11,3,0,3,5,60%,4,80,17,3,5,0,0,0,0%,0,6,0%
26,Jack Parolin,A,5,2,1,3,10,20%,5,50,1,,2,,,,0%,,,0%
16,Matthew Winegardner,A,9,2,0,2,11,18%,7,64,1,1,0,0,0,0,0%,0,0,0%
18,Ryan Katchen,M,8,1,1,2,1,100%,1,100,5,3,2,0,0,0,0%,0,0,0%
34,Tim Kroneberger,M,6,1,1,2,5,20%,3,60,1,1,4,0,0,0,0%,0,0,0%
41,Matt O'Connor,M,12,1,1,2,2,50%,2,100,8,4,10,0,0,0,0%,0,0,0%
99,Danny Walsh,D,12,1,0,1,4,25%,1,25,23,14,7,0,0,0,0%,0,0,0%
12,Cade Blouin,A,4,1,0,1,3,33%,1,33,0,1,4,0,0,0,0%,0,0,0%
13,Garrett LeClaire,M,12,0,1,1,1,0%,0,0,21,13,3,0,0,0,0%,0,0,0%
15,Drew Mayts,D,13,0,1,1,1,0%,1,100,6,7,5,0,0,0,0%,0,0,0%
31,Connor Purcell,D,10,0,1,1,2,0%,2,100,5,7,0,0,0,0,0%,0,0,0%
46,Cole McCarthy,M,1,,1,1,,0%,,0,,,,,,,0%,,,0%
52,Wesley Chairs,D,12,0,1,1,3,0%,1,33,23,12,2,0,0,0,0%,0,0,0%
90,Yosef Ngowe,M,3,0,0,0,0,0%,0,0,1,0,3,0,0,0,0%,0,0,0%
4,Jack Lamb,M,6,0,0,0,1,0%,1,100,8,1,3,0,0,0,0%,0,0,0%
7,Luke Sadd,M,7,0,0,0,0,0%,0,0,24,3,4,0,0,0,0%,9,28,32%
8,Garrett Meuninck,FO,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,2,0%
9,Jackson Kennedy,D,5,0,0,0,0,0%,0,0,2,1,0,0,0,0,0%,0,0,0%
14,Clay Welch,M,5,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,0,0,0%
23,Justyn Jean-Felix,D,9,0,0,0,0,0%,0,0,7,4,2,0,0,0,0%,0,0,0%
25,Wyatt Jones,A,2,0,0,0,1,0%,1,100,0,0,0,0,0,0,0%,0,0,0%
28,Brent Bishop,D,10,0,0,0,1,0%,1,100,6,5,0,0,0,0,0%,0,0,0%
38,Peter Klueber,G,2,0,0,0,0,0%,0,0,1,0,0,15,20,35,43%,0,0,0%
42,Colin Kelley,G,12,0,0,0,2,0%,0,0,25,0,8,148,142,290,51%,0,0,0%
44,Kellen Arthur,M,10,0,0,0,1,0%,0,0,6,0,8,0,0,0,0%,0,0,0%
77,Brian Barlotta,M,2,0,0,0,0,0%,0,0,0,2,0,0,0,0,0%,0,0,0%
10,John Michael McCormack,M,2,,,,,0%,,0,,,,,,,0%,,,0%
20,Logan Tucker,D,1,,,,,0%,,0,,,,,,,0%,,,0%
27,Alex Stock,D,2,,,,,0%,,0,1,1,1,,,,0%,,,0%
33,Zach Dubois,D,1,,,,,0%,,0,1,1,,,,,0%,,,0%
36,Will Michaud,FO,2,,,,,0%,,0,,,,,,,0%,,2,0%
37,Brandon Paxton,M,1,,,,,0%,,0,,,,,,,0%,,,0%
40,Blake Evensen,A,3,,,,,0%,,0,1,,,,,,0%,,,0%
43,Matt Schnetzka,D,1,,,,,0%,,0,,,,,,,0%,,,0%
48,Cameron Welch,A,1,,,,,0%,,0,,,1,,,,0%,,,0%
49,Dom DeRiso,A,1,,,,,0%,,0,,,,,,,0%,,1,0%
66,Jackson Mahoney,D,4,,,,,0%,,0,1,,,,,,0%,,,0%
70,Glen Mandel,G,1,,,,,0%,,0,,,,1,1,2,50%,,,0%
71,Colin Hayek,D,2,,,,,0%,,0,4,5,,,,,0%,,,0%
80,Ben Lever,D,1,,,,,0%,,0,1,1,,,,,0%,,,0%
