#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
3,Jack Rooney,M,10,25,9,34,68,37%,43,63,18,4,10,0,0,0,0%,0,0,0%
22,Tommy Rooney,A,10,24,9,33,68,35%,43,63,20,6,22,0,0,0,0%,0,0,0%
39,Christian Thomas,A,10,21,6,27,58,36%,41,71,29,5,14,0,0,0,0%,0,0,0%
29,Sean Black,A,10,5,19,24,32,16%,20,63,12,2,12,0,0,0,0%,0,0,0%
4,Drew Hailey,M,10,14,4,18,41,34%,26,63,8,2,20,0,0,0,0%,0,0,0%
12,Max Morrill,M,9,11,2,13,30,37%,23,77,6,,8,,,,0%,,,0%
26,Grant Laman,A,9,5,3,8,22,23%,9,41,5,,10,,,,0%,,,0%
5,Christian Glover,D,10,2,3,5,11,18%,7,64,23,10,4,0,0,0,0%,0,0,0%
16,Aiden Glover,A,10,4,1,5,21,19%,12,57,3,1,6,0,0,0,0%,0,0,0%
8,Riley Reed,D,10,1,0,1,1,100%,1,100,11,3,5,0,0,0,0%,0,0,0%
9,Jack Barron,M,10,0,1,1,4,0%,2,50,23,7,3,0,0,0,0%,7,22,32%
13,Joey Ford III,A,7,1,,1,5,20%,2,40,2,,2,,,,0%,,,0%
17,Nicholas Perez-Blanco,D,10,1,0,1,1,100%,1,100,14,18,6,0,0,0,0%,0,0,0%
19,Brennan McInnis,M,10,0,1,1,1,0%,1,100,24,5,5,0,0,0,0%,0,0,0%
1,Michael Ferrara,M,10,0,0,0,0,0%,0,0,7,3,3,0,0,0,0%,0,0,0%
7,Andrew Jenet,G,3,0,0,0,0,0%,0,0,4,0,0,4,21,25,16%,0,0,0%
11,Matthew Brooks,M,3,0,0,0,7,0%,1,14,2,0,0,0,0,0,0%,0,0,0%
25,Karl Sutter,FO,8,0,0,0,0,0%,0,0,35,0,2,0,0,0,0%,70,132,53%
32,Joseph Jorgenson,D,10,0,0,0,0,0%,0,0,11,8,8,0,0,0,0%,0,0,0%
33,Chris Willox,M,9,0,0,0,0,0%,0,0,6,7,0,0,0,0,0%,0,0,0%
35,Sam Walsh,D,7,0,0,0,0,0%,0,0,6,5,1,0,0,0,0%,0,0,0%
43,Keegan Hughes,A,2,0,0,0,2,0%,2,100,0,0,0,0,0,0,0%,0,0,0%
45,Allyn French,FO,4,0,0,0,0,0%,0,0,7,1,0,0,0,0,0%,23,47,49%
46,Wyatt Carr,A,7,0,0,0,3,0%,1,33,0,0,1,0,0,0,0%,0,0,0%
48,Lantz Kilburn,D,10,0,0,0,0,0%,0,0,13,3,3,0,0,0,0%,4,27,15%
2,Andrew Caron,A,1,,,,,0%,,0,1,,,,,,0%,,,0%
6,Casey Barnes,D,2,,,,,0%,,0,1,,,,,,0%,,1,0%
10,Lance Crate,A,1,,,,,0%,,0,,,1,,,,0%,,,0%
14,Lucas Gauch,M,1,,,,,0%,,0,,,1,,,,0%,,,0%
15,Kyle Heeren,D,1,,,,,0%,,0,,,,,,,0%,,,0%
18,Jack Richards,A,3,,,,3,0%,1,33,1,,1,,,,0%,,,0%
20,Henry Vogt,G,9,,,,,0%,,0,15,,5,103,91,194,53%,,,0%
21,Charlie O'Connor,FO,3,,,,,0%,,0,2,1,,,,,0%,13,30,43%
23,Nick Ponte,G,2,,,,,0%,,0,,,,2,1,3,67%,,,0%
27,Kaden Brunson,A,1,,,,1,0%,,0,3,,2,,,,0%,,,0%
30,Andrew Williams,A,2,,,,4,0%,2,50,,,1,,,,0%,,,0%
36,Robbie Hermansen,A,2,,,,3,0%,1,33,,,,,,,0%,,,0%
37,Matt Lucozzi,FO,1,,,,,0%,,0,,,,,,,0%,1,1,100%
40,Whit Molloy,M,1,,,,,0%,,0,,,,,,,0%,,,0%
41,Peter Brown,G,2,,,,,0%,,0,,,,,,,0%,1,4,25%
42,Evan Hayek,D,1,,,,,0%,,0,,,,,,,0%,,,0%
