#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
49,Josh Zawada,A,12,24,15,39,73,33%,45,62,9,4,20,0,0,0,0%,0,0,0%
17,Michael Boehm,A,12,21,15,36,47,45%,30,64,20,3,8,0,0,0,0%,0,0,0%
3,Bryce Clay,A,12,23,4,27,64,36%,46,72,22,5,9,0,0,0,0%,0,0,0%
1,Avery Myers,M,12,13,12,25,51,25%,27,53,5,0,13,0,0,0,0%,0,0,0%
50,Jake Bonomi,M,12,13,1,14,41,32%,25,61,10,0,6,0,0,0,0%,0,0,0%
15,Jacob Jackson,M,12,12,1,13,61,20%,32,52,8,1,12,0,0,0,0%,0,0,0%
4,Tyler Papa,M,12,8,1,9,28,29%,13,46,5,3,11,0,0,0,0%,0,0,0%
52,Kyle Stephenson,M,12,4,3,7,18,22%,10,56,4,1,4,0,0,0,0%,0,0,0%
27,Grant McCurry,M,10,4,1,5,16,25%,10,63,4,0,3,0,0,0,0%,0,0,0%
14,Jack Whitney,D,12,2,1,3,2,100%,2,100,15,5,3,0,0,0,0%,0,0,0%
18,Ryan Schriber,D,12,2,1,3,3,67%,2,67,12,6,4,0,0,0,0%,0,1,0%
21,Michael Cosgrove,M,12,1,2,3,1,100%,1,100,5,4,4,0,0,0,0%,0,0,0%
37,Nick Rowlett,FO,12,3,0,3,8,38%,5,63,100,2,8,0,0,0,0%,172,320,54%
42,Alex Buckanavage,M,8,0,3,3,19,0%,4,21,2,0,7,0,0,0,0%,0,0,0%
6,Ben Keller,M,9,,2,2,5,0%,1,20,4,,1,,,,0%,,,0%
26,Kevin Pimental,A,6,0,2,2,2,0%,1,50,1,0,3,0,0,0,0%,0,0,0%
44,Gavin Legg,D,11,1,,1,2,50%,1,50,21,7,3,,,,0%,,,0%
46,Matt Kelly,M,8,0,1,1,0,0%,0,0,9,2,0,0,0,0,0%,0,0,0%
2,Kevin Mack,A,5,0,0,0,4,0%,2,50,1,0,2,0,0,0,0%,0,0,0%
5,Ben Cirella,M,4,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,0,0,0%
7,John Kiracofe,G,12,0,0,0,0,0%,0,0,19,0,8,123,162,285,43%,0,0,0%
8,Hunter Batesko,D,4,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
12,Ben Hull,A,3,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
13,Jackson Zaugg,D,12,0,0,0,3,0%,0,0,12,3,3,0,0,0,0%,0,0,0%
16,Nick Schanhals,G,3,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
19,Andrew Darby,D,12,0,0,0,0,0%,0,0,24,2,6,0,0,0,0%,0,0,0%
24,Oliver Mirer,M,12,0,0,0,0,0%,0,0,5,3,5,0,0,0,0%,0,0,0%
25,Brendan McCabe,D,11,0,0,0,0,0%,0,0,5,2,0,0,0,0,0%,0,0,0%
30,Dylan Gardner,D,8,0,0,0,2,0%,1,50,2,1,0,0,0,0,0%,0,0,0%
32,Steven Schneider,M,6,0,0,0,2,0%,1,50,3,2,0,0,0,0,0%,0,0,0%
34,Justin Brown,M,8,0,0,0,1,0%,1,100,4,0,0,0,0,0,0%,0,0,0%
35,Isaac Aronson,A,8,0,0,0,2,0%,1,50,3,0,0,0,0,0,0%,0,0,0%
38,Justin Wietfeldt,FO,8,0,0,0,0,0%,0,0,5,1,0,0,0,0,0%,11,25,44%
40,JD Carroll,D,3,0,0,0,1,0%,1,100,0,0,0,0,0,0,0%,0,0,0%
41,Shane Carr,G,2,0,0,0,0,0%,0,0,1,0,0,10,15,25,40%,0,0,0%
47,Zach Johnson,D,1,0,0,0,0,0%,0,0,0,0,1,0,0,0,0%,0,0,0%
48,Christian Ford,M,12,0,0,0,1,0%,1,100,10,2,3,0,0,0,0%,0,0,0%
10,Tillman Gallagher,M,5,,,,1,0%,,0,,,1,,,,0%,,,0%
20,Peter Davies,A,1,,,,,0%,,0,,,1,,,,0%,,,0%
22,Joey Corbett,M,1,,,,,0%,,0,1,,,,,,0%,,,0%
28,Mac Fotiades,G,1,,,,,0%,,0,,,,,,,0%,,,0%
31,Mbogo Mwangi,D,8,,,,,0%,,0,1,,,,,,0%,,,0%
36,Gunnar Geiger,FO,1,,,,,0%,,0,,,1,,,,0%,,,0%
39,Ryan Sullivan,A,2,,,,,0%,,0,,,,,,,0%,2,2,100%
45,Max Yarranton,M,3,,,,,0%,,0,,1,,,,,0%,,,0%
53,Caden Hawkinson,D,4,,,,,0%,,0,1,1,1,,,,0%,,,0%
