#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
2,Cade Stratton,A,11,17,13,30,69,25%,40,58,32,7,22,,,,0%,,,0%
8,Max Brooks,M,11,12,7,19,62,19%,37,60,10,2,18,,,,0%,,,0%
19,Connor Macrae,A,11,14,5,19,58,24%,41,71,7,1,14,,,,0%,,,0%
27,Zach Clemente,M,11,12,4,16,52,23%,32,62,9,1,9,,,,0%,,,0%
48,Dwayne Mattushik,A,11,12,3,15,27,44%,22,81,19,3,9,,,,0%,,,0%
51,David Cormack,M,11,6,8,14,27,22%,15,56,4,,6,,,,0%,,,0%
28,Mike McIntyre,A,11,9,,9,24,38%,19,79,1,,9,,,,0%,,,0%
7,Brock Anderson,M,11,5,1,6,31,16%,17,55,4,1,8,,,,0%,,,0%
1,Anthony Sardo,A,11,4,1,5,22,18%,15,68,3,,3,,,,0%,,,0%
20,Andrew Duswalt,M,11,5,,5,14,36%,10,71,6,,8,,,,0%,,,0%
26,Rudy Beck,M,11,1,3,4,5,20%,1,20,12,4,11,,,,0%,,,0%
15,Scooter Whiteside,M,11,2,1,3,5,40%,2,40,25,9,7,,,,0%,,,0%
5,Matt Karsian,M,9,2,,2,6,33%,4,67,2,,1,,,,0%,,,0%
33,Garrett Klurman,M,11,,2,2,5,0%,2,40,26,8,1,,,,0%,,,0%
3,Ethan Masucci,M,11,1,,1,6,17%,4,67,,,2,,,,0%,,,0%
9,Chris Hervada,D,11,1,,1,2,50%,1,50,32,13,4,,,,0%,,,0%
35,Matt Soutar,M,11,1,,1,1,100%,1,100,72,,1,,,,0%,151,221,68%
4,Michael Quigg,D,11,,,,1,0%,1,100,6,3,2,,,,0%,,,0%
6,Jack Daly,A,2,,,,1,0%,,0,,1,,,,,0%,,,0%
11,Colin Bosak,M,1,,,,,0%,,0,3,,,,,,0%,8,13,62%
12,Colin Allen,M,2,,,,,0%,,0,,,,,,,0%,,,0%
13,Noah Lode,G,11,,,,,0%,,0,13,,2,114,96,210,54%,,,0%
16,Joe Belko,D,1,,,,,0%,,0,1,,,,,,0%,,,0%
17,Sean Ketchen,A,1,,,,1,0%,,0,,,,,,,0%,,,0%
18,Andrew Kuhlman,G,1,,,,,0%,,0,,,,,,,0%,,,0%
23,Burke Webb,A,1,,,,1,0%,1,100,,,,,,,0%,,,0%
24,Danny Hewitt,M,1,,,,,0%,,0,,,,,,,0%,1,1,100%
25,Jonny MacLean,A,1,,,,,0%,,0,,,,,,,0%,1,1,100%
29,Patrick Orapello,M,11,,,,,0%,,0,2,1,1,,,,0%,,,0%
30,Jimmy Watson,M,6,,,,,0%,,0,1,,,,,,0%,,,0%
31,James Lisignoli,D,10,,,,,0%,,0,2,1,,,,,0%,,,0%
32,LeShawn Williams,M,2,,,,,0%,,0,,,,,,,0%,,2,0%
36,Jack Gertie,D,11,,,,1,0%,1,100,14,3,3,,,,0%,,,0%
43,Conor Tuturice,D,11,,,,,0%,,0,22,13,7,,,,0%,,,0%
55,Ryan Morris,D,11,,,,,0%,,0,1,1,1,,,,0%,,,0%
80,Dillon Smart,D,11,,,,6,0%,4,67,53,19,6,,,,0%,,,0%
99,Perry Doran,G,1,,,,,0%,,0,,,,,,,0%,,,0%
