#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
4,Luke Frankeny,A,13,26,5,31,72,36%,47,65,17,3,16,0,0,0,0%,0,0,0%
8,Brendan Doyle,M,13,16,14,30,58,28%,39,67,9,3,22,0,0,0,0%,0,0,0%
5,Matt Haggerty,M,9,17,7,24,51,33%,32,63,11,3,7,,,,0%,,,0%
14,Jake Krieger,M,13,11,6,17,37,30%,25,68,4,0,6,0,0,0,0%,0,0,0%
2,Joe Bethke,A,13,7,9,16,35,20%,18,51,8,2,9,0,0,0,0%,0,0,0%
28,Brenden McCarthy,M,11,8,6,14,43,19%,26,60,10,2,9,0,0,0,0%,0,0,0%
12,Jared McMahon,A,13,9,4,13,33,27%,23,70,3,3,5,0,0,0,0%,0,0,0%
6,Connor McMahon,M,13,10,2,12,39,26%,20,51,5,2,8,0,0,0,0%,0,0,0%
7,CJ Stowell,A,9,6,2,8,10,60%,9,90,3,1,7,,,,0%,,,0%
21,Noah Daniels,LSM,13,5,3,8,17,29%,10,59,27,9,3,0,0,0,0%,0,0,0%
3,Sam Stephan,FO,10,3,2,5,6,50%,4,67,63,3,3,0,0,0,0%,100,176,57%
18,Jake D'Annunzio,A,6,2,3,5,5,40%,4,80,1,0,1,0,0,0,0%,0,0,0%
41,Bryan McIntosh,D,13,2,3,5,5,40%,2,40,48,31,10,0,0,0,0%,0,0,0%
42,Cormac Giblin,A,9,4,1,5,11,36%,7,64,2,1,1,,,,0%,,,0%
50,Aaron Weisel,M,13,3,1,4,9,33%,6,67,8,2,6,,,,0%,,,0%
10,Justin Weick,A,7,3,1,4,7,43%,5,71,8,2,7,0,0,0,0%,0,0,0%
27,Kelly Gouin,M,10,1,3,4,9,11%,7,78,2,1,7,0,0,0,0%,0,0,0%
16,Kadin Kightlinger,M,10,2,1,3,16,13%,8,50,5,1,11,0,0,0,0%,0,0,0%
48,JP Morris,A,4,0,2,2,1,0%,0,0,0,0,1,0,0,0,0%,0,0,0%
1,Kyle DeCrispino,A,3,1,,1,2,50%,2,100,3,,,,,,0%,,,0%
11,Ryan Ketchen,A,5,1,,1,2,50%,2,100,,,1,,,,0%,,,0%
20,Evan Janiec,LSM,12,,1,1,,0%,,0,5,,2,,,,0%,1,17,6%
22,Thomas Dolinar,M,11,0,1,1,0,0%,0,0,6,1,2,0,0,0,0%,0,0,0%
32,Steven Schmitt,LSM,13,1,0,1,6,17%,4,67,34,13,0,0,0,0,0%,3,23,13%
45,Sam Portillo,M,6,1,0,1,1,100%,0,0,2,2,0,0,0,0,0%,0,0,0%
46,Tim Bradley,M,8,1,0,1,1,100%,1,100,3,4,2,0,0,0,0%,0,0,0%
23,Griffin McGinley,G,2,0,0,0,0,0%,0,0,7,0,0,10,18,28,36%,0,0,0%
26,Dylan Furnback,G,11,0,0,0,0,0%,0,0,26,3,7,136,123,259,53%,0,0,0%
30,Ben Ward,D,9,0,0,0,0,0%,0,0,3,2,0,0,0,0,0%,0,0,0%
31,Dan Bradley,M,12,0,0,0,3,0%,1,33,6,0,4,0,0,0,0%,0,0,0%
33,Tyler Smith,M,8,0,0,0,5,0%,2,40,1,0,2,0,0,0,0%,0,0,0%
34,William Pippen,D,10,0,0,0,0,0%,0,0,2,2,1,0,0,0,0%,0,0,0%
44,Chase Pirozzi,D,11,0,0,0,0,0%,0,0,22,10,6,0,0,0,0%,0,0,0%
55,Joshua Davies,D,13,0,0,0,3,0%,2,67,13,8,4,0,0,0,0%,0,0,0%
9,Brandon Blankman,M,1,,,,1,0%,1,100,,,1,,,,0%,,,0%
17,Mitchell Dunham,D,1,,,,,0%,,0,,,,,,,0%,,,0%
24,Nick Benoit,LSM,6,,,,,0%,,0,4,1,2,,,,0%,,,0%
37,Andrew Preston,G,4,,,,,0%,,0,,,,3,6,9,33%,,,0%
38,Jake Wright,D,2,,,,,0%,,0,,,,,,,0%,,,0%
40,Turner McGarvey,LSM,6,,,,,0%,,0,4,1,1,,,,0%,,,0%
43,Quinn Diehl,M,3,,,,,0%,,0,1,,,,,,0%,,,0%
47,Carter Warm,M,1,,,,,0%,,0,1,,1,,,,0%,,,0%
49,Noah Persing,A,1,,,,,0%,,0,,,,,,,0%,,,0%
51,Ethan Holobinko,M,9,,,,1,0%,,0,21,1,5,,,,0%,48,109,44%
52,Luke Roth,D,1,,,,,0%,,0,,,,,,,0%,,,0%
53,Cooper Leonard,FO,2,,,,,0%,,0,1,,,,,,0%,2,11,18%
