#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
11,Collin Fogerty,A,11,15,11,26,57,26%,30,53,21,4,29,0,0,0,0%,0,0,0%
28,Owen Corry,M,11,19,5,24,79,24%,38,48,19,5,25,0,0,0,0%,0,0,0%
5,Gavyn Willson,A,11,9,10,19,44,20%,22,50,12,1,15,0,0,0,0%,0,0,0%
13,Jack Bowie,A,11,14,5,19,53,26%,24,45,17,0,13,0,0,0,0%,0,0,0%
2,Logan Hone,M,10,9,3,12,36,25%,23,64,9,1,10,0,0,0,0%,0,0,0%
21,Max Wilson,M,11,3,5,8,22,14%,12,55,7,2,15,0,0,0,0%,0,0,0%
18,Garrett Muscatella,M,11,5,1,6,25,20%,15,60,1,3,10,0,0,0,0%,0,0,0%
9,Beck Gozdenovich,M,10,2,1,3,5,40%,3,60,19,3,7,,,,0%,,,0%
1,Ryan Schilling,M,1,,1,1,,0%,,0,,,,,,,0%,,,0%
3,Nick O'Melia,M,2,,1,1,,0%,,0,,,1,,,,0%,,1,0%
19,Keegan Ford,A,11,1,0,1,4,25%,2,50,5,1,4,0,0,0,0%,0,0,0%
31,Myles Hickey,M,11,1,0,1,2,50%,2,100,10,1,2,0,0,0,0%,0,0,0%
33,Eric Sherman,A,9,,1,1,9,0%,4,44,4,,7,,,,0%,,,0%
42,Brendan Geissel,A,6,1,0,1,5,20%,4,80,2,0,4,0,0,0,0%,0,0,0%
73,Lynch Raby,D,8,,1,1,,0%,,0,20,17,6,,,,0%,,,0%
6,Liam Brown,G,11,0,0,0,0,0%,0,0,27,3,5,138,123,261,53%,0,0,0%
12,Isaac Vanzomeren,M,11,0,0,0,5,0%,3,60,43,1,4,0,0,0,0%,90,193,47%
16,Nick Krawchuk,D,4,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,1,0%
17,Nick Ericson,M,6,0,0,0,2,0%,1,50,3,0,1,0,0,0,0%,7,33,21%
20,Richard Nardone,M,4,0,0,0,1,0%,0,0,2,1,0,0,0,0,0%,0,0,0%
25,Xavier Ritter,M,10,0,0,0,2,0%,1,50,10,4,1,0,0,0,0%,0,0,0%
30,Luke Binder,D,11,0,0,0,0,0%,0,0,15,10,4,0,0,0,0%,0,0,0%
32,Teddy Grimley,D,11,0,0,0,0,0%,0,0,19,7,5,0,0,0,0%,0,0,0%
43,Josh Failla,M,10,0,0,0,0,0%,0,0,4,2,3,0,0,0,0%,0,0,0%
46,Jake Baumgardt,D,10,0,0,0,0,0%,0,0,4,2,2,0,0,0,0%,0,0,0%
50,Brandon Wasitowski,M,5,0,0,0,2,0%,2,100,2,1,2,0,0,0,0%,0,0,0%
55,Matthew Bowerman,D,6,0,0,0,0,0%,0,0,6,2,0,0,0,0,0%,0,0,0%
91,Shane Plokhoy,M,11,0,0,0,0,0%,0,0,7,1,5,0,0,0,0%,0,0,0%
4,Jack Mahony,M,1,,,,,0%,,0,,,,,,,0%,,1,0%
7,Griffin Martin,A,2,,,,1,0%,,0,,,,,,,0%,,,0%
8,Adam Gonzalez,M,1,,,,,0%,,0,,,,,,,0%,,,0%
10,Yanni Kalas,G,1,,,,,0%,,0,,,,5,3,8,63%,,,0%
15,Bryce Zell,G,5,,,,,0%,,0,1,,,30,33,63,48%,,,0%
22,Nick Gutierrez,M,6,,,,,0%,,0,1,1,,,,,0%,3,16,19%
34,Shane Calderwood,M,3,,,,,0%,,0,2,,,,,,0%,2,11,18%
40,Billy Kroeger,M,4,,,,,0%,,0,2,,1,,,,0%,7,21,33%
45,Gavin Snow,M,1,,,,,0%,,0,,,,,,,0%,,,0%
88,Noah Kepes,A,6,,,,3,0%,2,67,2,,1,,,,0%,,,0%
