#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
17,Christian Daniel,A,9,16,15,31,45,36%,32,71,27,3,12,0,0,0,0%,0,0,0%
29,Patrick Skalniak,M,9,12,12,24,35,34%,20,57,11,2,11,0,0,0,0%,0,0,0%
6,Jon Jarosz,M,8,12,5,17,30,40%,16,53,15,1,16,,,,0%,,,0%
21,Nick Cole,A,9,6,9,15,27,22%,17,63,6,1,9,0,0,0,0%,0,0,0%
48,James Flannery,M,9,8,2,10,26,31%,13,50,9,0,7,0,0,0,0%,0,0,0%
32,Jack Sweeney,A,8,9,0,9,22,41%,15,68,14,0,3,0,0,0,0%,0,0,0%
57,Tyler Perreten,A,9,1,8,9,11,9%,9,82,3,1,6,0,0,0,0%,0,0,0%
28,Dane Swanson,M,5,5,3,8,27,19%,11,41,4,0,5,0,0,0,0%,0,0,0%
43,Max Hewitt,M,9,6,1,7,17,35%,9,53,3,0,5,0,0,0,0%,0,0,0%
22,Michael Foster,M,9,5,0,5,21,24%,11,52,5,1,7,0,0,0,0%,0,0,0%
25,Bryson Rhee,M,7,5,0,5,13,38%,10,77,2,1,4,0,0,0,0%,0,0,0%
66,Joe DeLyra,M,6,4,1,5,16,25%,8,50,5,1,3,,,,0%,,,0%
3,Jeff Durden,LSM,9,3,0,3,6,50%,4,67,18,7,2,0,0,0,0%,0,2,0%
13,Joe Byrne,A,3,1,,1,1,100%,1,100,,,,,,,0%,,,0%
18,Tim Griffin,M,9,1,0,1,2,50%,1,50,15,3,6,0,0,0,0%,0,0,0%
20,Spencer Rees,G,9,0,1,1,0,0%,0,0,28,4,3,126,88,214,59%,0,0,0%
34,Jackson Bonitz,D,9,1,0,1,4,25%,3,75,25,10,3,0,0,0,0%,0,0,0%
40,Nick Franchuk,D,9,1,0,1,2,50%,2,100,28,11,1,0,0,0,0%,0,0,0%
42,Ryan Magnuson,M,2,1,,1,1,100%,1,100,,1,1,,,,0%,,,0%
2,Jimmy Rubino,LSM,5,0,0,0,0,0%,0,0,8,2,1,0,0,0,0%,0,0,0%
5,Augie Fratt,M,8,0,0,0,0,0%,0,0,2,0,0,0,0,0,0%,0,0,0%
8,Jacob Mandish,LSM,9,0,0,0,0,0%,0,0,5,1,1,0,0,0,0%,0,0,0%
10,Colin Meehan,M,9,0,0,0,7,0%,5,71,13,4,1,0,0,0,0%,0,0,0%
41,Andrew McKenna,D,9,0,0,0,2,0%,0,0,14,5,5,0,0,0,0%,0,0,0%
45,Jacob Jarosz,FO,9,0,0,0,3,0%,0,0,32,1,5,0,0,0,0%,71,132,54%
47,Henry Rentz,M,3,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,0,0,0%
49,Kai Sasaki,M,6,0,0,0,0,0%,0,0,2,0,0,0,0,0,0%,0,0,0%
58,Nate Hammond,FO,3,0,0,0,0,0%,0,0,5,0,1,0,0,0,0%,16,41,39%
4,Nick Barry,FO,3,,,,,0%,,0,5,,,,,,0%,7,27,26%
7,Chris Smith,D,1,,,,,0%,,0,,,,,,,0%,,,0%
11,Logan Spilker,M,3,,,,,0%,,0,,,1,,,,0%,,,0%
14,Matty Mayer,A,1,,,,,0%,,0,,,,,,,0%,,,0%
16,Tommy Hovivian,A,1,,,,,0%,,0,,,,,,,0%,,,0%
19,Pat Ryan,G,2,,,,,0%,,0,,,,2,2,4,50%,,,0%
26,Jackson Peters,M,1,,,,1,0%,1,100,1,,2,,,,0%,,,0%
27,Will Schiffenhaus,A,1,,,,,0%,,0,,,,,,,0%,,,0%
30,Zach Snider,D,5,,,,,0%,,0,,,,,,,0%,,,0%
31,John Salcedo,M,4,,,,,0%,,0,1,,,,,,0%,,,0%
33,Nick LiCalzi,D,6,,,,,0%,,0,3,1,,,,,0%,,,0%
37,Ryan Chase,M,1,,,,,0%,,0,,,,,,,0%,,,0%
54,Dom Cole,A,1,,,,,0%,,0,,,2,,,,0%,,,0%
56,Donovan Murphy,D,2,,,,,0%,,0,1,,,,,,0%,,,0%
62,Phil Arnold,D,1,,,,,0%,,0,,,,,,,0%,,,0%
63,Joe Miller,FO,2,,,,,0%,,0,,,,,,,0%,2,15,13%
64,Sam Dracobly,M,2,,,,,0%,,0,,,1,,,,0%,,,0%
68,Kyle Fairbanks,D,3,,,,,0%,,0,2,1,,,,,0%,,,0%
