#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
4,Chris Gray,A,14,46,37,83,127,36%,78,61,18,7,15,0,0,0,0%,0,0,0%
3,William Perry,M,14,28,13,41,72,39%,43,60,12,2,5,0,0,0,0%,0,0,0%
8,Nicky Solomon,A,14,22,16,38,61,36%,40,66,13,1,12,0,0,0,0%,0,0,0%
9,Jacob Kelly,A,14,20,12,32,55,36%,33,60,24,3,14,0,0,0,0%,0,0,0%
77,Tanner Cook,M,12,22,9,31,69,32%,43,62,8,0,16,0,0,0,0%,0,0,0%
21,Justin Anderson,M,14,22,6,28,63,35%,45,71,17,6,10,0,0,0,0%,0,0,0%
1,Alex Trippi,A,14,11,12,23,39,28%,23,59,5,2,2,0,0,0,0%,0,0,0%
19,Brian Cameron,A,14,16,1,17,42,38%,30,71,17,2,5,0,0,0,0%,0,0,0%
32,Connor McCarthy,M,12,11,0,11,33,33%,17,52,6,0,7,0,0,0,0%,0,0,0%
2,Henry Schertzinger,M,11,8,1,9,26,31%,14,54,3,1,3,0,0,0,0%,0,0,0%
6,Cole Herbert,M,13,4,4,8,16,25%,8,50,3,0,7,0,0,0,0%,0,0,0%
17,Ryan O'Connell,M,11,7,1,8,24,29%,12,50,6,0,2,0,0,0,0%,0,3,0%
0,Lance Tillman,A,14,5,2,7,19,26%,12,63,6,1,3,0,0,0,0%,0,0,0%
15,Andrew Tyeryar,FO,14,4,3,7,10,40%,7,70,47,3,3,0,0,0,0%,102,190,54%
7,Zac Tucci,FO,14,4,1,5,17,24%,8,47,58,1,3,0,0,0,0%,130,225,58%
20,Matt Wright,D,14,3,1,4,10,30%,7,70,45,13,5,0,0,0,0%,0,0,0%
31,Connor Maher,D,14,1,2,3,5,20%,4,80,58,8,6,0,0,0,0%,0,0,0%
34,Will Nicklaus,M,9,2,1,3,7,29%,5,71,3,0,4,0,0,0,0%,0,0,0%
16,Sean Morris,D,14,0,1,1,0,0%,0,0,14,6,1,0,0,0,0%,0,0,0%
23,Parker Alexander,D,12,1,0,1,4,25%,1,25,17,4,6,0,0,0,0%,0,0,0%
24,Will Bowen,D,14,0,1,1,0,0%,0,0,32,25,8,0,0,0,0%,0,0,0%
28,Cam Macri,D,14,0,1,1,0,0%,0,0,16,6,0,0,0,0,0%,0,0,0%
39,Collin Krieg,G,14,0,1,1,0,0%,0,0,36,1,9,161,133,294,55%,0,0,0%
88,Alex Breschi,D,14,0,1,1,4,0%,1,25,14,5,2,0,0,0,0%,0,0,0%
50,Collin Loughead,D,12,,1,1,3,0%,3,100,6,2,2,,,,0%,,,0%
12,Ara Atayan,M,4,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,0,0,0%
18,Quintin O'Connell,M,5,0,0,0,0,0%,0,0,1,1,1,0,0,0,0%,0,0,0%
22,Evan Egan,D,9,0,0,0,0,0%,0,0,3,4,1,0,0,0,0%,0,0,0%
25,Caton Johnson,G,1,0,0,0,0,0%,0,0,0,0,0,2,7,9,22%,0,0,0%
30,Bailey Laidman,A,2,0,0,0,2,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
33,Kyle Kolwich,D,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
36,Graham Schwartz,FO,3,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,4,11,36%
49,Trevor Deubner,A,3,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
55,Cole Brown,D,5,0,0,0,1,0%,1,100,0,0,0,0,0,0,0%,0,0,0%
99,Tyler Seminetta,D,5,0,0,0,0,0%,0,0,2,0,1,0,0,0,0%,0,0,0%
5,Harrison Schertzinger,M,1,,,,,0%,,0,1,,,,,,0%,,,0%
11,Luke Millican,G,1,,,,,0%,,0,,,,1,2,3,33%,,,0%
14,Matt McLaughlin,M,2,,,,,0%,,0,,,,,,,0%,,,0%
26,Parker Byrd,D,2,,,,,0%,,0,,,,,,,0%,,,0%
35,Ryan O'Leary,D,2,,,,,0%,,0,,,,,,,0%,1,1,100%
40,Will Pettit,G,4,,,,,0%,,0,1,,,10,5,15,67%,,,0%
45,Zach Young,D,3,,,,,0%,,0,2,,,,,,0%,,,0%
46,Alex Helms,M,2,,,,,0%,,0,,,,,,,0%,,,0%
66,Will Robbins,D,2,,,,,0%,,0,,,,,,,0%,,,0%
70,Van Parker,A,1,,,,,0%,,0,,,,,,,0%,,,0%
80,Jack Grubbs,M,1,,,,,0%,,0,,,,,,,0%,,,0%
90,Blake Gable,D,5,,,,,0%,,0,3,1,,,,,0%,,,0%
95,Maxwell Cooney,D,2,,,,,0%,,0,,,,,,,0%,,,0%
98,Colin Reilly,M,3,,,,1,0%,1,100,,1,,,,,0%,,,0%
