#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
51,Pat Kavanagh,A,10,23,36,59,71,32%,39,55,27,7,16,,,,0%,,,0%
43,Griffin Westlin,A,10,14,13,27,54,26%,25,46,21,2,11,,,,0%,,,0%
55,Wheaton Jackoboice,M,10,14,10,24,49,29%,26,53,12,1,4,,,,0%,,,0%
15,Quinn McCahon,M,10,14,8,22,35,40%,22,63,7,2,12,,,,0%,,,0%
99,Will Yorke,A,10,22,,22,43,51%,36,84,10,4,5,,,,0%,,,0%
8,Eric Dobson,M,10,14,6,20,67,21%,33,49,9,,9,,,,0%,,,0%
12,Morrison Mirer,M,10,10,1,11,34,29%,19,56,3,,7,,,,0%,,,0%
66,David Lipka,M,10,5,4,9,17,29%,12,71,2,,2,,,,0%,,,0%
6,Mikey Drake,A,10,5,3,8,14,36%,7,50,2,1,1,,,,0%,,,0%
24,Ryan Hallenbeck,M,10,4,4,8,10,40%,8,80,13,4,3,,,,0%,,,0%
47,Charles Leonard,FO,10,3,1,4,7,43%,4,57,36,1,1,,,,0%,60,99,61%
52,Kyle Gallagher,FO,10,1,3,4,9,11%,3,33,64,,4,,,,0%,95,153,62%
5,Bryce Walker,A,6,2,1,3,4,50%,3,75,,,2,,,,0%,,,0%
29,Sean Leahey,M,7,2,1,3,8,25%,4,50,2,,2,,,,0%,,,0%
77,Nick Harris,M,10,3,,3,4,75%,4,100,8,5,2,,,,0%,,,0%
17,Reilly Gray,M,4,2,,2,7,29%,3,43,,,,,,,0%,,,0%
19,Quentin Buchman,M,4,2,,2,7,29%,2,29,1,,,,,,0%,,,0%
22,Connor Morin,A,4,2,,2,4,50%,2,50,,,1,,,,0%,,,0%
31,Daniel Cassidy,M,10,2,,2,8,25%,4,50,20,6,5,,,,0%,,,0%
3,Tommy McNamara,M,10,1,,1,3,33%,1,33,9,,2,,,,0%,,,0%
10,Jack Kielty,D,10,,1,1,2,0%,,0,15,6,2,,,,0%,,,0%
13,Jake Taylor,A,2,1,,1,3,33%,1,33,,,1,,,,0%,,,0%
46,Jose Boyer,LSM,9,,1,1,2,0%,2,100,18,9,2,,,,0%,,,0%
1,Junior Almeida,FO,3,,,,,0%,,0,,,,,,,0%,5,10,50%
4,James Littlefield,D,4,,,,,0%,,0,3,1,,,,,0%,,,0%
9,Emmett Barger,A,7,,,,1,0%,,0,1,,5,,,,0%,,,0%
11,Michael Fay,M,4,,,,1,0%,,0,,,,,,,0%,,,0%
18,Michael Lynch,M,2,,,,,0%,,0,1,,1,,,,0%,,,0%
20,Mark McGinley,M,5,,,,,0%,,0,,,1,,,,0%,,,0%
21,Carter Parlette,M,8,,,,6,0%,3,50,1,,3,,,,0%,,,0%
23,Jacob Frane,M,3,,,,,0%,,0,,,,,,,0%,,,0%
25,Jake Moss,M,5,,,,1,0%,1,100,1,,,,,,0%,,,0%
27,Ross Burgmaster,D,10,,,,1,0%,,0,15,2,1,,,,0%,,,0%
30,Marco Napolitano,D,7,,,,,0%,,0,,,,,,,0%,,,0%
33,Griffin Hawthorne,D,1,,,,,0%,,0,,,,,,,0%,,,0%
34,Jack Conroy,M,3,,,,,0%,,0,,,,,,,0%,,,0%
36,Arden Cohen,D,10,,,,1,0%,,0,21,5,2,,,,0%,,,0%
41,Matt Schmidt,G,3,,,,,0%,,0,1,,,9,4,13,69%,,,0%
42,Justin Cheng,LSM,4,,,,,0%,,0,1,,1,,,,0%,,,0%
44,Liam Entenmann,G,10,,,,2,0%,,0,11,1,5,112,81,193,58%,,,0%
45,Chris Nelson,G,1,,,,,0%,,0,,,,,,,0%,,,0%
48,Jonathan Ford,D,4,,,,,0%,,0,2,,,,,,0%,,,0%
50,Maximus Schalit,D,5,,,,2,0%,,0,3,2,1,,,,0%,,,0%
88,Kyle Thornton,D,10,,,,4,0%,1,25,14,15,8,,,,0%,,,0%
