#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
2,Jack Myers,A,11,34,11,45,81,42%,53,65,11,5,11,0,0,0,0%,0,0,0%
44,Tre Leclaire,A,11,24,7,31,92,26%,58,63,13,3,19,0,0,0,0%,0,0,0%
29,Jackson Reid,A,11,15,11,26,56,27%,32,57,12,5,10,0,0,0,0%,0,0,0%
9,Griffin Hughes,M,11,16,3,19,39,41%,24,62,4,0,13,0,0,0,0%,0,0,0%
10,Grant Mitchell,M,11,7,6,13,26,27%,14,54,7,0,11,0,0,0,0%,0,0,0%
22,Johnny Wiseman,M,10,9,4,13,41,22%,28,68,5,1,11,0,0,0,0%,0,0,0%
25,Mitchell Pehlke,A,7,3,4,7,7,43%,4,57,4,,2,,,,0%,,,0%
34,Ryan Terefenko,M,7,5,1,6,20,25%,10,50,27,2,5,0,0,0,0%,8,14,57%
6,Scott White,A,10,3,2,5,18,17%,7,39,2,0,5,0,0,0,0%,0,0,0%
8,Connor Cmiel,M,10,1,4,5,5,20%,2,40,14,6,5,0,0,0,0%,0,0,0%
3,Trent DiCicco,M,4,1,2,3,4,25%,2,50,3,1,2,0,0,0,0%,0,0,0%
11,Jeff Henrick,D,11,2,1,3,5,40%,5,100,34,13,6,0,0,0,0%,0,0,0%
20,Omari DeBerry,M,10,1,1,2,3,33%,2,67,2,3,3,0,0,0,0%,0,0,0%
32,Jack DeSantis,D,5,0,2,2,0,0%,0,0,8,2,2,0,0,0,0%,0,0,0%
46,Stephen Zupicich,D,10,1,1,2,3,33%,1,33,25,7,0,0,0,0,0%,0,3,0%
50,Evan Riss,D,9,1,1,2,1,100%,1,100,11,1,6,,,,0%,,,0%
24,Connor Mitchell,M,8,1,,1,16,6%,6,38,3,,6,,,,0%,,,0%
40,Carter Hilleary,M,8,0,1,1,0,0%,0,0,6,1,2,0,0,0,0%,0,0,0%
52,Jacob Snyder,D,11,1,0,1,1,100%,1,100,7,9,4,0,0,0,0%,0,0,0%
1,Skylar Wahlund,G,3,0,0,0,0,0%,0,0,15,0,5,25,43,68,37%,0,0,0%
5,Mitchell Sandberg,A,2,0,,0,1,0%,0,0,1,,,,,,0%,,,0%
17,Zach Ludd,A,2,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
26,Garrett Nilsen,A,7,0,0,0,0,0%,0,0,0,1,0,0,0,0,0%,0,0,0%
27,James Hogan,FO,5,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,4,12,33%
35,James Cipolla,M,4,0,0,0,2,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
37,Eric Wenz,D,11,0,0,0,0,0%,0,0,19,3,2,0,0,0,0%,0,0,0%
41,Sam Faber,FO,2,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,4,9,44%
43,George Walsh,D,8,0,0,0,0,0%,0,0,8,1,2,0,0,0,0%,0,0,0%
47,Anthony Ameo,M,1,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,0,0,0%
12,Matthew Clibanoff,A,1,,,,,0%,,0,,,1,,,,0%,,,0%
19,Jack Graffagnino,D,1,,,,,0%,,0,,,,,,,0%,,,0%
23,Alec Van De Bovenkamp,G,9,,,,,0%,,0,22,2,4,79,99,178,44%,,,0%
28,Dayton Fisher,D,1,,,,,0%,,0,,,,,,,0%,,,0%
30,Justin Inacio,M,10,,,,1,0%,,0,63,1,9,,,,0%,147,267,55%
