#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
7,TJ Malone,A,11,25,18,43,84,30%,53,63,18,2,18,0,0,0,0%,0,0,0%
3,Mac O'Keefe,A,11,29,6,35,87,33%,46,53,19,7,16,0,0,0,0%,0,0,0%
11,Dylan Foulds,A,11,15,10,25,32,47%,24,75,15,1,7,0,0,0,0%,0,0,0%
26,Dan Reaume,M,8,8,4,12,24,33%,15,63,4,0,15,0,0,0,0%,0,0,0%
32,Mark Sickler,A,9,5,7,12,32,16%,19,59,9,1,17,,,,0%,,,0%
51,Jackson Reynolds,A,8,8,4,12,41,20%,17,41,3,1,17,,,,0%,,,0%
25,Jack Kelly,M,11,6,4,10,27,22%,21,78,11,1,7,0,0,0,0%,0,0,0%
33,Jack Traynor,M,6,4,3,7,11,36%,5,45,4,0,9,0,0,0,0%,0,0,0%
5,Canyon Birch,A,4,3,1,4,17,18%,8,47,5,,4,,,,0%,,,0%
4,Bobby Burns,M,7,2,0,2,5,40%,3,60,12,2,6,0,0,0,0%,0,0,0%
16,Nick Cardile,D,11,1,1,2,2,50%,1,50,23,9,4,0,0,0,0%,0,0,0%
29,Grant Haus,M,11,2,0,2,6,33%,4,67,11,5,4,0,0,0,0%,0,0,0%
35,Jake Morin,A,8,1,1,2,6,17%,4,67,1,0,4,0,0,0,0%,0,0,0%
12,Seamus Glynn,A,3,,1,1,2,0%,,0,,,1,,,,0%,,,0%
21,Sam Sweeney,LSM,11,0,1,1,4,0%,1,25,13,8,6,0,0,0,0%,0,0,0%
22,Nate Buller,M,5,1,,1,4,25%,1,25,1,,5,,,,0%,,,0%
23,Mac Costin,M,5,1,0,1,6,17%,5,83,0,0,2,0,0,0,0%,0,0,0%
46,Luke Mercer,M,4,0,1,1,2,0%,0,0,0,0,2,0,0,0,0%,0,0,0%
6,Jordan Donaghy,FO,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
24,Cole Willard,M,2,0,0,0,3,0%,1,33,0,0,1,0,0,0,0%,0,0,0%
30,Jake Glatz,FO,9,0,0,0,2,0%,1,50,16,1,2,0,0,0,0%,30,63,48%
34,Colby Kneese,G,10,0,0,0,0,0%,0,0,19,3,5,82,111,193,42%,0,0,0%
36,Sutton Boland,D,11,0,0,0,3,0%,2,67,28,6,9,0,0,0,0%,0,0,0%
40,Gerard Arceri,FO,11,0,0,0,4,0%,3,75,81,0,5,0,0,0,0%,135,231,58%
41,"Gerald Filardi, Jr.",D,8,0,0,0,2,0%,2,100,6,0,4,0,0,0,0%,0,0,0%
42,Joe White,A,3,0,0,0,1,0%,1,100,1,0,2,0,0,0,0%,0,0,0%
47,Brett Funk,D,9,0,0,0,0,0%,0,0,12,4,2,0,0,0,0%,0,0,0%
10,John Nostrant,M,7,,,,1,0%,1,100,6,2,4,,,,0%,,,0%
18,Aleric Fyock,G,5,,,,,0%,,0,9,,1,41,37,78,53%,,,0%
20,Malcolm Glendinning,D,2,,,,,0%,,0,,1,,,,,0%,,,0%
27,Ryan Huff,LSM,2,,,,1,0%,,0,,,,,,,0%,,,0%
37,Robert McGee,M,1,,,,,0%,,0,,,1,,,,0%,,,0%
39,Jeb Brenfleck,A,1,,,,,0%,,0,1,,,,,,0%,,,0%
43,Jack Posey,D,4,,,,2,0%,1,50,5,,,,,,0%,,,0%
44,Brayden Peck,D,9,,,,,0%,,0,13,7,5,,,,0%,,,0%
45,Jake McCaughan,LSM,3,,,,,0%,,0,2,,,,,,0%,,,0%
