#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
20,Adam Goldner,A,1,9,1,10,14,64%,10,71,1,1,6,,,,0%,,,0%
40,Dylan Gergar,A,1,7,2,9,10,70%,7,70,3,,1,,,,0%,,,0%
6,Jack Schultz,A,1,,4,4,,0%,,0,1,,2,,,,0%,,,0%
22,Sean Lulley,A,1,,4,4,7,0%,2,29,2,,1,,,,0%,,,0%
37,James Shipley,M,1,1,2,3,3,33%,1,33,,,2,,,,0%,,,0%
3,Ben Bedard,D,1,2,,2,3,67%,2,67,3,,2,,,,0%,,,0%
4,Mitch Bartolo,M,1,,1,1,2,0%,1,50,1,1,,,,,0%,,,0%
8,Edward Arnold,D,1,,1,1,1,0%,1,100,6,1,2,,,,0%,,,0%
9,Gabe Furey,M,1,1,,1,2,50%,1,50,,,,,,,0%,,,0%
11,Mike Lamon,A,1,1,,1,1,100%,1,100,,,,,,,0%,,,0%
12,Cam Rubin,A,1,1,,1,1,100%,1,100,,,1,,,,0%,,,0%
19,Robert Schain,A,1,1,,1,1,100%,1,100,2,,1,,,,0%,,,0%
42,Patrick Burkinshaw,G,1,,1,1,,0%,,0,1,,,12,8,20,60%,,,0%
51,Matt Palazzi,FO,1,,1,1,,0%,,0,1,1,,,,,0%,,,0%
1,BJ Farrare,LSM,1,,,,,0%,,0,,,1,,,,0%,,,0%
5,Quint Miniter,A,1,,,,,0%,,0,,,,,,,0%,,,0%
7,JoJo Biddle,D,1,,,,,0%,,0,4,,1,,,,0%,,,0%
10,Payton Hollway,M,1,,,,,0%,,0,1,,1,,,,0%,,,0%
13,Tommy Bavuso,D,1,,,,,0%,,0,3,,1,,,,0%,,,0%
15,Jack Joyce,M,1,,,,,0%,,0,,,1,,,,0%,,,0%
17,Jamie Zusi,FO,1,,,,,0%,,0,7,,,,,,0%,22,29,76%
23,Deven Varney,G,1,,,,,0%,,0,,,,,,,0%,,,0%
24,Thomas Chai,M,1,,,,,0%,,0,,,1,,,,0%,,,0%
25,Harrison Fellheimer,G,1,,,,,0%,,0,,,,1,1,2,50%,,,0%
27,Luke DiGiacobbe,M,1,,,,,0%,,0,1,,,,,,0%,,,0%
28,Batts Parker,D,1,,,,2,0%,2,100,1,1,,,,,0%,,,0%
29,Emmet Carroll,G,1,,,,,0%,,0,,,,,,,0%,,,0%
32,MacGregor Peterson,A,1,,,,,0%,,0,,,,,,,0%,,,0%
33,Chris Arceri,FO,1,,,,1,0%,,0,1,,,,,,0%,3,6,50%
34,JB Conner,M,1,,,,,0%,,0,,,,,,,0%,,,0%
46,Brendan Lavelle,D,1,,,,,0%,,0,4,2,,,,,0%,,,0%
50,Matt Hilgartner,A,1,,,,,0%,,0,,,,,,,0%,,,0%
55,Kevin Richetelli,D,1,,,,,0%,,0,,,,,,,0%,,,0%
