#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
27,Ryan Nawrocki,M,13,12,21,33,76,16%,39,51,9,1,24,0,0,0,0%,0,0,0%
12,Ryan Zimmerman,M,13,19,10,29,47,40%,34,72,19,2,8,0,0,0,0%,0,0,0%
8,Dan Axelson,M,13,21,7,28,104,20%,55,53,7,1,7,0,0,0,0%,0,0,0%
5,Matt Grillo,A,12,22,3,25,90,24%,49,54,19,3,26,0,0,0,0%,0,0,0%
17,Tim Hinrichs,M,12,16,6,22,68,24%,44,65,11,1,13,0,0,0,0%,0,0,0%
13,Evan McGreen,M,11,8,5,13,58,14%,26,45,7,2,7,0,0,0,0%,0,0,0%
31,John Hoffman,A,9,10,3,13,36,28%,21,58,9,2,8,0,0,0,0%,0,0,0%
4,Nick Shaw,M,13,4,3,7,7,57%,6,86,35,3,6,0,0,0,0%,0,0,0%
2,Matt Leader,A,6,5,1,6,27,19%,12,44,6,0,5,0,0,0,0%,0,0,0%
20,Chris Cusolito,M,13,2,4,6,5,40%,3,60,19,0,5,0,0,0,0%,0,0,0%
52,Brendan Driscoll,A,5,3,1,4,7,43%,5,71,0,0,1,0,0,0,0%,0,0,0%
3,Dylan O'Donnell,A,6,2,1,3,17,12%,10,59,1,0,4,0,0,0,0%,0,0,0%
18,Peter Pittroff,A,7,2,1,3,4,50%,3,75,1,,2,,,,0%,,,0%
22,Owen Martinson,M,4,1,2,3,5,20%,3,60,1,0,0,0,0,0,0%,0,0,0%
32,Michael Chabra,M,8,2,0,2,21,10%,7,33,5,0,5,0,0,0,0%,0,0,0%
38,Michael Hughes,LSM,10,2,0,2,6,33%,5,83,13,2,2,0,0,0,0%,0,0,0%
29,Ryan Mechler,A,5,1,0,1,1,100%,1,100,1,0,0,0,0,0,0%,1,1,100%
39,RJ Romeo,FO,13,0,1,1,1,0%,0,0,56,1,7,0,0,0,0%,146,290,50%
44,Mike O'Grady,LSM,12,1,0,1,2,50%,1,50,11,4,2,0,0,0,0%,0,0,0%
1,Rainier Lee,M,5,0,0,0,1,0%,0,0,1,0,2,0,0,0,0%,0,0,0%
6,Alex Borg,FO,5,0,0,0,0,0%,0,0,6,0,2,1,2,3,33%,8,15,53%
9,Troy Higgins,M,13,0,0,0,4,0%,1,25,5,2,2,0,0,0,0%,0,0,0%
11,Ryan Poole,D,4,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
15,Ty Thureson,M,2,0,0,0,4,0%,1,25,2,1,2,0,0,0,0%,0,0,0%
16,Jack Kilian,M,10,0,0,0,1,0%,0,0,5,4,1,0,0,0,0%,0,0,0%
23,Bryce Kirkwood,A,2,0,0,0,0,0%,0,0,1,1,1,0,0,0,0%,0,0,0%
25,Grant Latimer,D,10,0,0,0,0,0%,0,0,20,11,2,0,0,0,0%,0,0,0%
28,Emmett Jennings,D,13,0,0,0,3,0%,2,67,33,12,11,0,0,0,0%,0,0,0%
30,Ricky Amorim,D,5,0,0,0,0,0%,0,0,1,1,1,0,0,0,0%,6,15,40%
34,Toby Burgdorf,G,13,0,0,0,3,0%,0,0,23,1,9,163,157,320,51%,0,0,0%
42,Chad Cannon,M,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
43,Nick Tommasi,D,13,0,0,0,5,0%,0,0,29,10,4,0,0,0,0%,0,2,0%
45,Kevin Beatty,LSM,2,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,0,0,0%
46,Tom Fegley,FO,5,0,0,0,0,0%,0,0,5,1,2,0,0,0,0%,9,21,43%
48,Luke McKernan,LSM,5,0,0,0,0,0%,0,0,4,4,1,0,0,0,0%,0,0,0%
49,Matt Gould,D,13,0,0,0,0,0%,0,0,15,10,3,0,0,0,0%,0,0,0%
51,Luke O'Grady,A,2,0,0,0,2,0%,1,50,1,0,0,0,0,0,0%,0,0,0%
55,Connor Davies,A,1,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
7,Cam Martin,D,1,,,,,0%,,0,,,,,,,0%,,,0%
10,Michael Harris,G,4,,,,,0%,,0,2,2,,6,9,15,40%,,,0%
19,John Hufnagel,LSM,1,,,,,0%,,0,,,,,,,0%,,,0%
21,Will Thomas,M,2,,,,1,0%,,0,,,,,,,0%,,,0%
26,Wynton Bastian,M,2,,,,2,0%,1,50,,,,,,,0%,,,0%
35,Alex Schrank,D,1,,,,,0%,,0,,,,,,,0%,,,0%
36,Billy Metz,M,1,,,,,0%,,0,,,,,,,0%,,,0%
37,Dean Costalas,D,2,,,,,0%,,0,1,,,,,,0%,,,0%
40,Owen Borek,D,1,,,,,0%,,0,,,,,,,0%,,,0%
47,Brendan Tully,M,3,,,,,0%,,0,,1,,,,,0%,,1,0%
