#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
11,Dylan Donnery,A,7,13,2,15,38,34%,24,63,11,3,15,,,,0%,,,0%
2,Will Abbott,M,6,5,9,14,43,12%,16,37,9,1,9,,,,0%,,,0%
5,Steven Germain,M,7,4,7,11,34,12%,12,35,11,5,10,,,,0%,,,0%
16,Jake Tellers,A,7,9,1,10,38,24%,14,37,4,1,7,,,,0%,,,0%
10,John DeLucia,A,7,7,2,9,31,23%,17,55,17,1,11,,,,0%,,,0%
9,Evan Perry,M,7,5,2,7,28,18%,12,43,2,2,6,,,,0%,,,0%
6,Jake Tomsik,A,4,5,1,6,14,36%,11,79,4,1,4,,,,0%,,,0%
12,Colin Casey,M,7,2,4,6,13,15%,6,46,2,1,4,,,,0%,,,0%
18,Ryan Donnery,M,6,4,2,6,15,27%,8,53,5,2,4,,,,0%,,,0%
28,Matt Miller,M,7,4,1,5,8,50%,7,88,,1,7,,,,0%,,,0%
3,Demitri George,M,7,3,,3,9,33%,7,78,63,2,3,,,,0%,115,155,74%
26,Connor Jacoby,A,4,1,1,2,6,17%,1,17,1,,4,,,,0%,,,0%
15,Trey Gehen,A,2,1,,1,2,50%,2,100,1,,1,,,,0%,,,0%
22,Jarrod Davis,M,7,,1,1,,0%,,0,7,1,3,,,,0%,,,0%
24,Owen Boss,A,3,,1,1,5,0%,1,20,2,2,1,,,,0%,,,0%
36,Andrew Garfield,M,3,1,,1,1,100%,1,100,,,,,,,0%,,,0%
43,Matt Di Lella,D,6,1,,1,1,100%,1,100,15,3,8,,,,0%,,,0%
44,CJ Gallagher,LSM,7,,1,1,1,0%,,0,21,8,3,,,,0%,,,0%
1,Ryan Schwender,M,5,,,,,0%,,0,4,1,,,,,0%,,,0%
4,Nicholas Brode,A,4,,,,1,0%,,0,,1,1,,,,0%,,,0%
8,Michael Buschbacher,D,3,,,,1,0%,1,100,,,,,,,0%,,,0%
13,Nick DiMuccio,G,7,,,,,0%,,0,16,,4,92,68,160,58%,,,0%
14,Danny Angell,A,1,,,,2,0%,2,100,,,,,,,0%,,,0%
17,Kyle Connor,D,2,,,,,0%,,0,,,,,,,0%,,,0%
19,Will Depalma,D,7,,,,,0%,,0,7,3,3,,,,0%,,,0%
21,Griffin Fitzmaurice,G,1,,,,,0%,,0,2,,,4,2,6,67%,,,0%
29,Nick Mascetti,M,7,,,,1,0%,1,100,1,5,2,,,,0%,,,0%
33,Trevor Douglas,M,1,,,,,0%,,0,,,,,,,0%,,,0%
35,Ryan Kaye,M,2,,,,,0%,,0,,,,,,,0%,,4,0%
37,Devin Naidoo,D,7,,,,,0%,,0,7,4,2,,,,0%,,,0%
42,Marcus Johnstone,D,3,,,,,0%,,0,1,1,1,,,,0%,,,0%
50,Zack Siegel,D,7,,,,,0%,,0,5,4,,,,,0%,,,0%
