#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
9,Ryan Lanchbury,A,13,28,39,67,86,33%,56,65,16,1,29,0,0,0,0%,0,0,0%
21,Dalton Young,A,13,35,9,44,75,47%,56,75,10,4,27,0,0,0,0%,0,0,0%
23,Richie Connell,A,13,35,7,42,86,41%,61,71,16,6,22,0,0,0,0%,0,0,0%
18,Tyler Shoults,M,12,11,18,29,35,31%,20,57,6,1,10,0,0,0,0%,0,0,0%
14,Luke Grayum,A,11,8,7,15,20,40%,13,65,1,0,5,0,0,0,0%,0,0,0%
15,Mitch Savoca,M,13,9,5,14,48,19%,27,56,9,4,12,0,0,0,0%,0,0,0%
4,Ryan Dunn,A,10,5,5,10,20,25%,10,50,3,0,5,0,0,0,0%,0,0,0%
17,Lance Madonna,A,10,8,2,10,33,24%,15,45,1,1,5,,,,0%,,,0%
43,Brett Randall,A,12,5,3,8,29,17%,16,55,2,0,10,0,0,0,0%,0,0,0%
13,Kevin Todd,A,6,3,2,5,7,43%,5,71,,,1,,,,0%,,,0%
19,Jack Delligatti,A,7,4,,4,11,36%,9,82,1,,3,,,,0%,,,0%
40,Sean Menges,LSM,13,0,4,4,3,0%,2,67,39,26,5,0,0,0,0%,0,0,0%
1,Austin Reid,A,9,2,0,2,5,40%,4,80,1,0,2,0,0,0,0%,0,0,0%
2,Brett Reid,M,12,1,1,2,3,33%,2,67,14,4,5,0,0,0,0%,0,0,0%
6,Jason Reynolds,D,13,0,2,2,4,0%,1,25,23,17,3,0,0,0,0%,0,0,0%
7,Andrew Hamilton,FO,12,0,2,2,6,0%,3,50,48,1,5,0,0,0,0%,89,182,49%
16,Tate Gallagher,M,13,2,0,2,13,15%,6,46,8,5,4,0,0,0,0%,0,0,0%
41,Jake Kapp,LSM,13,1,1,2,4,25%,2,50,21,7,4,0,0,0,0%,0,0,0%
42,Jeff Nugent,M,9,2,,2,7,29%,3,43,1,,2,,,,0%,,,0%
8,Mustang Sally,M,13,1,0,1,5,20%,2,40,13,4,5,0,0,0,0%,0,0,0%
27,Andrew Cook,M,7,1,0,1,8,13%,4,50,0,0,1,0,0,0,0%,0,0,0%
50,Tim Adams,M,13,0,1,1,2,0%,1,50,3,4,4,0,0,0,0%,0,0,0%
91,Matt Civitella,M,10,1,0,1,3,33%,2,67,9,6,1,0,0,0,0%,0,0,0%
3,Ryan Murray,FO,6,0,0,0,0,0%,0,0,6,0,2,0,0,0,0%,8,15,53%
10,Ray Baran,D,13,0,0,0,0,0%,0,0,26,12,5,0,0,0,0%,0,0,0%
20,Mitch Pfeiffer,M,3,0,0,0,2,0%,1,50,0,0,1,0,0,0,0%,0,0,0%
33,Jack Rusbuldt,G,13,0,0,0,2,0%,0,0,24,2,1,138,121,259,53%,0,0,0%
35,Dalton Pascale,M,4,0,0,0,0,0%,0,0,1,0,1,0,0,0,0%,0,0,0%
36,Joe Gooley,M,3,0,0,0,1,0%,0,0,1,1,1,0,0,0,0%,0,0,0%
44,Jack Fabean,D,12,0,0,0,1,0%,0,0,12,7,3,0,0,0,0%,0,0,0%
45,Jake Saunders,D,11,0,0,0,1,0%,1,100,18,17,2,0,0,0,0%,0,0,0%
46,Jacob Griffin,FO,11,0,0,0,0,0%,0,0,47,1,5,0,0,0,0%,78,132,59%
5,Andrew Caples,D,4,,,,,0%,,0,2,1,1,,,,0%,,,0%
12,William Rice,M,1,,,,,0%,,0,,,,,,,0%,,,0%
22,John Armistead,M,4,,,,,0%,,0,1,,1,,,,0%,,,0%
24,Patrick Collins,D,3,,,,,0%,,0,1,,1,,,,0%,,,0%
26,Jack Lee,M,1,,,,,0%,,0,1,,1,,,,0%,,,0%
28,George Uppgren,G,1,,,,,0%,,0,,,,1,1,2,50%,,,0%
30,Braden McClure,D,1,,,,,0%,,0,,,1,,,,0%,,,0%
31,Stephen Edler,D,2,,,,,0%,,0,1,,,,,,0%,,,0%
32,Devin Craven,G,4,,,,,0%,,0,1,,,9,3,12,75%,,,0%
34,Ben Lee,D,1,,,,,0%,,0,,1,,,,,0%,,,0%
37,Will Tazewell,M,2,,,,,0%,,0,,,1,,,,0%,2,3,67%
