#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
1,Ryan Smith,A,13,48,23,71,116,41%,84,72,25,14,20,0,0,0,0%,0,0,0%
51,Jimmy Perkins,A,13,28,16,44,92,30%,61,66,35,9,24,0,0,0,0%,0,0,0%
22,Jake Boudreau,M,13,14,14,28,43,33%,32,74,58,11,26,0,0,0,0%,3,13,23%
23,Corson Kealey,A,10,21,5,26,57,37%,40,70,11,4,9,0,0,0,0%,0,0,0%
13,Austin Popovich,M,10,13,11,24,53,25%,27,51,10,1,14,0,0,0,0%,0,0,0%
26,Brandon Sulhoff,A,13,15,3,18,43,35%,29,67,19,1,20,0,0,0,0%,0,0,0%
31,Elliot Holden,A,13,8,7,15,22,36%,14,64,23,2,15,0,0,0,0%,0,0,0%
29,Dan Taddeo,A,13,2,9,11,18,11%,10,56,5,0,1,0,0,0,0%,0,0,0%
33,Will Johansen,M,13,5,3,8,19,26%,13,68,25,7,8,0,0,0,0%,0,0,0%
41,Taggart Clark,A,11,4,2,6,10,40%,5,50,4,0,0,0,0,0,0%,0,0,0%
9,Ben Starkey,M,13,5,0,5,23,22%,9,39,4,0,4,0,0,0,0%,0,0,0%
11,Alex Funk,M,11,2,3,5,11,18%,6,55,1,0,1,0,0,0,0%,0,0,0%
7,Blake Lori,M,12,2,2,4,7,29%,2,29,11,5,6,0,0,0,0%,0,0,0%
8,Johnny Chaisson,LSM,13,2,1,3,3,67%,2,67,26,8,5,0,0,0,0%,4,20,20%
18,Colton Lidstone,M,12,2,1,3,4,50%,3,75,7,1,3,0,0,0,0%,0,0,0%
39,James Leary,LSM,12,1,2,3,6,17%,1,17,42,14,5,0,0,0,0%,2,7,29%
3,Torin Neal,A,6,2,0,2,5,40%,4,80,0,0,2,0,0,0,0%,0,0,0%
24,Steven DelleMonache,FO,13,0,2,2,2,0%,1,50,17,0,6,0,0,0,0%,83,200,42%
4,Michael Autry,FO,11,1,0,1,3,33%,2,67,23,1,1,0,0,0,0%,68,150,45%
10,Will Sturgis,D,5,0,1,1,1,0%,0,0,1,0,0,0,0,0,0%,0,0,0%
34,Liam Keane,A,4,1,0,1,2,50%,1,50,0,0,2,0,0,0,0%,0,0,0%
2,Liam Rosenthal,G,10,0,0,0,0,0%,0,0,10,0,1,106,104,210,50%,0,0,0%
16,Grant Koopman,G,2,0,0,0,0,0%,0,0,0,1,0,5,5,10,50%,0,0,0%
17,Shaun Vines,LSM,12,0,0,0,0,0%,0,0,16,11,6,0,0,0,0%,0,4,0%
19,Trevor Barrett,A,1,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,0,0,0%
20,James Christoforatos,D,8,0,0,0,1,0%,1,100,3,3,1,0,0,0,0%,0,0,0%
21,Matt McShea,M,4,0,0,0,1,0%,1,100,0,0,0,0,0,0,0%,0,0,0%
25,Owen Down,D,13,0,0,0,0,0%,0,0,22,14,7,0,0,0,0%,0,0,0%
27,Kyle Vince,M,5,0,0,0,1,0%,0,0,0,0,0,0,0,0,0%,2,6,33%
28,Alex Cash,D,3,,0,0,,0%,,0,1,,,,,,0%,,,0%
32,Josh Schreibeis,D,12,0,0,0,1,0%,1,100,8,8,1,0,0,0,0%,0,0,0%
48,Evan Hellmich,D,12,0,0,0,0,0%,0,0,18,10,3,0,0,0,0%,0,0,0%
50,Ben Savick,G,5,0,0,0,0,0%,0,0,5,2,2,60,77,137,44%,0,0,0%
5,Eli Doyle,A,5,,,,,0%,,0,2,1,,,,,0%,,,0%
12,Bryce Henise,M,1,,,,,0%,,0,1,,,,,,0%,,,0%
35,Eric Swagerty,A,2,,,,,0%,,0,,,,,,,0%,,,0%
36,Connor Boss,M,3,,,,1,0%,,0,1,,,,,,0%,,,0%
38,James Scane,M,1,,,,,0%,,0,,1,,,,,0%,,,0%
40,Reed Greco,D,3,,,,,0%,,0,1,,,,,,0%,,,0%
45,Ben MacDonnell,D,1,,,,,0%,,0,1,,1,,,,0%,,,0%
