#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
8,Adam Charalambides,A,12,40,17,57,108,37%,62,57,12,3,12,0,0,0,0%,0,0,0%
1,Connor Kirst,M,12,35,15,50,124,28%,68,55,27,9,11,0,0,0,0%,0,0,0%
4,Kieran Mullins,A,12,28,22,50,59,47%,42,71,16,1,17,0,0,0,0%,0,0,0%
0,David Sprock,M,12,15,10,25,61,25%,32,52,5,2,3,0,0,0,0%,0,0,0%
27,Shane Knobloch,M,12,15,5,20,45,33%,22,49,10,1,12,0,0,0,0%,0,0,0%
34,Ryan Gallagher,A,12,7,4,11,22,32%,14,64,9,1,11,0,0,0,0%,0,0,0%
5,Ross Scott,A,12,7,4,11,24,29%,13,54,4,0,3,0,0,0,0%,0,0,0%
91,Jonathan Dugenio,FO,12,3,7,10,7,43%,3,43,40,7,4,0,0,0,0%,91,241,38%
44,Brennan Kamish,M,12,6,3,9,15,40%,10,67,16,5,2,0,0,0,0%,0,0,0%
6,Tommy Coyne,M,12,2,5,7,6,33%,4,67,13,0,4,0,0,0,0%,0,0,0%
14,Michael Sanguinetti,M,12,4,1,5,17,24%,10,59,1,0,4,0,0,0,0%,0,0,0%
22,Eric Civetti,A,11,4,0,4,7,57%,6,86,2,0,2,0,0,0,0%,0,0,0%
2,Cole Daninger,M,12,2,2,4,10,20%,6,60,9,5,6,0,0,0,0%,0,0,0%
26,Zackary Franckowiak,M,12,1,1,2,2,50%,2,100,19,2,3,0,0,0,0%,0,0,0%
3,Zach Masessa,D,12,1,1,2,5,20%,2,40,19,9,2,0,0,0,0%,0,2,0%
29,Ethan Rall,LSM,12,1,1,2,3,33%,1,33,24,14,1,0,0,0,0%,1,6,17%
88,Bobby Russo,M,12,1,1,2,2,50%,1,50,26,10,3,0,0,0,0%,0,0,0%
18,Erik Henig,A,3,1,,1,1,100%,1,100,1,,,,,,0%,,,0%
15,Andrew Kim,M,9,1,0,1,5,20%,3,60,1,0,1,0,0,0,0%,0,0,0%
16,Justin Kim,M,5,,1,1,8,0%,2,25,,,1,,,,0%,,,0%
31,James Ringer,M,3,1,0,1,1,100%,1,100,0,0,1,0,0,0,0%,0,0,0%
19,Garrett Bullett,D,12,0,0,0,0,0%,0,0,16,7,2,0,0,0,0%,0,0,0%
81,Jaryd Jean-Felix,D,12,0,0,0,0,0%,0,0,20,11,7,0,0,0,0%,0,0,0%
23,Colin Kirst,G,12,0,0,0,0,0%,0,0,37,6,8,163,125,288,57%,0,0,0%
32,Jordan Pakzad,LSM,12,0,0,0,0,0%,0,0,1,0,0,0,0,0,0%,0,0,0%
33,Jack Aimone,A,2,,,,1,0%,,0,,,1,,,,0%,,,0%
46,Connor Baratta,FO,1,,,,,0%,,0,,,,,,,0%,1,3,33%
24,Dominic Carter,A,5,,,,1,0%,,0,2,0,,,,,0%,,,0%
25,Ben Francis,D,2,,,,,0%,,0,,,1,,,,0%,,,0%
77,Dante Fuller,D,2,,,,,0%,,0,,,,,,,0%,,,0%
45,Billy Kelly,G,1,,,,,0%,,0,,,,,,,0%,,,0%
9,Michael Ott,FO,7,,,,2,0%,1,50,10,,1,,,,0%,15,34,44%
41,Mason Rickens,LSM,3,,,,,0%,,0,,,,,,,0%,,,0%
20,Brian Russo,M,4,,,,,0%,,0,,,1,,,,0%,,,0%
36,Stephen Russo,G,4,,,,,0%,,0,1,1,,3,8,11,27%,,,0%
13,Jack Stahanczyk,D,5,,,,,0%,,0,1,,1,,,,0%,,,0%
38,Jonathan Taub,D,3,,,,,0%,,0,1,,1,,,,0%,,,0%
12,Nick Teresky,A,5,,,,2,0%,2,100,,,1,,,,0%,,,0%
11,David Walker,FO,3,,,,,0%,,0,,,,,,,0%,1,5,20%
17,Moriah Yousefi,FO,8,,,,,0%,,0,13,,1,,,,0%,24,60,40%
