#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
1,Logan Liljeberg,A,13,24,27,51,90,27%,57,63,28,5,22,0,0,0,0%,0,0,0%
12,Drew Edwards,A,13,27,4,31,113,24%,61,54,17,1,14,0,0,0,0%,0,0,0%
46,Sal Miccio,A,11,20,3,23,49,41%,31,63,10,,11,,,,0%,,,0%
45,Jaden Walcot,A,11,7,5,12,39,18%,20,51,7,0,3,0,0,0,0%,0,0,0%
4,Trevor Johnson,A,11,10,1,11,30,33%,20,67,8,1,12,0,0,0,0%,0,0,0%
9,Morgan O'Reilly,A,11,6,4,10,24,25%,18,75,6,,7,,,,0%,,,0%
19,Max Lionetti,M,13,8,1,9,38,21%,19,50,1,1,7,0,0,0,0%,0,0,0%
18,Donovan Lacey,M,13,4,3,7,22,18%,14,64,42,14,5,0,0,0,0%,0,0,0%
42,Johnny Morgan,A,5,3,4,7,15,20%,8,53,2,0,1,0,0,0,0%,0,0,0%
25,Carson Spooner,A,8,2,3,5,15,13%,11,73,4,1,8,0,0,0,0%,0,0,0%
10,Alex Weiss,A,13,3,1,4,36,8%,17,47,9,5,17,0,0,0,0%,0,0,0%
24,Conor Sullivan,D,13,3,1,4,11,27%,7,64,26,11,6,0,0,0,0%,0,0,0%
35,Jake Garb,A,8,2,2,4,11,18%,7,64,5,0,8,0,0,0,0%,0,0,0%
20,Ben Palanchi,D,9,3,0,3,12,25%,7,58,24,5,5,0,0,0,0%,8,29,28%
32,Aidan Burke,A,4,3,,3,14,21%,10,71,2,,7,,,,0%,,,0%
43,Jack Walsh,A,7,0,3,3,7,0%,4,57,5,0,4,0,0,0,0%,0,0,0%
11,Drew Pritts,M,8,,2,2,2,0%,,0,4,,3,,,,0%,,,0%
2,Kyle Foley,LSM,9,0,2,2,4,0%,0,0,13,2,3,0,0,0,0%,0,1,0%
21,Peter Callahan,G,7,1,0,1,1,100%,1,100,11,3,3,49,62,123,40%,0,0,0%
6,Cole Clinton,FO,7,0,0,0,0,0%,0,0,3,0,1,0,0,0,0%,8,31,26%
7,Colton King,G,8,0,0,0,0,0%,0,0,14,1,4,119,98,217,55%,0,1,0%
13,Nick Shablom,M,1,0,0,0,1,0%,1,100,0,0,0,0,0,0,0%,0,0,0%
14,Alex Rice,M,4,0,0,0,0,0%,0,0,0,0,1,0,0,0,0%,0,0,0%
15,Thomas Houlihan,D,13,0,0,0,0,0%,0,0,17,6,3,0,0,0,0%,0,0,0%
16,Joe Rice,D,5,0,0,0,3,0%,1,33,2,1,0,0,0,0,0%,0,0,0%
23,Ridjkaard Victor,D,13,0,0,0,0,0%,0,0,10,9,5,0,0,0,0%,0,0,0%
27,Tristan Dowd,FO,11,0,0,0,2,0%,0,0,47,2,4,0,0,0,0%,76,176,43%
29,Chris Thomas,FO,4,0,0,0,0,0%,0,0,2,0,1,0,0,0,0%,4,19,21%
31,Zach Frank,M,2,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
33,Mike Leva,M,4,0,0,0,0,0%,0,0,3,0,2,0,0,0,0%,0,0,0%
39,Brandon Sweeney,D,5,0,0,0,0,0%,0,0,2,0,1,0,0,0,0%,0,0,0%
40,Nicky LaBanca,G,4,0,0,0,0,0%,0,0,2,0,0,15,20,35,43%,0,0,0%
41,Ryan Stout,A,4,0,0,0,0,0%,0,0,1,1,0,0,0,0,0%,0,0,0%
44,Nick Handy,M,6,0,0,0,0,0%,0,0,3,1,1,0,0,0,0%,0,0,0%
51,Cooper Wisneski,D,5,0,0,0,0,0%,0,0,1,1,0,0,0,0,0%,0,0,0%
3,Jerry Brown,M,7,0,0,0,5,0%,1,20,0,1,2,0,0,0,0%,0,0,0%
5,David Bartkus,M,3,,,,2,0%,,0,1,,,,,,0%,,,0%
8,Brett Meskill,D,1,,,,,0%,,0,,,,,,,0%,,,0%
17,Brayden Edwards,A,1,,,,,0%,,0,,,,,,,0%,,,0%
26,Matt Block,D,7,,,,2,0%,1,50,6,4,4,,,,0%,1,1,100%
28,David Creo,M,1,,,,,0%,,0,,,,,,,0%,,,0%
36,Daniel Rodriguez,FO,1,,,,,0%,,0,1,,,,,,0%,,,0%
37,Connor Callihan,FO,4,,,,2,0%,1,50,9,,,,,,0%,42,92,46%
48,Jake Candelino,D,4,,,,,0%,,0,1,,1,,,,0%,,,0%
50,Owen Geis,D,1,,,,1,0%,1,100,,,,,,,0%,,,0%
