#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
1,Matt Tufano,A,13,17,22,39,53,32%,35,66,13,2,16,0,0,0,0%,0,0,0%
2,Ryan Doran,A,13,23,15,38,69,33%,45,65,32,6,12,0,0,0,0%,1,1,100%
4,Matt Bohmer,A,13,31,6,37,121,26%,79,65,18,1,21,0,0,0,0%,0,0,0%
8,Levi Anderson,A,13,20,7,27,82,24%,42,51,25,0,20,0,0,0,0%,0,0,0%
35,Evan Campbell,M,12,9,17,26,28,32%,17,61,13,4,14,,,,0%,,,0%
63,Tucker Brown,M,13,14,2,16,57,25%,33,58,6,1,5,0,0,0,0%,0,0,0%
41,Shane Fable,M,11,9,6,15,38,24%,20,53,3,1,7,0,0,0,0%,0,0,0%
40,Adam Ritter,M,13,2,7,9,5,40%,2,40,25,6,11,0,0,0,0%,0,0,0%
13,Austin Strazzulla,M,13,5,2,7,32,16%,19,59,10,0,16,0,0,0,0%,0,0,0%
3,Mac McLaughlin,A,11,5,1,6,15,33%,9,60,3,1,2,0,0,0,0%,0,0,0%
18,Matt Popeck,M,13,4,2,6,7,57%,6,86,12,8,3,0,0,0,0%,0,0,0%
7,Zach Cole,FO,13,3,2,5,26,12%,15,58,142,2,14,0,0,0,0%,220,322,68%
14,Teo Domic,M,11,2,3,5,6,33%,2,33,3,1,6,0,0,0,0%,0,0,0%
16,Cole Peters,M,13,3,2,5,11,27%,5,45,18,9,5,0,0,0,0%,0,0,0%
62,Carter Page,A,4,4,1,5,5,80%,4,80,1,1,1,,,,0%,,,0%
21,Liam Hare,LSM,11,2,1,3,10,20%,7,70,21,8,4,,,,0%,,,0%
37,Sean Voelkel,LSM,13,3,0,3,6,50%,4,67,17,8,4,0,0,0,0%,1,1,100%
24,Nate Patterson,M,5,,2,2,2,0%,1,50,,,2,,,,0%,,,0%
45,Patrick Clemens,D,13,0,2,2,2,0%,2,100,36,17,9,0,0,0,0%,0,0,0%
51,Alex Keener,D,6,2,,2,3,67%,2,67,5,4,2,,,,0%,,,0%
6,Jack Zullo,G,8,0,1,1,0,0%,0,0,4,0,2,32,35,67,48%,0,0,0%
9,Sal Pascarella,LSM,2,1,,1,1,100%,1,100,,,,,,,0%,,,0%
27,Travis Alderton,LSM,3,,1,1,1,0%,1,100,2,,,,,,0%,,4,0%
28,Wil Vandegrift,M,1,,1,1,,0%,,0,,,,,,,0%,,,0%
29,Timmy Phillips,D,2,1,,1,1,100%,1,100,1,,,,,,0%,,,0%
34,Jack Anderson,M,1,,1,1,,0%,,0,,,,,,,0%,,,0%
36,Ryan Kemp,A,4,1,,1,2,50%,2,100,,,,,,,0%,,,0%
20,William King,A,4,0,0,0,4,0%,2,50,0,1,0,0,0,0,0%,0,0,0%
22,Henry Berg,M,3,0,0,0,2,0%,2,100,0,0,0,0,0,0,0%,0,0,0%
31,Patrick Bronander,M,5,0,0,0,0,0%,0,0,1,1,0,0,0,0,0%,0,0,0%
44,Josh Bosher,D,10,0,0,0,1,0%,1,100,12,7,2,0,0,0,0%,0,0,0%
50,Andrew Chilson,M,9,0,0,0,3,0%,2,67,1,2,1,0,0,0,0%,0,0,0%
0,Jackson Crutchfield,D,1,,,,,0%,,0,1,,,,,,0%,,,0%
5,Choice Mostellar,M,1,,,,,0%,,0,,,,,,,0%,,,0%
10,Payton Lester,M,2,,,,,0%,,0,,1,,,,,0%,,,0%
11,Ryan Overbay,M,2,,,,,0%,,0,,,2,,,,0%,,,0%
12,Jake Engelke,A,2,,,,2,0%,2,100,,,,,,,0%,,,0%
15,Gavin Harmon,A,1,,,,,0%,,0,,1,,,,,0%,,,0%
17,Anthony Perhacs,M,1,,,,,0%,,0,,,,,,,0%,,,0%
23,Billy Jardeleza,FO,5,,,,,0%,,0,1,,,,,,0%,3,13,23%
26,Brett Zabransky,M,1,,,,,0%,,0,,,,,,,0%,,,0%
30,Justin Douenias,M,3,,,,1,0%,1,100,,,,,,,0%,,,0%
32,Tyler Makar,D,9,,,,,0%,,0,10,10,1,,,,0%,,,0%
33,Thomas Halm,A,1,,,,,0%,,0,1,,1,,,,0%,,,0%
38,Kevin Vandegrift,A,3,,,,,0%,,0,,,,,,,0%,,,0%
39,Robbie Seeley,G,2,,,,,0%,,0,,2,,,1,1,0%,,,0%
42,Shawn Wolf,M,8,,,,3,0%,3,100,2,,,,,,0%,,,0%
47,James Peters,LSM,4,,,,,0%,,0,2,,1,,,,0%,,,0%
48,Nick Floyd,G,1,,,,,0%,,0,,,1,,,,0%,,,0%
52,Colin Reich,M,3,,,,1,0%,,0,,,1,,,,0%,,,0%
55,Tucker Almany,G,12,,,,,0%,,0,22,7,8,94,99,193,49%,,,0%
57,Logan Blondell,D,8,,,,1,0%,,0,10,9,,,,,0%,,,0%
