#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
24,Jack Kiernan,A,8,23,11,34,76,30%,47,62,20,4,18,,,,0%,,,0%
26,Dylan Pantalone,M,8,8,8,16,37,22%,17,46,8,2,19,,,,0%,,,0%
1,Brendan Lantieri,A,8,8,3,11,29,28%,22,76,3,1,6,,,,0%,,,0%
33,George Rusnak,A,8,6,4,10,40,15%,19,48,7,3,14,,,,0%,,,0%
22,Colin Gleason,A,8,3,6,9,31,10%,12,39,6,2,10,,,,0%,,,0%
44,Christian Watts,M,8,7,,7,21,33%,15,71,1,,5,,,,0%,,,0%
16,Seth Van Schepen,M,8,3,2,5,14,21%,8,57,11,2,10,,,,0%,,,0%
7,Nick Casner,A,8,1,2,3,15,7%,6,40,4,,2,,,,0%,,,0%
9,Tyler Menniti,M,8,2,1,3,8,25%,6,75,9,4,2,,,,0%,,,0%
12,Maurice Tessier,M,5,2,,2,8,25%,5,63,1,,,,,,0%,,,0%
19,Brett Habich,M,8,1,1,2,9,11%,7,78,9,,4,,,,0%,1,3,33%
4,Jake Marcus,LSM,8,,1,1,2,0%,1,50,17,9,1,,,,0%,,11,0%
17,Cole Allen,M,6,1,,1,8,13%,3,38,1,,2,,,,0%,,,0%
34,Jack Cheney,A,3,1,,1,2,50%,1,50,,,,,,,0%,,,0%
2,Nick Pepe,M,2,,,,3,0%,2,67,3,1,1,,,,0%,,,0%
5,Jack Erb,M,5,,,,,0%,,0,1,,1,,,,0%,,,0%
6,Brandon Meir,FO,7,,,,,0%,,0,22,,2,,,,0%,61,156,39%
11,Izu Onyekachi,D,3,,,,,0%,,0,,,,,,,0%,,,0%
13,Trevor Marsala,D,8,,,,,0%,,0,15,15,5,,,,0%,,,0%
14,Christopher Yanchoris,G,8,,,,,0%,,0,24,4,10,119,81,200,60%,,,0%
18,Harrison Breyo,D,3,,,,,0%,,0,1,1,,,,,0%,,,0%
20,Dan Maloney,D,8,,,,,0%,,0,7,5,,,,,0%,,,0%
25,Hunter Pemrick,M,1,,,,,0%,,0,,,,,,,0%,,,0%
27,Colton Hart,D,8,,,,,0%,,0,24,10,3,,,,0%,,3,0%
28,Ryan Sisti,A,1,,,,,0%,,0,,,1,,,,0%,,,0%
29,Luke Julien,A,3,,,,2,0%,,0,1,,,,,,0%,,,0%
32,Stephen Rinck,M,8,,,,2,0%,2,100,7,1,3,,,,0%,,,0%
40,Braedon LaBar,D,8,,,,,0%,,0,18,7,9,,,,0%,,,0%
41,Jack Cavaioli,M,6,,,,3,0%,,0,4,1,1,,,,0%,,,0%
45,Sam DiChristina,D,3,,,,,0%,,0,2,,,,,,0%,,1,0%
48,Brian Mack,D,5,,,,,0%,,0,,,,,,,0%,,,0%
