#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
21,Jake Rosa,A,10,17,22,39,44,39%,27,61,8,2,18,,,,0%,,,0%
51,Sean Westley,A,10,23,8,31,60,38%,45,75,18,,15,,,,0%,,,0%
9,Austin Blumbergs,A,10,15,3,18,48,31%,27,56,12,1,6,,,,0%,,,0%
72,Mark Belles,A,10,9,7,16,31,29%,18,58,17,3,16,,,,0%,,,0%
40,Brett Beetow,M,10,7,6,13,45,16%,26,58,3,1,8,,,,0%,,,0%
28,Zach Owens,M,10,8,3,11,33,24%,19,58,2,,9,,,,0%,,,0%
24,Jackson Rose,A,8,4,,4,8,50%,7,88,,,,,,,0%,,,0%
37,Jake Emmick,M,7,1,3,4,12,8%,6,50,2,,1,,,,0%,,,0%
47,Nick Slattery,M,8,3,1,4,8,38%,5,63,1,,3,,,,0%,,,0%
19,Brady Wijbrandts,M,10,,2,2,2,0%,1,50,18,13,6,,,,0%,,,0%
43,Zack Belter,D,10,2,,2,5,40%,3,60,23,14,6,,,,0%,,,0%
13,Daire Newbrough,M,6,,1,1,,0%,,0,9,3,3,,,,0%,,,0%
17,Matthew DeGirolamo,M,6,1,,1,9,11%,7,78,1,,2,,,,0%,,,0%
30,Cam Germain,D,9,,1,1,,0%,,0,5,3,2,,,,0%,,,0%
31,Cian Collins,M,4,1,,1,2,50%,1,50,2,,4,,,,0%,,,0%
66,Matthew Cromie,A,3,1,,1,4,25%,2,50,1,,1,,,,0%,,,0%
91,Ben Garcia,M,8,1,,1,1,100%,1,100,10,1,1,,,,0%,,,0%
0,Austin Holley,M,10,,,,3,0%,1,33,30,1,5,,,,0%,79,208,38%
2,John Fox,M,10,,,,3,0%,2,67,10,1,6,,,,0%,,,0%
5,Andrew Hersey,D,4,,,,,0%,,0,2,1,,,,,0%,,,0%
6,Nick Porfilio,D,10,,,,,0%,,0,8,9,2,,,,0%,,,0%
7,Ben Mazur,G,2,,,,,0%,,0,1,,,,,,0%,,,0%
8,Adam Shank,D,9,,,,,0%,,0,3,2,2,,,,0%,,,0%
12,David Steria,D,9,,,,,0%,,0,10,7,1,,,,0%,,,0%
16,Max Carbaugh,M,1,,,,,0%,,0,,,,,,,0%,,,0%
18,Brodie Anderson,D,2,,,,,0%,,0,,,,,,,0%,,,0%
22,CJ DiRienzo,M,3,,,,1,0%,1,100,2,1,,,,,0%,,,0%
23,Connor Steria,M,8,,,,,0%,,0,2,,4,,,,0%,,,0%
26,Tage Hoeg,M,1,,,,,0%,,0,,,,,,,0%,,,0%
36,Nick Conklin,D,10,,,,,0%,,0,14,5,3,,,,0%,,,0%
42,Ryan Burns,D,9,,,,,0%,,0,3,2,,,,,0%,,,0%
45,Brett Dobson,G,10,,,,,0%,,0,28,5,6,136,91,227,60%,,,0%
73,Jack Almond,M,5,,,,,0%,,0,,,,,,,0%,1,10,10%
