#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
44,Jonathan Huber,A,11,23,7,30,57,40%,34,60,11,4,11,0,0,0,0%,0,0,0%
33,Joe Madsen,A,11,19,8,27,66,29%,44,67,23,2,18,0,0,0,0%,0,0,0%
11,Mike Madsen,M,11,17,9,26,74,23%,36,49,23,2,19,0,0,0,0%,0,0,0%
50,Ryan Schaeffer,M,11,13,6,19,51,25%,27,53,6,0,16,0,0,0,0%,0,0,0%
7,Connor Kalmus,M,11,6,4,10,12,50%,8,67,11,1,9,0,0,0,0%,0,0,0%
41,Thomas Martello,M,11,3,7,10,22,14%,16,73,2,0,11,0,0,0,0%,0,0,0%
34,Mackenzie Iacocca,M,11,6,3,9,16,38%,10,63,6,2,9,0,0,0,0%,0,0,0%
9,Patrick Ednie,M,11,1,7,8,12,8%,8,67,8,1,6,0,0,0,0%,0,0,0%
12,Dylan Willis,M,5,5,3,8,25,20%,18,72,11,3,7,0,0,0,0%,0,0,0%
5,Jack Lutfi,A,9,2,2,4,11,18%,4,36,4,1,2,,,,0%,,,0%
6,Christian Rega,A,6,1,1,2,4,25%,4,100,1,,3,,,,0%,,,0%
20,Matt Duncan,M,9,1,1,2,5,20%,3,60,14,5,4,0,0,0,0%,0,0,0%
8,Gavin Catalano,G,7,,1,1,,0%,,0,13,0,6,66,76,142,46%,,,0%
14,J.T. Shoop,M,6,1,0,1,2,50%,2,100,0,1,2,0,0,0,0%,0,0,0%
18,Ricardo Carreras,M,1,1,0,1,1,100%,1,100,7,1,0,0,0,0,0%,11,28,39%
35,Ro Bryan,A,2,,1,1,,0%,,0,,,1,,,,0%,,,0%
2,Billy Mahecha,A,7,0,0,0,3,0%,0,0,0,0,3,0,0,0,0%,0,0,0%
15,Dante Colaiacovo,M,3,0,0,0,0,0%,0,0,1,1,1,0,0,0,0%,0,0,0%
16,Pat Smyth,D,11,0,0,0,0,0%,0,0,26,14,11,0,0,0,0%,0,0,0%
17,Graham Roediger,M,2,0,0,0,0,0%,0,0,0,0,1,0,0,0,0%,0,0,0%
21,John Leffler,M,4,0,0,0,1,0%,1,100,2,1,0,0,0,0,0%,0,0,0%
22,Joseph Fitzpatrick,FO,5,0,0,0,0,0%,0,0,2,1,1,0,0,0,0%,9,33,27%
23,Jackson Klein,LSM,10,0,0,0,0,0%,0,0,8,2,0,0,0,0,0%,2,20,10%
25,Trevor Batastini,M,7,0,0,0,0,0%,0,0,5,0,1,0,0,0,0%,7,29,24%
26,Kyle Wasilewski,M,9,0,0,0,1,0%,0,0,13,5,3,0,0,0,0%,0,0,0%
27,Francis Cannizzo,D,9,0,0,0,1,0%,1,100,7,4,5,0,0,0,0%,0,0,0%
30,Tim Kiel,D,11,0,0,0,0,0%,0,0,11,11,5,0,0,0,0%,6,41,15%
36,Caleb Zuhoski,A,4,0,0,0,2,0%,1,50,0,0,2,0,0,0,0%,0,0,0%
37,William Morris,M,2,0,0,0,0,0%,0,0,1,0,1,0,0,0,0%,0,0,0%
38,Benjamin Bishop,D,7,0,0,0,0,0%,0,0,5,7,3,0,0,0,0%,0,0,0%
39,Brody Agres,G,10,0,0,0,0,0%,0,0,10,1,4,92,99,191,48%,0,0,0%
40,Tom Urena III,D,10,0,0,0,1,0%,0,0,9,4,3,0,0,0,0%,0,0,0%
42,Jake Oemcke,M,10,0,0,0,5,0%,2,40,34,2,5,0,0,0,0%,64,178,36%
43,Cameron Bieler,G,1,0,0,0,0,0%,0,0,1,0,0,2,11,13,15%,0,0,0%
48,Michael Efron,D,6,0,0,0,0,0%,0,0,4,1,0,0,0,0,0%,0,2,0%
1,Michael Pisanelli,LSM,4,,,,,0%,,0,2,,,,,,0%,,,0%
3,Sam Uva,FO,1,,,,,0%,,0,,,,,,,0%,,,0%
13,Ryan Murphy,D,1,,,,,0%,,0,,,,,,,0%,0,0,0%
19,Nick Carlino,D,1,,,,,0%,,0,1,,,,,,0%,,,0%
28,Wyatt Johnson,M,2,,,,1,0%,1,100,,,1,,,,0%,,,0%
29,Vinh Dawkins,M,1,,,,1,0%,1,100,,,1,,,,0%,,,0%
32,Ronald Durante,G,4,,,,,0%,,0,,,,6,11,17,35%,,1,0%
