#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
29,Stephen Rehfuss,A,12,25,27,52,61,41%,35,57,25,3,11,0,0,0,0%,0,0,0%
77,Owen Hiltz,A,12,28,19,47,81,35%,55,68,17,6,12,0,0,0,0%,0,0,0%
22,Chase Scanlan,A,9,24,9,33,68,35%,52,76,17,4,13,0,0,0,0%,0,0,0%
23,Tucker Dordevic,M,12,23,8,31,78,29%,48,62,15,2,22,0,0,0,0%,0,0,0%
16,Brendan Curry,M,12,17,10,27,46,37%,31,67,13,1,9,0,0,0,0%,0,0,0%
14,Owen Seebold,A,12,16,8,24,49,33%,27,55,7,0,11,0,0,0,0%,0,0,0%
12,Jamie Trimboli,M,12,17,4,21,61,28%,39,64,9,4,9,0,0,0,0%,0,0,0%
26,Lucas Quinn,M,12,10,2,12,39,26%,22,56,8,0,6,0,0,0,0%,0,0,0%
9,Peter Dearth,M,12,4,2,6,7,57%,5,71,25,3,5,0,0,0,0%,0,0,0%
11,Brett Kennedy,D,12,1,4,5,5,20%,3,60,46,15,7,,,,0%,,,0%
2,Griffin Cook,A,12,1,2,3,15,7%,6,40,8,3,9,0,0,0,0%,0,0,0%
31,Jacob Buttermore,M,9,2,0,2,6,33%,5,83,5,1,2,0,0,0,0%,0,0,0%
20,Liam Ferris,A,6,1,,1,13,8%,7,54,,,1,,,,0%,,,0%
30,Landon Clary,LSM,3,0,0,0,0,0%,0,0,3,0,1,0,0,0,0%,0,0,0%
33,Drake Porter,G,12,0,0,0,0,0%,0,0,18,2,2,141,154,295,48%,0,0,0%
34,Jonathan Partamian,M,1,0,0,0,0,0%,0,0,0,1,0,0,0,0,0%,0,0,0%
35,Dami Oladunmoye,M,10,0,0,0,3,0%,0,0,6,4,3,0,0,0,0%,0,0,0%
37,Jakob Phaup,FO,12,0,0,0,2,0%,2,100,67,0,4,0,0,0,0%,142,248,57%
41,Brett Barlow,M,12,0,0,0,1,0%,1,100,9,6,1,0,0,0,0%,0,0,0%
42,Danny Varello,FO,10,0,0,0,0,0%,0,0,13,0,0,0,0,0,0%,37,86,43%
44,Nick DiPietro,D,8,0,0,0,0,0%,0,0,13,4,4,0,0,0,0%,0,0,0%
90,Grant Murphy,D,12,0,0,0,1,0%,1,100,16,16,2,0,0,0,0%,0,0,0%
1,Harrison Thompson,G,3,,,,,0%,,0,,,,4,5,9,44%,,,0%
3,Mikey Berkman,A,3,,,,3,0%,1,33,1,,1,,,,0%,,,0%
4,Michael Page,LSM,7,,,,,0%,,0,1,,,,,,0%,,,0%
5,Nate Garlow,FO,3,,,,,0%,,0,2,,,,,,0%,3,9,33%
8,Matt Magnan,M,4,,,,2,0%,1,50,1,,,,,,0%,,,0%
10,Max Rosa,M,5,,,,,0%,,0,1,,,,,,0%,,,0%
36,Shaffer Woody,M,3,,,,,0%,,0,1,1,1,,,,0%,,,0%
13,Pete Fiorini,M,2,,,,,0%,,0,1,,,,,,0%,,,0%
15,Cole Horan,D,8,,,,,0%,,0,5,2,3,,,,0%,,,0%
17,Mitch Wykoff,D,11,,,,,0%,,0,23,14,6,,,,0%,,,0%
18,Nick Hapney,D,6,,,,,0%,,0,3,,,,,,0%,,,0%
19,Jack Kennedy,D,2,,,,,0%,,0,,,,,,,0%,,,0%
24,Jack Savage,FO,3,,,,,0%,,0,1,,,,,,0%,8,24,33%
25,Spencer Small,M,4,,,,,0%,,0,2,0,2,,,,0%,,,0%
28,Sam Schluter,LSM,1,,,,,0%,,0,,,,,,,0%,,,0%
39,Nick Papa,M,1,,,,1,0%,1,100,,,1,,,,0%,,,0%
43,Brandon Aviles,M,8,,,,3,0%,1,33,12,4,1,,,,0%,,,0%
45,Jerry Staats,D,10,,,,,0%,,0,,,,,,,0%,,,0%
46,Shahé Katchadurian,G,2,,,,,0%,,0,,,,3,6,9,33%,,,0%
48,Saam Olexo,D,8,,,,,0%,,0,6,1,3,,,,0%,,,0%
81,Gavin Kline,FO,1,,,,,0%,,0,,,,,,,0%,1,2,50%
83,JT Stirpe,M,1,,,,1,0%,,0,,,,,,,0%,,,0%
89,Luke Talago,FO,1,,,,,0%,,0,,,,,,,0%,1,2,50%
