#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
53,James Avanzato,A,14,18,22,40,76,24%,36,47,24,3,39,0,0,0,0%,0,0,0%
7,Brody McLean,A,13,27,7,34,70,39%,45,64,20,0,20,0,0,0,0%,0,0,0%
52,Andrew Milani,A,14,23,2,25,57,40%,39,68,17,1,17,0,0,0,0%,0,0,0%
29,Ryan Swain,M,14,15,9,24,47,32%,25,53,8,3,10,0,0,0,0%,0,0,0%
0,Austin Stewart,A,14,9,8,17,35,26%,18,51,9,0,8,0,0,0,0%,0,0,0%
6,Jake McLean,M,14,8,3,11,31,26%,18,58,15,0,14,0,0,0,0%,0,0,0%
44,Tim Montgomery,A,14,8,3,11,31,26%,15,48,8,1,20,0,0,0,0%,0,0,0%
9,Casey Wasserman,M,9,3,5,8,12,25%,10,83,1,1,5,0,0,0,0%,0,0,0%
27,Carson Gaeger,M,14,5,2,7,29,17%,14,48,2,0,3,0,0,0,0%,0,0,0%
3,Alex Reid,M,7,3,3,6,15,20%,6,40,2,0,7,0,0,0,0%,0,0,0%
17,Andrew Beacham,M,12,2,1,3,20,10%,12,60,10,0,3,0,0,0,0%,0,0,0%
20,Jamison Gaskins,M,3,2,1,3,4,50%,3,75,0,0,2,0,0,0,0%,0,0,0%
22,Brandon Hund,M,14,1,2,3,2,50%,1,50,10,5,6,0,0,0,0%,0,0,0%
5,Riley Gaeger,M,8,1,1,2,10,10%,8,80,2,1,0,0,0,0,0%,0,0,0%
15,Greg Ey,M,9,2,0,2,25,8%,9,36,7,2,5,0,0,0,0%,0,0,0%
26,Koby Smith,D,14,1,1,2,12,8%,4,33,23,13,6,0,0,0,0%,0,0,0%
30,Reece Potter,M,12,2,0,2,2,100%,2,100,25,5,6,0,0,0,0%,0,0,0%
31,Pat Anderson,M,3,2,0,2,5,40%,2,40,0,0,1,0,0,0,0%,0,0,0%
37,Ethan Ticehurst,LSM,14,1,1,2,1,100%,1,100,18,10,2,0,0,0,0%,0,5,0%
47,Jonathan Bender,M,5,0,2,2,5,0%,2,40,0,0,2,0,0,0,0%,0,0,0%
13,Chop Gallagher,A,2,0,1,1,3,0%,1,33,1,2,4,0,0,0,0%,0,0,0%
33,Austin Ducommun,M,2,0,1,1,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
49,Drew Martin,M,10,0,1,1,1,0%,1,100,13,3,0,0,0,0,0%,24,67,36%
55,Dan DiPeso,D,3,0,0,0,0,0%,0,0,0,0,1,0,0,0,0%,0,0,0%
1,Shane Brennan,G,14,0,0,0,0,0%,0,0,34,2,8,159,153,312,51%,0,0,0%
2,Mo Sillah,D,13,0,0,0,0,0%,0,0,22,14,3,0,0,0,0%,0,0,0%
8,John Finfrock,M,13,0,0,0,1,0%,1,100,8,2,3,0,0,0,0%,0,0,0%
14,Jack Connelly,D,2,0,0,0,0,0%,0,0,0,0,0,0,0,0,0%,0,0,0%
18,Troy Tuveson,D,3,0,0,0,0,0%,0,0,0,0,1,0,0,0,0%,0,0,0%
23,Colby Barsz,D,14,0,0,0,0,0%,0,0,17,12,8,0,0,0,0%,0,0,0%
28,Andrew O'Dare,M,10,0,0,0,0,0%,0,0,8,3,4,0,0,0,0%,0,1,0%
35,Garrett Zungailia,D,14,0,0,0,1,0%,1,100,40,15,8,0,0,0,0%,1,1,100%
36,Shane Santora,FO,13,0,0,0,1,0%,0,0,22,1,0,0,0,0,0%,67,177,38%
38,Jake Stout,G,4,0,0,0,0,0%,0,0,0,1,0,0,1,1,0%,0,0,0%
40,Colin O'Connor,D,3,0,0,0,0,0%,0,0,2,1,0,0,0,0,0%,0,0,0%
41,Joey Chestnutt,M,7,0,0,0,0,0%,0,0,4,0,0,0,0,0,0%,26,69,38%
43,William Frith,FO,3,0,0,0,0,0%,0,0,0,1,1,0,0,0,0%,2,11,18%
45,Travis Maynard,M,7,0,0,0,0,0%,0,0,0,2,0,0,0,0,0%,0,0,0%
48,Reagan McNemar,D,11,0,0,0,0,0%,0,0,8,5,3,0,0,0,0%,0,0,0%
57,Brian Hoskins,A,1,,,,,0%,,0,,,,,,,0%,,,0%
4,Sean Mooney,A,3,,,,1,0%,,0,,,,,,,0%,,,0%
16,Felix Knorr,M,1,,,,,0%,,0,,,,,,,0%,,,0%
25,Jordan Hayes,M,2,,,,1,0%,,0,,,,,,,0%,,,0%
32,Luke Fromert,A,1,,,,,0%,,0,,1,,,,,0%,,,0%
