#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
17,Jakob Patterson,A,11,14,34,48,53,26%,34,64,28,5,15,,,,0%,,,0%
45,Graydon Hogg,A,11,29,9,38,64,45%,45,70,10,3,15,,,,0%,,,0%
11,Corey Yunker,A,12,22,9,31,49,45%,39,80,15,1,7,,,,0%,,,0%
2,Kyle Casey,M,12,14,15,29,49,29%,33,67,9,3,10,,,,0%,,,0%
1,Tehoka Nanticoke,A,4,15,8,23,41,37%,30,73,9,1,10,,,,0%,,,0%
33,Ron John,M,10,14,7,21,37,38%,19,51,18,6,16,,,,0%,,,0%
24,Alex Burgmaster,M,11,13,4,17,28,46%,16,57,8,7,7,,,,0%,,,0%
21,Camden Hay,A,9,4,11,15,13,31%,8,62,6,,10,,,,0%,,,0%
44,Logan Tucker,M,12,12,3,15,21,57%,18,86,8,,10,,,,0%,,,0%
16,Peter Salit,M,9,6,7,13,23,26%,12,52,4,,8,,,,0%,,,0%
9,Teioshontathe McComber,A,8,6,1,7,17,35%,12,71,7,1,7,,,,0%,,,0%
3,Keelan Seneca,A,8,4,2,6,8,50%,7,88,2,,4,,,,0%,,,0%
88,Jake Piseno,FO,11,3,2,5,5,60%,5,100,45,15,6,,,,0%,12,30,40%
0,Joey Pezzimenti,A,6,1,2,3,8,13%,2,25,1,1,,,,,0%,,,0%
25,Chris Ryan,M,9,3,,3,13,23%,7,54,6,1,3,,,,0%,,,0%
28,Tyler Shook,M,4,3,,3,3,100%,3,100,1,1,3,,,,0%,,,0%
41,Steve Ramirez,M,3,1,2,3,3,33%,1,33,,,2,,,,0%,,,0%
6,Regan Endres,FO,12,,2,2,2,0%,1,50,67,1,6,,,,0%,137,263,52%
7,Tanner Hay,D,12,,2,2,1,0%,1,100,18,5,3,,,,0%,,,0%
50,Steven Kunz,D,12,1,1,2,3,33%,2,67,42,14,5,,,,0%,,,0%
91,Elijah Gash,D,10,2,,2,5,40%,4,80,16,10,2,,,,0%,,,0%
12,Darien LaPietro,M,7,1,,1,7,14%,5,71,2,2,3,,,,0%,,,0%
15,Doug Goldsmith,M,12,,1,1,2,0%,,0,17,1,4,,,,0%,,,0%
23,Conner Fingar,M,11,1,,1,7,14%,4,57,11,1,3,,,,0%,,,0%
42,Peter Schwab,M,10,1,,1,2,50%,2,100,9,1,6,,,,0%,,,0%
77,Declan Palandjian,M,6,,1,1,,0%,,0,5,,1,,,,0%,,,0%
4,T.J. McNicholas,D,1,,,,1,0%,,0,,,,,,,0%,,,0%
8,Jack VanValkenburgh,G,2,,,,,0%,,0,,,,,,,0%,,,0%
13,Danny Mastropaolo,FO,3,,,,,0%,,0,2,,,,,,0%,3,13,23%
14,Liam Donnelly,G,12,,,,1,0%,1,100,33,4,5,119,115,234,51%,,,0%
18,Zane Sands,D,1,,,,,0%,,0,,,1,,,,0%,,,0%
19,Will Ramos,G,5,,,,,0%,,0,2,1,,10,13,23,43%,,,0%
20,Michael Kozar,D,12,,,,,0%,,0,13,4,1,,,,0%,,,0%
22,Matt Eccles,M,2,,,,1,0%,1,100,1,,,,,,0%,,,0%
26,Wil Pepe,D,8,,,,,0%,,0,6,1,2,,,,0%,,,0%
27,Anthony Altimari,FO,2,,,,,0%,,0,7,,1,,,,0%,15,27,56%
29,Michael Leschinsky,M,1,,,,,0%,,0,,,1,,,,0%,,,0%
31,Owen Weathersby,D,1,,,,,0%,,0,,,,,,,0%,,,0%
32,Ashton Bradley,M,6,,,,1,0%,,0,3,1,1,,,,0%,,,0%
35,Jack Peterson,D,5,,,,,0%,,0,1,,2,,,,0%,,,0%
36,Thomas Rodriguez Jr.,FO,1,,,,,0%,,0,,,,,,,0%,1,2,50%
39,Blake Runkle,D,2,,,,,0%,,0,2,,,,,,0%,,,0%
40,John Prizzi,M,1,,,,1,0%,1,100,1,,2,,,,0%,,,0%
43,Patrick Mai,M,1,,,,,0%,,0,,,1,,,,0%,,,0%
46,Austin Jones,FO,2,,,,,0%,,0,,1,,,,,0%,,1,0%
48,Sam Hixon-Milks,M,12,,,,,0%,,0,7,1,4,,,,0%,,,0%
55,Davon Johnson,M,3,,,,1,0%,1,100,,1,,,,,0%,,,0%
99,Sam Stratton,D,3,,,,,0%,,0,1,1,,,,,0%,,,0%
