#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
6,Nick Dupuis,A,11,23,16,39,61,38%,36,59,11,3,17,,,,0%,,,0%
21,Brandon Galloway,M,11,24,3,27,84,29%,44,52,7,,15,,,,0%,,,0%
34,Ryan Frawley,A,9,17,8,25,48,35%,32,67,9,3,13,,,,0%,,,0%
20,Trevor Patschorke,A,10,13,11,24,58,22%,33,57,15,2,19,,,,0%,,,0%
4,Brett McIntyre,A,8,12,3,15,25,48%,19,76,12,1,9,,,,0%,,,0%
40,Taylor Bohanan,M,10,7,4,11,30,23%,16,53,3,,6,,,,0%,,1,0%
23,Dane Hall,M,11,5,3,8,38,13%,17,45,5,,5,,,,0%,,,0%
25,Steven Zichelli,A,11,5,3,8,28,18%,16,57,3,1,3,,,,0%,,,0%
38,Mike Doughty,A,11,3,5,8,8,38%,6,75,7,,3,,,,0%,,,0%
15,Brett Baucia,A,10,2,3,5,10,20%,6,60,6,3,2,,,,0%,,,0%
10,Mason Edwards,M,11,1,3,4,4,25%,1,25,35,10,8,,,,0%,,,0%
26,Brian Tregoning,A,8,4,,4,19,21%,10,53,1,,4,,,,0%,,,0%
33,Colin Kasner,D,8,1,1,2,2,50%,1,50,23,14,4,,,,0%,,,0%
44,Alex Poma,M,11,,2,2,1,0%,1,100,35,1,3,,,,0%,101,214,47%
50,Keith Dukes,M,11,1,,1,1,100%,1,100,8,1,5,,,,0%,,,0%
5,Ethan Robinson,D,8,1,,1,2,50%,2,100,10,5,2,,,,0%,,,0%
7,Kyle Hoff,M,11,,1,1,,0%,,0,15,1,,,,,0%,,,0%
12,Talon Campbell,M,9,,1,1,1,0%,1,100,6,,,,,,0%,,,0%
45,Nick Griffin,D,3,,,,,0%,,0,3,,1,,,,0%,,,0%
47,Andrew Taylor,LSM,1,,,,,0%,,0,,,,,,,0%,,,0%
2,Corey Gaines,D,11,,,,,0%,,0,15,6,1,,,,0%,,,0%
3,Andrew Hurdle,M,1,,,,,0%,,0,,,,,,,0%,2,3,67%
8,Nick Doyle,D,8,,,,,0%,,0,11,3,2,,,,0%,,,0%
9,Tommy Lingner,G,11,,,,,0%,,0,23,3,5,118,105,223,53%,,,0%
11,Marshall Johnson,M,3,,,,3,0%,,0,,,,,,,0%,,,0%
13,Cameron Hamway,M,1,,,,,0%,,0,,,,,,,0%,,,0%
14,Mitchell Kozak,A,1,,,,,0%,,0,,,,,,,0%,,,0%
18,Jack Thomas,A,7,,,,8,0%,6,75,,,6,,,,0%,,,0%
19,Ricky Fedorchak,LSM,11,,,,,0%,,0,19,13,8,,,,0%,,2,0%
22,Michael Zichelli,M,1,,,,2,0%,1,50,,,,,,,0%,,,0%
24,Justin Barragan,LSM,1,,,,,0%,,0,1,,,,,,0%,,,0%
30,Dane Armstrong,FO,4,,,,1,0%,1,100,8,,2,,,,0%,19,39,49%
36,Tony Diallo,D,11,,,,,0%,,0,16,3,1,,,,0%,,,0%
41,Zach Dudley,M,1,,,,,0%,,0,,,,,,,0%,,1,0%
