#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
13,Jake Lining,M,9,11,8,19,32,34%,21,66,16,,7,,,,0%,,,0%
18,Conor Foley,A,9,11,3,14,47,23%,26,55,12,3,7,,,,0%,,,0%
2,Domenic Giachello,M,9,5,8,13,29,17%,12,41,13,3,15,,,,0%,,,0%
7,Sean Parker,M,9,9,4,13,22,41%,14,64,2,,9,,,,0%,,,0%
10,Jake Davis,A,8,8,5,13,33,24%,20,61,14,2,5,,,,0%,,,0%
40,Dylan Rhatigan,A,8,8,2,10,29,28%,14,48,5,1,9,,,,0%,,,0%
3,Kyle Laforge,M,9,7,,7,24,29%,15,63,6,2,5,,,,0%,,,0%
1,Nick Harvath,M,7,3,3,6,17,18%,6,35,3,,7,,,,0%,,,0%
12,Niall Cremin,A,7,,6,6,4,0%,2,50,5,,2,,,,0%,,,0%
8,Dakota Clark,M,9,4,,4,23,17%,13,57,3,1,7,,,,0%,,,0%
22,Liam McDonough,FO,8,3,,3,7,43%,3,43,25,1,4,,,,0%,43,110,39%
17,Ben Peffer,A,4,2,,2,6,33%,4,67,2,,5,,,,0%,,,0%
9,Colin Deso,M,4,,1,1,4,0%,2,50,1,,4,,,,0%,,,0%
11,Kyle Love,LSM,9,,1,1,3,0%,1,33,9,3,1,,,,0%,,,0%
20,Garrett Murphy,M,2,1,,1,1,100%,1,100,,,,,,,0%,,,0%
31,Justin Longo,A,6,,1,1,3,0%,,0,2,,5,,,,0%,,,0%
47,Harry Morrill,LSM,9,1,,1,5,20%,4,80,28,9,4,,,,0%,,,0%
4,David Fiorini,A,5,,,,4,0%,2,50,3,2,1,,,,0%,,,0%
5,Ben Greco,A,3,,,,,0%,,0,,,1,,,,0%,,,0%
6,Dante Giachello,A,4,,,,4,0%,2,50,2,,1,,,,0%,,,0%
14,Ben Gill,M,2,,,,,0%,,0,,,,,,,0%,,,0%
15,Zach Zeyher,M,8,,,,,0%,,0,9,2,3,,,,0%,,,0%
16,Ethan Zupko,D,8,,,,,0%,,0,5,1,,1,,1,100%,,,0%
19,Cody Stevens,D,3,,,,,0%,,0,3,2,2,,,,0%,,,0%
21,Max Christides,G,8,,,,1,0%,,0,12,5,8,86,93,179,48%,,,0%
23,Anthony Mancino,G,7,,,,,0%,,0,5,1,5,38,40,78,49%,,,0%
24,Eric Flynn,D,8,,,,,0%,,0,12,11,4,,,,0%,,,0%
25,Mason Carroll,M,1,,,,,0%,,0,,,,,,,0%,,,0%
27,Jack Tepper,D,3,,,,,0%,,0,1,,3,,,,0%,,,0%
30,Cameron Richard,D,8,,,,,0%,,0,10,5,8,,,,0%,,,0%
32,Gavin McGuckin,LSM,1,,,,,0%,,0,,,,,,,0%,,,0%
34,Jack Sullivan,LSM,3,,,,,0%,,0,0,,,,,,0%,,,0%
35,Tanner Soudan,D,6,,,,,0%,,0,14,3,1,,,,0%,,,0%
36,Brett Dattilo,FO,7,,,,2,0%,,0,9,,,,,,0%,24,76,32%
37,Jake Rosado,D,2,,,,,0%,,0,1,,2,,,,0%,,,0%
41,Charles Katin,M,8,,,,,0%,,0,5,1,,,,,0%,,,0%
44,Zach D'Amico,M,7,,,,,0%,,0,13,2,4,,,,0%,,,0%
48,Mike Pigeon,D,6,,,,2,0%,,0,5,1,2,,,,0%,,,0%
50,Christian Moss,M,7,,,,1,0%,,0,8,2,1,,,,0%,,,0%
88,Pat Kaveny,D,2,,,,,0%,,0,2,1,,,,,0%,,,0%
91,Jack Bird,FO,5,,,,1,0%,1,100,10,,,,,,0%,22,47,47%
93,Curtis Redd,M,2,,,,1,0%,,0,,,1,,,,0%,,,0%
