#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
6,Kevin Tobin,M,10,15,16,31,48,31%,29,60,7,1,15,,,,0%,,,0%
3,Devin Spencer,A,10,9,16,25,14,64%,10,71,9,2,15,,,,0%,,,0%
16,Gabriel Procyk,A,10,21,4,25,56,38%,40,71,15,,16,,,,0%,,,0%
23,Billy Philpott,M,10,18,7,25,45,40%,31,69,7,1,10,,,,0%,,,0%
25,Dillon Arrant,A,10,20,3,23,60,33%,36,60,13,1,13,,,,0%,,,0%
14,Jeff Trainor,M,10,9,9,18,32,28%,20,63,22,7,20,,,,0%,,,0%
1,Mike Tobin,A,10,5,6,11,26,19%,17,65,9,2,9,,,,0%,,,0%
8,Zack Hochman,FO,10,5,1,6,15,33%,9,60,73,4,8,,,,0%,114,214,53%
42,Clayton Proctor,A,10,3,2,5,11,27%,4,36,3,1,5,,,,0%,,,0%
45,Zack Kearney,M,5,1,3,4,4,25%,2,50,3,3,4,,,,0%,,,0%
10,Chris Connolly,A,2,3,,3,10,30%,6,60,3,,2,,,,0%,,,0%
55,Kevin Cutinella,M,7,2,1,3,5,40%,3,60,4,,1,,,,0%,,,0%
5,Charlie O'Brien,M,3,1,1,2,5,20%,4,80,1,1,1,,,,0%,,,0%
19,Jake Dulac,D,10,2,,2,2,100%,2,100,16,5,4,,,,0%,,,0%
0,Jack Siebert,A,3,,1,1,1,0%,1,100,,,1,,,,0%,,,0%
17,Grant Breyo,M,10,,1,1,8,0%,3,38,4,1,2,,,,0%,,,0%
26,Ryan Fitzpatrick,D,10,1,,1,3,33%,3,100,12,7,4,,,,0%,,,0%
27,Adam Towey,D,10,1,,1,3,33%,3,100,15,8,5,,,,0%,,,0%
32,Matt Weigand,LSM,10,1,,1,2,50%,1,50,10,2,2,,,,0%,,,0%
33,Matthew Hill,M,10,,1,1,1,0%,1,100,11,2,3,,,,0%,,,0%
37,Jackson Suboch,D,10,,1,1,2,0%,1,50,20,10,6,,,,0%,,,0%
2,Cameron Carpenter,M,3,,,,,0%,,0,,,,,,,0%,,,0%
7,Jack Gump,LSM,6,,,,1,0%,,0,8,4,0,,,,0%,,,0%
12,Ben Cantwell,A,1,,,,,0%,,0,,,,,,,0%,,,0%
13,Joe Casucci,D,2,,,,,0%,,0,,,,,,,0%,,,0%
15,Jack Fiorini,M,1,,,,,0%,,0,1,1,,,,,0%,,,0%
20,Carter Castillo,A,3,,,,1,0%,1,100,,,1,,,,0%,,,0%
21,Matt Knote,G,10,,,,,0%,,0,14,3,7,125,108,233,54%,,,0%
22,Matt Caddigan,M,7,,,,1,0%,,0,5,5,2,,,,0%,,,0%
28,Shane O'Leary,M,1,,,,,0%,,0,,,,,,,0%,,,0%
29,Tyler Bluse,G,1,,,,,0%,,0,1,,,,,,0%,,,0%
30,Dom Elmo,G,1,,,,,0%,,0,,,,,,,0%,,,0%
31,Quinn Towne,D,1,,,,,0%,,0,,,,,,,0%,,,0%
34,Tyler Strub,D,1,,,,,0%,,0,,,,,,,0%,,,0%
35,Tim Hoynes,A,3,,,,,0%,,0,,,1,,,,0%,,,0%
39,Ryan Henry,M,4,,,,,0%,,0,5,,,,,,0%,11,21,52%
40,Caleb Hammett,M,3,,,,1,0%,,0,7,,,,,,0%,11,21,52%
41,Jack Carr,D,1,,,,,0%,,0,,,,,,,0%,,,0%
44,Sam Eisenstadt,D,10,,,,2,0%,1,50,25,7,4,,,,0%,,,0%
77,Jackson Cummings,A,2,,,,2,0%,,0,,,1,,,,0%,,,0%
