#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
23,Tyler Bradbury,A,11,14,25,39,53,26%,32,60,11,1,22,0,0,0,0%,0,0,0%
4,Jordan Hyde,A,11,20,4,24,45,44%,27,60,18,1,11,0,0,0,0%,0,0,0%
22,MJ McMahon,A,11,11,2,13,36,31%,23,64,3,0,10,0,0,0,0%,0,0,0%
12,Branden Wilson,M,11,8,4,12,35,23%,21,60,2,1,8,0,0,0,0%,0,0,0%
45,Carson Moyer,M,9,11,1,12,40,28%,23,58,4,0,6,0,0,0,0%,0,0,0%
20,Drew Wasserman,A,11,8,3,11,31,26%,18,58,3,0,5,0,0,0,0%,0,0,0%
36,Peter Hagan,A,9,6,2,8,12,50%,8,67,0,0,1,0,0,0,0%,0,0,0%
2,Jared Andreala,M,11,5,2,7,24,21%,15,63,12,0,10,0,0,0,0%,0,0,0%
7,Josh Rose,M,11,7,0,7,14,50%,9,64,21,3,5,0,0,0,0%,0,0,0%
24,Cole Brams,FO,11,4,3,7,9,44%,7,78,70,6,10,0,0,0,0%,129,257,50%
28,Jack Barron,M,5,4,3,7,18,22%,8,44,1,0,6,0,0,0,0%,0,0,0%
19,Samuel Cambere,D,11,2,4,6,11,18%,4,36,52,14,7,0,0,0,0%,0,0,0%
9,Jonathan Rose,M,10,4,0,4,7,57%,6,86,8,2,5,0,0,0,0%,0,0,0%
3,Ramsey McCreary,M,5,1,2,3,14,7%,6,43,3,0,5,0,0,0,0%,0,0,0%
40,Collin Ervin,A,6,2,1,3,7,29%,3,43,,,2,,,,0%,,,0%
6,Luke Welch,A,4,2,0,2,3,67%,2,67,3,0,0,0,0,0,0%,0,0,0%
8,Jack Zarnik,M,9,0,2,2,2,0%,1,50,1,0,5,0,0,0,0%,0,0,0%
18,Ryan Rogers,A,9,2,0,2,20,10%,6,30,4,0,3,0,0,0,0%,0,0,0%
21,Rylan Lemons,D,11,0,2,2,3,0%,1,33,14,8,9,0,0,0,0%,0,0,0%
31,Ruben Santana,M,11,2,0,2,5,40%,3,60,9,6,2,0,0,0,0%,0,0,0%
10,Donny Stock,FO,7,0,0,0,0,0%,0,0,4,0,0,0,0,0,0%,7,18,39%
11,Joey Boylston,D,11,0,0,0,0,0%,0,0,10,7,1,0,0,0,0%,0,0,0%
15,Justus Peterson,M,7,0,0,0,5,0%,2,40,2,0,2,0,0,0,0%,0,0,0%
17,Kellen Hoke,M,4,0,0,0,2,0%,0,0,0,1,3,0,0,0,0%,0,0,0%
26,Zack Johns,G,7,0,0,0,0,0%,0,0,6,1,5,54,48,102,53%,0,0,0%
30,Dan Tracy,D,11,0,0,0,1,0%,1,100,16,5,3,0,0,0,0%,0,0,0%
48,Harrison Nye,D,10,0,0,0,0,0%,0,0,5,1,0,0,0,0,0%,0,0,0%
49,Davis Smith,D,9,0,0,0,0,0%,0,0,4,1,2,0,0,0,0%,0,0,0%
5,Ryan Smith,M,1,,,,,0%,,0,1,,,,,,0%,,,0%
13,Steele Headden,M,6,,,,,0%,,0,6,1,0,,,,0%,,,0%
16,Zion Dechesere,G,7,,,,3,0%,,0,11,,4,72,72,144,50%,,,0%
27,Harrison Oehler,D,2,,,,,0%,,0,,,1,,,,0%,,,0%
32,Connor Hollison,G,2,,,,,0%,,0,,,1,1,7,8,13%,,,0%
34,Kevin McKenna,M,2,,,,,0%,,0,1,,1,,,,0%,,,0%
35,Jarrod King,D,1,,,,,0%,,0,,1,,,,,0%,,,0%
42,Bryce Cheek,G,1,,,,,0%,,0,,,,1,,1,100%,,,0%
43,Carter McDaniels,D,1,,,,,0%,,0,,,,,,,0%,,,0%
44,Easton Cecil,M,3,,,,,0%,,0,1,1,1,,,,0%,,,0%
46,Jacob Torres,D,2,,,,,0%,,0,,,,,,,0%,,,0%
50,Dominic Mata,D,2,,,,,0%,,0,1,,,,,,0%,,,0%
