#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
5,Jon Fant,A,11,13,21,34,36,36%,20,56,11,1,23,,,,0%,,,0%
37,Hartley Jordan,M,11,13,11,24,55,24%,26,47,12,7,22,,,,0%,,,0%
17,Scout Ripley,M,11,21,1,22,90,23%,48,53,16,3,18,,,,0%,,,0%
2,Ryan Perouty,A,11,13,8,21,56,23%,35,63,4,2,12,,,,0%,,,0%
6,Michael Santos,M,11,15,2,17,43,35%,26,60,7,3,13,,,,0%,,,0%
12,Josh Drake,M,11,8,0,8,42,19%,26,62,8,1,12,,,,0%,,,0%
32,AJ Stamos,M,11,4,4,8,23,17%,13,57,7,0,9,,,,0%,,,0%
39,Tim Lindenbaum,D,11,3,1,4,3,100%,3,100,24,15,5,,,,0%,,,0%
26,Eric Lane,LSM,11,,4,4,3,0%,1,33,41,18,2,,,,0%,,3,0%
14,Trejan Cannon,M,11,2,1,3,4,50%,2,50,33,12,8,,,,0%,,,0%
21,Thomas Williamson,M,10,2,1,3,7,29%,5,71,,,2,,,,0%,,,0%
43,LT Ancona,D,11,,1,1,2,0%,1,50,15,17,10,,,,0%,,,0%
45,Luke McDonald,LSM,11,1,,1,1,100%,1,100,19,13,6,,,,0%,6,20,30%
50,Anthony Moran,M,7,,1,1,3,0%,2,67,10,7,2,,,,0%,,,0%
3,Tyler Watson,M,2,1,,1,1,100%,,0,,,,,,,0%,,,0%
10,Aaron Ward,M,11,1,,1,1,100%,1,100,5,2,5,,,,0%,,,0%
24,Jack Burke,M,10,1,,1,3,33%,1,33,1,1,,,,,0%,,,0%
33,David Foster,D,1,,,,,0%,,0,,,,,,,0%,,,0%
44,Will Duffy,D,4,,,,,0%,,0,2,2,4,,,,0%,,,0%
46,Preston Lalicker,FO,11,,,,3,0%,3,100,24,1,5,,,,0%,59,149,40%
47,Mike Tulskie,A,6,,,,,0%,,0,,,,,,,0%,,,0%
48,James Boyle,LSM,3,,,,,0%,,0,,1,,,,,0%,,,0%
51,John-Marshall West,A,1,,,,,0%,,0,,,,,,,0%,,,0%
88,Kyle Webster,LSM,8,,,,,0%,,0,4,1,1,,,,0%,,,0%
99,Brian Howdershell,FO,7,,,,,0%,,0,4,1,2,,,,0%,1,17,6%
1,Anthony Merida,G,3,,,,,0%,,0,3,1,1,29,37,66,44%,,,0%
4,Brice Basic,M,9,,,,,0%,,0,12,,2,,,,0%,43,124,35%
7,Aidan Riley,M,1,,,,,0%,,0,,,1,,,,0%,,,0%
13,Zach Grinde,M,2,,,,,0%,,0,0,,,,,,0%,,,0%
15,Caleb Evans,D,2,,,,,0%,,0,,,,,,,0%,,,0%
18,Josh Bass,M,2,,,,,0%,,0,,,,,,,0%,,1,0%
19,Dylan McNally,D,2,,,,,0%,,0,,,,,,,0%,,,0%
20,Bill Osteen,G,5,,,,2,0%,,0,7,1,1,44,74,118,37%,,,0%
23,Max Redmond,M,2,,,,,0%,,0,,1,1,,,,0%,,,0%
27,Callum Hadley,D,10,,,,,0%,,0,8,4,1,,,,0%,,,0%
31,Jack Liselli,G,5,,,,,0%,,0,11,,3,49,66,115,43%,,,0%
