#,Player,Position,Games Played,Goals,Assists,Points,Shots,Shooting Percentage,Shots On Goal,Shots On Goal Percentage,Ground Balls,Caused Turnovers,Turnovers,Saves,Goals Allowed,Shots Faced,Save Percentage,Faceoff Wins,Faceoff Attempts,Faceoff Win Percentage
44,Thomas McConvey,M,12,29,12,41,86,34%,60,70,18,4,17,,,,0%,,,0%
10,David Closterman,A,12,23,17,40,69,33%,42,61,27,2,17,,,,0%,,,0%
97,Michael McCormack,A,12,30,9,39,103,29%,62,60,21,3,15,,,,0%,,,0%
46,Liam Limoges,A,12,24,14,38,58,41%,44,76,24,6,17,,,,0%,,,0%
8,JJ Levandowski,M,12,15,8,23,73,21%,34,47,12,1,10,,,,0%,,,0%
11,Brock Haley,A,12,11,5,16,42,26%,25,60,2,2,10,,,,0%,,,0%
33,Griffin Fenech,M,12,10,5,15,26,38%,19,73,8,,12,,,,0%,,,0%
42,Stone Jacobs,M,12,5,6,11,19,26%,10,53,11,3,8,,,,0%,,,0%
0,Sal Iaria,M,8,3,5,8,23,13%,14,61,2,,5,,,,0%,,,0%
25,Jonas Hunter,A,10,4,3,7,11,36%,6,55,6,,4,,,,0%,,,0%
35,Amos Gilbert,A,7,3,2,5,12,25%,6,50,1,1,4,,,,0%,,,0%
3,Tommy Burke,FO,12,1,2,3,7,14%,6,86,102,2,6,,,,0%,206,289,71%
2,James Basile,A,6,1,1,2,5,20%,3,60,,,1,,,,0%,,,0%
18,Clay Weiss,M,6,2,,2,8,25%,4,50,,,1,,,,0%,,,0%
22,Colin Sharkey,M,12,,1,1,1,0%,,0,7,2,3,,,,0%,,,0%
77,Nick Alviti,LSM,12,1,,1,2,50%,1,50,49,13,9,,,,0%,,,0%
4,Jack Mintz,A,2,,,,,0%,,0,,,1,,,,0%,,,0%
5,Connor Boyle,M,1,,,,,0%,,0,,,,,,,0%,,,0%
9,Paul Governale,LSM,12,,,,2,0%,,0,19,4,1,,,,0%,,,0%
12,Matt Hill,LSM,1,,,,,0%,,0,,,,,,,0%,,,0%
13,Gavin Bergeron,FO,1,,,,,0%,,0,,,,,,,0%,,3,0%
14,Ryan Cornell,G,12,,,,1,0%,,0,31,4,10,132,117,249,53%,,,0%
15,Charlie Egan,FO,5,,,,2,0%,,0,9,,1,,,,0%,16,28,57%
16,George Egan,G,3,,,,,0%,,0,1,,1,3,1,4,75%,,,0%
17,Porter Awad,D,2,,,,,0%,,0,1,,1,,,,0%,,,0%
19,John Gressett,M,1,,,,,0%,,0,,,,,,,0%,,,0%
23,Kyle Derrickson,D,9,,,,,0%,,0,3,1,1,,,,0%,,,0%
24,Andrew Bauersfeld,D,4,,,,,0%,,0,1,1,,,,,0%,,,0%
26,Spencer Decker,M,12,,,,,0%,,0,9,2,4,,,,0%,,,0%
27,Jackson Canfield,D,3,,,,,0%,,0,4,2,1,,,,0%,,,0%
30,Tim Manning,D,12,,,,,0%,,0,13,6,5,,,,0%,,,0%
34,Tim Roberts,D,4,,,,2,0%,2,100,,,2,,,,0%,,,0%
38,Colby Kudla,LSM,3,,,,,0%,,0,1,,1,,,,0%,,,0%
40,Liam Rischmann,M,12,,,,6,0%,3,50,13,3,4,,,,0%,,,0%
41,Patrick Murphy,M,5,,,,,0%,,0,,,1,,,,0%,,,0%
45,Jonathon McConvey,M,3,,,,2,0%,1,50,1,,1,,,,0%,,,0%
47,Ross Buchman,D,4,,,,,0%,,0,2,1,1,,,,0%,,,0%
48,Danny Manning,D,1,,,,,0%,,0,1,,,,,,0%,,,0%
50,Will Jones,D,12,,,,3,0%,,0,19,10,8,,,,0%,,,0%
66,Matt Shaffer,G,2,,,,,0%,,0,1,,,7,3,10,70%,,,0%
88,Wilson Sneath,D,11,,,,3,0%,1,33,8,7,3,,,,0%,,,0%
89,Jack Fitch,D,2,,,,,0%,,0,1,,,,,,0%,,,0%
